item_id,brand,channel,fabric_category,age_group,item_capacity_group,share_level
208123105002,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织外套,1
200123105101,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织外套,3
201123111002,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,1
202123105111,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,2
200123111006,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裙子,3
200123111003,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裙子,1
200123101003,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织外套,1
202123105114,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,3
202123102102,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,3
201123111004,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,3
201123112005,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,1
201123105103,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,2
201123105104,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,3
201123105105,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,2
201123102001,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,1
201123112002,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,3
201123111003,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,2
201123108112,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子,1
201123108110,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子,2
201123102102,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,1
201123104006,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,1
201123105106,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,2
201123108007,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子,3
