item_id,brand,channel,fabric_category,age_group,item_capacity_group
208123105004,巴拉巴拉,巴拉巴拉线上,牛仔,非婴童,牛仔大类
202123105007,巴拉巴拉,巴拉巴拉线下,牛仔,非婴童,牛仔大类
201123105101,巴拉巴拉,巴拉巴拉线下,牛仔,非婴童,牛仔大类
201123105102,巴拉巴拉,巴拉巴拉线下,牛仔,非婴童,牛仔大类
201123105009,巴拉巴拉,巴拉巴拉线下,牛仔,非婴童,牛仔大类
201123108105,巴拉巴拉,巴拉巴拉线下,牛仔,非婴童,牛仔大类
201123108106,巴拉巴拉,巴拉巴拉线下,牛仔,非婴童,牛仔大类
201123101102,巴拉巴拉,巴拉巴拉线下,牛仔,非婴童,牛仔大类
201123111010,巴拉巴拉,巴拉巴拉线下,牛仔,非婴童,牛仔大类
201123105007,巴拉巴拉,巴拉巴拉线下,牛仔,非婴童,牛仔大类
202123105008,巴拉巴拉,巴拉巴拉线下,牛仔,非婴童,牛仔大类
201123108104,巴拉巴拉,巴拉巴拉线下,牛仔,非婴童,牛仔大类
201123108101,巴拉巴拉,巴拉巴拉线下,牛仔,非婴童,牛仔大类
201123108103,巴拉巴拉,巴拉巴拉线下,牛仔,非婴童,牛仔大类
202123108013,巴拉巴拉,巴拉巴拉线下,牛仔,非婴童,牛仔大类
202123108015,巴拉巴拉,巴拉巴拉线下,牛仔,非婴童,牛仔大类
202123108008,巴拉巴拉,巴拉巴拉线下,牛仔,非婴童,牛仔大类
202123108016,巴拉巴拉,巴拉巴拉线下,牛仔,非婴童,牛仔大类
202123108010,巴拉巴拉,巴拉巴拉线下,牛仔,非婴童,牛仔大类
202123108011,巴拉巴拉,巴拉巴拉线下,牛仔,非婴童,牛仔大类
202123108009,巴拉巴拉,巴拉巴拉线下,牛仔,非婴童,牛仔大类
202123108012,巴拉巴拉,巴拉巴拉线下,牛仔,非婴童,牛仔大类
202123108014,巴拉巴拉,巴拉巴拉线下,牛仔,非婴童,牛仔大类
202123105108,巴拉巴拉,巴拉巴拉线下,牛仔,非婴童,牛仔大类
202123105109,巴拉巴拉,巴拉巴拉线下,牛仔,非婴童,牛仔大类
202123108110,巴拉巴拉,巴拉巴拉线下,牛仔,非婴童,牛仔大类
202123108111,巴拉巴拉,巴拉巴拉线下,牛仔,非婴童,牛仔大类
202123108112,巴拉巴拉,巴拉巴拉线下,牛仔,非婴童,牛仔大类
202123108113,巴拉巴拉,巴拉巴拉线下,牛仔,非婴童,牛仔大类
201123123001,巴拉巴拉,巴拉巴拉线下,牛仔,非婴童,牛仔大类
202123101101,巴拉巴拉,巴拉巴拉线下,牛仔,非婴童,牛仔大类
200123108101,巴拉巴拉,巴拉巴拉线下,牛仔,婴童,牛仔大类
208123108009,巴拉巴拉,巴拉巴拉线上,牛仔,非婴童,牛仔大类
208123108003,巴拉巴拉,巴拉巴拉线上,牛仔,非婴童,牛仔大类
208123120103,巴拉巴拉,巴拉巴拉线上,牛仔,婴童,牛仔大类
208123108204,巴拉巴拉,巴拉巴拉线上,牛仔,婴童,牛仔大类
201123108107,巴拉巴拉,巴拉巴拉线下,牛仔,非婴童,牛仔大类
202123105110,巴拉巴拉,巴拉巴拉线下,牛仔,非婴童,牛仔大类
201123108102,巴拉巴拉,巴拉巴拉线下,牛仔,非婴童,牛仔大类
202123112001,巴拉巴拉,巴拉巴拉线下,牛仔,非婴童,牛仔大类
201123108003,巴拉巴拉,巴拉巴拉线下,牛仔,非婴童,牛仔大类
202123102101,巴拉巴拉,巴拉巴拉线下,牛仔,非婴童,牛仔大类
201123108005,巴拉巴拉,巴拉巴拉线下,牛仔,非婴童,牛仔大类
200123108007,巴拉巴拉,巴拉巴拉线下,牛仔,婴童,牛仔大类
202123108114,巴拉巴拉,巴拉巴拉线下,牛仔,非婴童,牛仔大类
201123108004,巴拉巴拉,巴拉巴拉线下,牛仔,非婴童,牛仔大类
201123108001,巴拉巴拉,巴拉巴拉线下,牛仔,非婴童,牛仔大类
201123108002,巴拉巴拉,巴拉巴拉线下,牛仔,非婴童,牛仔大类
202123111004,巴拉巴拉,巴拉巴拉线下,牛仔,非婴童,牛仔大类
200123108110,巴拉巴拉,巴拉巴拉线下,牛仔,婴童,牛仔大类
201123108013,巴拉巴拉,巴拉巴拉线下,牛仔,非婴童,牛仔大类
208123108006,巴拉巴拉,巴拉巴拉线上,牛仔,非婴童,牛仔大类
208123102101,巴拉巴拉,巴拉巴拉线上,牛仔,非婴童,牛仔大类
208123108005,巴拉巴拉,巴拉巴拉线上,牛仔,非婴童,牛仔大类
