order_id,item_id,fabric_category,max_production_limit,arrival_date,due_date,capacity_needed
1575328893420761103,201123108013,牛仔,1,2022-08-01,2023-11-23,22
1575328893420761104,201123108013,牛仔,2,2022-08-01,2023-11-30,41
1575328893424955394,201123108013,牛仔,1,2022-08-01,2023-12-07,7
1575328893424955395,201123108013,牛仔,1,2022-08-01,2023-11-23,1
1575328893424955396,201123108013,牛仔,1,2022-08-01,2023-11-23,1
1575328893450121220,200123108007,牛仔,1,2022-08-01,2023-11-23,4
1575328893450121221,200123108110,牛仔,1,2022-08-01,2023-10-26,1
1575328893450121232,201123101102,牛仔,1,2022-08-01,2023-11-23,8
1575328893454315526,201123101102,牛仔,2,2022-08-01,2023-11-30,17
1575328893454315529,202123108013,牛仔,1,2022-08-01,2023-10-26,4
1575328893454315530,202123108014,牛仔,1,2022-08-01,2023-10-26,9
1575328893454315531,202123108014,牛仔,1,2022-08-01,2023-11-09,6
1575328893454315532,202123108014,牛仔,1,2022-08-01,2023-10-26,1
1575328893454315533,202123108015,牛仔,1,2022-08-01,2023-10-26,6
1575328893454315534,202123108015,牛仔,1,2022-08-01,2023-11-09,4
1575328893454315541,202123108110,牛仔,1,2022-08-01,2023-10-26,8
1575328893454315542,202123108110,牛仔,1,2022-08-01,2023-11-09,6
1575328893454315543,202123108111,牛仔,1,2022-08-01,2023-11-23,6
1575328893454315544,202123108111,牛仔,1,2022-08-01,2023-11-30,12
1575328893454315545,202123108111,牛仔,1,2022-08-01,2023-11-23,1
1575328893454315548,201123101102,牛仔,1,2022-08-01,2023-11-23,1
1575328893454315551,202123108113,牛仔,1,2022-08-01,2023-11-23,4
1575328893454315552,202123108113,牛仔,1,2022-08-01,2023-11-30,7
1575328893458509825,202123108113,牛仔,1,2022-08-01,2023-11-23,1
1575328893458509826,202123108114,牛仔,1,2022-08-01,2023-11-23,6
1575328893458509827,202123108114,牛仔,1,2022-08-01,2023-11-30,18
1575328893458509828,202123108114,牛仔,1,2022-08-01,2023-11-23,1
1575328893458509829,202123108114,牛仔,1,2022-08-01,2023-11-23,1
1575328893458509835,202123112001,牛仔,1,2022-08-01,2023-11-23,9
1575328893458509836,202123112001,牛仔,1,2022-08-01,2023-11-30,17
1575328893458509837,202123112001,牛仔,1,2022-08-01,2023-11-23,1
1575328893458509838,202123112001,牛仔,1,2022-08-01,2023-11-23,1
1575328893458509843,200123108007,牛仔,1,2022-08-01,2023-11-30,8
1575328893458509847,201123105102,牛仔,1,2022-08-01,2023-11-23,5
1575328893458509848,201123105102,牛仔,1,2022-08-01,2023-11-30,10
1575328893458509849,201123105102,牛仔,1,2022-08-01,2023-11-23,1
1575328893458509850,201123105102,牛仔,1,2022-08-01,2023-11-23,1
1575328893458509854,200123108007,牛仔,1,2022-08-01,2023-11-23,1
1575328893458509856,201123108002,牛仔,1,2022-08-01,2023-11-23,2
1575328893462704130,201123108002,牛仔,1,2022-08-01,2023-11-30,7
1575328893462704131,201123108002,牛仔,1,2022-08-01,2023-11-23,1
1575328893462704138,200123108007,牛仔,1,2022-08-01,2023-11-23,1
1575328893462704145,200123108101,牛仔,1,2022-08-01,2023-11-23,4
1575328893462704151,201123108103,牛仔,1,2022-08-01,2023-10-26,6
1575328893462704152,201123108103,牛仔,1,2022-08-01,2023-11-09,4
