item_id,brand,channel,fabric_category,age_group,item_capacity_group
208123105203,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
202123121002,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
200123133203,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
200123133209,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
200123156201,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
200123134202,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
200123156202,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
200123133206,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
200123134203,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
200123100105,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
200123133201,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
200123133204,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
200123134201,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
200123133211,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
200923133201,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
200923137201,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
200123156203,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
200123133212,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
202123121005,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
200123131203,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
200123137202,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
200123131201,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
202123121001,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
202123121104,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
202123104103,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
201123121001,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
201123104003,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
201123121006,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
201123121104,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
201123121105,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
201123100104,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
200123131204,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
201123100001,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
201123100005,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
201123121103,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
201123111006,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
201123123002,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
201123123006,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
201123123003,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
201123121106,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
201123100103,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
201123105112,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
201123100006,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
201123108118,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
201123121002,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
201123121003,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
201123111007,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
201123108010,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
201123108011,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
201123123004,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
202123121006,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
202123121003,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
202123100003,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
202123121101,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
201123108115,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
201123100106,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
201123100105,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
201123100101,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
201123108009,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
201123123009,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
201123123005,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
201123121102,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
201123121004,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
202123108002,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
201123100007,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
202123121202,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
202123121102,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
200123156204,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
200123132201,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
200123131208,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
202123108104,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
202123108106,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
200123120002,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
202123121105,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
202123121106,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
202123121107,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
202123105115,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
202123100102,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
202123100002,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
200123100001,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
200123100106,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
200123100006,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
200123104101,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
200123108105,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
202123108006,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
201123121108,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
200123120003,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
202123108105,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
202123123001,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
202123108007,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
202123108108,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
200123100007,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
200123100002,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
200123100009,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
202123108107,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
202123108018,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
202123122101,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
200123104102,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
200123108002,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
200123120102,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
200123120103,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
200123120004,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
200123106103,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
200123123003,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
202123104101,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
200123120106,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
200123100103,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
200123100104,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
200123100110,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
200123100107,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
201123121203,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
201123108201,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
201123104102,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
200123120105,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
200123120201,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
200123105108,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
201123108117,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
200123120107,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
200123123001,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
200123123002,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
200123100003,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
200123108106,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
200123108109,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
200123108004,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
200123108107,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
200123108201,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
202123100103,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
202123100104,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
202123108117,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
202123108116,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
200123111007,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
202123104102,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
200123104201,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
201123108123,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
200123100004,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
200123123004,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
200123123005,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
201123111011,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
201123100201,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
208123100005,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
208123108101,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
208123104206,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
208123108008,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
208123104004,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
208123121003,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
208123123002,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
208123111017,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
208123100101,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
208123104101,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
208123100206,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
208123100105,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
208123108201,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
208123108211,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
208123100207,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
208123121101,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
208123100102,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
208123100205,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
208123100208,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
208123104209,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
208123121202,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
208123121206,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
208123121207,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
208123104208,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
208123104207,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
208123121205,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
208123121203,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
208123100004,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
208123104005,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
208123121001,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
208123105202,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类
208123101203,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类
208123104202,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类
208123104201,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类
208123104204,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类
208123120203,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类
208123120201,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类
208123120204,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类
208123120205,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类
208123120104,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类
208123120202,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类
208123108206,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类
208123100202,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类
208123100203,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类
208123100204,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类
208123120003,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类
208123120206,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类
