machine_id,supplier_id,brand,channel,age_group,fabric_category,item_capacity_group,month,planned_capacity,available_capacity
31,0003000157,巴拉巴拉,巴拉巴拉线上,婴童,毛织,毛织大类,2022-07,0,0
31,0003000157,巴拉巴拉,巴拉巴拉线上,婴童,毛织,毛织大类,2022-08,0,0
31,0003000157,巴拉巴拉,巴拉巴拉线上,婴童,毛织,毛织大类,2022-09,0,0
31,0003000157,巴拉巴拉,巴拉巴拉线上,婴童,毛织,毛织大类,2022-10,0,0
31,0003000157,巴拉巴拉,巴拉巴拉线上,婴童,毛织,毛织大类,2022-11,0,0
31,0003000157,巴拉巴拉,巴拉巴拉线上,婴童,毛织,毛织大类,2022-12,0,0
31,0003000157,巴拉巴拉,巴拉巴拉线上,婴童,毛织,毛织大类,2023-01,0,0
31,0003000157,巴拉巴拉,巴拉巴拉线上,婴童,毛织,毛织大类,2023-02,0,0
31,0003000157,巴拉巴拉,巴拉巴拉线上,婴童,毛织,毛织大类,2023-03,0,0
31,0003000157,巴拉巴拉,巴拉巴拉线上,婴童,毛织,毛织大类,2023-04,0,0
31,0003000157,巴拉巴拉,巴拉巴拉线上,婴童,毛织,毛织大类,2023-05,0,0
66,0003000157,巴拉巴拉,巴拉巴拉线上,非婴童,毛织,毛织大类,2022-07,0,0
66,0003000157,巴拉巴拉,巴拉巴拉线上,非婴童,毛织,毛织大类,2022-08,0,0
66,0003000157,巴拉巴拉,巴拉巴拉线上,非婴童,毛织,毛织大类,2022-09,0,0
66,0003000157,巴拉巴拉,巴拉巴拉线上,非婴童,毛织,毛织大类,2022-10,0,0
66,0003000157,巴拉巴拉,巴拉巴拉线上,非婴童,毛织,毛织大类,2022-11,0,0
66,0003000157,巴拉巴拉,巴拉巴拉线上,非婴童,毛织,毛织大类,2022-12,0,0
66,0003000157,巴拉巴拉,巴拉巴拉线上,非婴童,毛织,毛织大类,2023-01,0,0
66,0003000157,巴拉巴拉,巴拉巴拉线上,非婴童,毛织,毛织大类,2023-02,0,0
66,0003000157,巴拉巴拉,巴拉巴拉线上,非婴童,毛织,毛织大类,2023-03,0,0
66,0003000157,巴拉巴拉,巴拉巴拉线上,非婴童,毛织,毛织大类,2023-04,0,0
66,0003000157,巴拉巴拉,巴拉巴拉线上,非婴童,毛织,毛织大类,2023-05,0,0
129,0003000157,巴拉巴拉,巴拉巴拉线下,婴童,毛织,毛织大类,2022-07,0,0
129,0003000157,巴拉巴拉,巴拉巴拉线下,婴童,毛织,毛织大类,2022-08,0,0
129,0003000157,巴拉巴拉,巴拉巴拉线下,婴童,毛织,毛织大类,2022-09,0,0
129,0003000157,巴拉巴拉,巴拉巴拉线下,婴童,毛织,毛织大类,2022-10,0,0
129,0003000157,巴拉巴拉,巴拉巴拉线下,婴童,毛织,毛织大类,2022-11,0,0
129,0003000157,巴拉巴拉,巴拉巴拉线下,婴童,毛织,毛织大类,2022-12,0,0
129,0003000157,巴拉巴拉,巴拉巴拉线下,婴童,毛织,毛织大类,2023-01,0,0
129,0003000157,巴拉巴拉,巴拉巴拉线下,婴童,毛织,毛织大类,2023-02,0,0
129,0003000157,巴拉巴拉,巴拉巴拉线下,婴童,毛织,毛织大类,2023-03,0,0
129,0003000157,巴拉巴拉,巴拉巴拉线下,婴童,毛织,毛织大类,2023-04,0,0
129,0003000157,巴拉巴拉,巴拉巴拉线下,婴童,毛织,毛织大类,2023-05,0,0
201,0003000157,巴拉巴拉,巴拉巴拉线下,非婴童,毛织,毛织大类,2022-07,0,0
201,0003000157,巴拉巴拉,巴拉巴拉线下,非婴童,毛织,毛织大类,2022-08,0,0
201,0003000157,巴拉巴拉,巴拉巴拉线下,非婴童,毛织,毛织大类,2022-09,0,0
201,0003000157,巴拉巴拉,巴拉巴拉线下,非婴童,毛织,毛织大类,2022-10,0,0
201,0003000157,巴拉巴拉,巴拉巴拉线下,非婴童,毛织,毛织大类,2022-11,0,0
201,0003000157,巴拉巴拉,巴拉巴拉线下,非婴童,毛织,毛织大类,2022-12,0,0
201,0003000157,巴拉巴拉,巴拉巴拉线下,非婴童,毛织,毛织大类,2023-01,0,0
201,0003000157,巴拉巴拉,巴拉巴拉线下,非婴童,毛织,毛织大类,2023-02,0,0
201,0003000157,巴拉巴拉,巴拉巴拉线下,非婴童,毛织,毛织大类,2023-03,0,0
201,0003000157,巴拉巴拉,巴拉巴拉线下,非婴童,毛织,毛织大类,2023-04,0,0
201,0003000157,巴拉巴拉,巴拉巴拉线下,非婴童,毛织,毛织大类,2023-05,0,0
1557595274774376449,0003000284,巴拉巴拉,巴拉巴拉线上,婴童,毛织,毛织大类,2022-07,0,0
1557595274774376449,0003000284,巴拉巴拉,巴拉巴拉线上,婴童,毛织,毛织大类,2022-08,0,0
1557595274774376449,0003000284,巴拉巴拉,巴拉巴拉线上,婴童,毛织,毛织大类,2022-09,0,0
1557595274774376449,0003000284,巴拉巴拉,巴拉巴拉线上,婴童,毛织,毛织大类,2022-10,0,0
1557595274774376449,0003000284,巴拉巴拉,巴拉巴拉线上,婴童,毛织,毛织大类,2022-11,0,0
1557595274774376449,0003000284,巴拉巴拉,巴拉巴拉线上,婴童,毛织,毛织大类,2022-12,0,0
1557595274774376449,0003000284,巴拉巴拉,巴拉巴拉线上,婴童,毛织,毛织大类,2023-01,0,0
1557595274774376449,0003000284,巴拉巴拉,巴拉巴拉线上,婴童,毛织,毛织大类,2023-02,0,0
1557595274774376449,0003000284,巴拉巴拉,巴拉巴拉线上,婴童,毛织,毛织大类,2023-03,0,0
1557595274774376449,0003000284,巴拉巴拉,巴拉巴拉线上,婴童,毛织,毛织大类,2023-04,0,0
1557595274774376449,0003000284,巴拉巴拉,巴拉巴拉线上,婴童,毛织,毛织大类,2023-05,0,0
69,0003000284,巴拉巴拉,巴拉巴拉线上,非婴童,毛织,毛织大类,2022-07,0,0
69,0003000284,巴拉巴拉,巴拉巴拉线上,非婴童,毛织,毛织大类,2022-08,0,0
69,0003000284,巴拉巴拉,巴拉巴拉线上,非婴童,毛织,毛织大类,2022-09,0,0
69,0003000284,巴拉巴拉,巴拉巴拉线上,非婴童,毛织,毛织大类,2022-10,0,0
69,0003000284,巴拉巴拉,巴拉巴拉线上,非婴童,毛织,毛织大类,2022-11,0,0
69,0003000284,巴拉巴拉,巴拉巴拉线上,非婴童,毛织,毛织大类,2022-12,0,0
69,0003000284,巴拉巴拉,巴拉巴拉线上,非婴童,毛织,毛织大类,2023-01,0,0
69,0003000284,巴拉巴拉,巴拉巴拉线上,非婴童,毛织,毛织大类,2023-02,0,0
69,0003000284,巴拉巴拉,巴拉巴拉线上,非婴童,毛织,毛织大类,2023-03,0,0
69,0003000284,巴拉巴拉,巴拉巴拉线上,非婴童,毛织,毛织大类,2023-04,0,0
69,0003000284,巴拉巴拉,巴拉巴拉线上,非婴童,毛织,毛织大类,2023-05,0,0
130,0003000284,巴拉巴拉,巴拉巴拉线下,婴童,毛织,毛织大类,2022-07,0,0
130,0003000284,巴拉巴拉,巴拉巴拉线下,婴童,毛织,毛织大类,2022-08,0,0
130,0003000284,巴拉巴拉,巴拉巴拉线下,婴童,毛织,毛织大类,2022-09,0,0
