item_id,brand,channel,fabric_category,age_group,item_capacity_group,share_level
C44698772,巴拉巴拉,巴拉巴拉线下,牛仔,非婴童,牛仔大类,1
C44723554,巴拉巴拉,巴拉巴拉线下,牛仔,非婴童,牛仔大类,1
C44723556,巴拉巴拉,巴拉巴拉线下,牛仔,非婴童,牛仔大类,2
C44723570,巴拉巴拉,巴拉巴拉线下,牛仔,非婴童,牛仔大类,3
C44723571,巴拉巴拉,巴拉巴拉线下,牛仔,非婴童,牛仔大类,3
C44723572,巴拉巴拉,巴拉巴拉线下,牛仔,非婴童,牛仔大类,1
C44725899,巴拉巴拉,巴拉巴拉线下,牛仔,非婴童,牛仔大类,1
C44725900,巴拉巴拉,巴拉巴拉线下,牛仔,非婴童,牛仔大类,1
C44726002,巴拉巴拉,巴拉巴拉线下,牛仔,非婴童,牛仔大类,3
C44726724,巴拉巴拉,巴拉巴拉线下,牛仔,非婴童,牛仔大类,3
C44726725,巴拉巴拉,巴拉巴拉线下,牛仔,非婴童,牛仔大类,3
C44729293,巴拉巴拉,巴拉巴拉线下,牛仔,非婴童,牛仔大类,2
C44729595,巴拉巴拉,巴拉巴拉线下,牛仔,非婴童,牛仔大类,2
C44729596,巴拉巴拉,巴拉巴拉线下,牛仔,非婴童,牛仔大类,2
C44729597,巴拉巴拉,巴拉巴拉线下,牛仔,非婴童,牛仔大类,1
C44729705,巴拉巴拉,巴拉巴拉线下,牛仔,非婴童,牛仔大类,2
C44729707,巴拉巴拉,巴拉巴拉线下,牛仔,非婴童,牛仔大类,2
C44730839,巴拉巴拉,巴拉巴拉线下,牛仔,非婴童,牛仔大类,2
C44731577,巴拉巴拉,巴拉巴拉线下,牛仔,非婴童,牛仔大类,3
C44731578,巴拉巴拉,巴拉巴拉线下,牛仔,非婴童,牛仔大类,1
C44731580,巴拉巴拉,巴拉巴拉线下,牛仔,非婴童,牛仔大类,2
C44731583,巴拉巴拉,巴拉巴拉线下,牛仔,非婴童,牛仔大类,1
C44731584,巴拉巴拉,巴拉巴拉线下,牛仔,非婴童,牛仔大类,2
C44731585,巴拉巴拉,巴拉巴拉线下,牛仔,非婴童,牛仔大类,2
C44731827,巴拉巴拉,巴拉巴拉线下,牛仔,非婴童,牛仔大类,1
C44731828,巴拉巴拉,巴拉巴拉线下,牛仔,非婴童,牛仔大类,1
C44742530,巴拉巴拉,巴拉巴拉线下,牛仔,婴童,牛仔大类,2
C44746403,巴拉巴拉,巴拉巴拉线下,牛仔,婴童,牛仔大类,2
C44771964,巴拉巴拉,巴拉巴拉线下,牛仔,非婴童,牛仔大类,1
C44773812,巴拉巴拉,巴拉巴拉线下,牛仔,非婴童,牛仔大类,2
C44773814,巴拉巴拉,巴拉巴拉线下,牛仔,非婴童,牛仔大类,1
C44823626,巴拉巴拉,巴拉巴拉线下,牛仔,非婴童,牛仔大类,1
