item_id,brand,channel,fabric_category,age_group,item_capacity_group
C44685157,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
C44685159,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
C44685160,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
C44685164,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
C44685165,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
C44685166,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
C44685168,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
C44685169,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
C44685170,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
C44685171,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
C44685172,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
C44685173,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
C44685176,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
C44686214,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
C44686215,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
C44686216,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
C44686217,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
C44697719,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C44698070,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C44698071,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C44698074,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C44698075,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C44698077,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C44698078,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C44698085,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C44698086,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C44698087,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C44698455,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C44698456,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C44698457,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C44698458,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C44698459,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C44698460,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C44698465,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C44698466,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C44698467,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C44698468,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C44698470,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C44703352,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C44703355,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C44703356,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C44703357,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C44723555,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
