item_id,brand,channel,fabric_category,age_group,item_capacity_group,share_level
C45726095,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,1
C47276066,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,3
C44698456,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C47682635,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,2
C45988275,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,1
C45969314,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,1
C47043361,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C44729292,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C47786980,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C49332207,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,2
C49286003,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C49354962,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C44892143,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,2
C49286002,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C44698071,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C44698470,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C44773805,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C47592077,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类,2
C49243351,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C44698459,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C46137356,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,3
C50359875,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,2
C47328073,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C46554344,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,2
C44729704,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C44746093,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,3
C45053742,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C46703839,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C45460454,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类,1
C44742545,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,2
C44698468,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C45249088,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,1
C44741040,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,2
C46488940,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,2
C44730635,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C49243350,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C46141254,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C44730638,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C44729130,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C44725893,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C45074313,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C44773806,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C44730643,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C47227773,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类,3
C44729122,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C44813261,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C46297887,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,1
C44729285,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C44685160,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,2
C49809773,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类,3
C45262952,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,3
C49645104,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C44729128,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C44741714,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,2
C46810726,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C47031809,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C45262945,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,2
C44729121,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C47386358,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,2
C49468375,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,2
C44729119,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C44829347,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C44729111,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C44859404,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,2
C44685165,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,1
C44742543,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,2
C48381161,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,2
C44741039,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,3
C45639905,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,2
C44685170,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,2
C47309562,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类,1
C47218998,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,1
C49153183,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C44685166,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,2
C48654649,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,2
C44741035,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,3
C47368848,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,3
C44742534,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,3
C45120193,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C46917802,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C44801211,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C45988277,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,2
C44725894,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C45496365,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类,3
C44729113,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C44729123,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C46292497,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C45994124,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,1
C44730833,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C46917803,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C46305998,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,3
C45249090,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,3
C45763728,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,3
C48707125,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,3
C44937073,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C44773818,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C46268997,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C44729118,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C44729702,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C47977244,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类,2
