machine_id,supplier_id,month,planned_capacity,machine_type
0,0,0,16,4
0,0,1,44,4
0,0,2,28,4
0,0,3,173,4
1,0,0,48,1
1,0,1,95,1
1,0,2,31,1
1,0,3,142,1
2,0,0,135,5
2,0,1,168,5
2,0,2,57,5
2,0,3,54,5
3,1,0,100,1
3,1,1,134,1
3,1,2,83,1
3,1,3,28,1
4,1,0,130,4
4,1,1,53,4
4,1,2,193,4
4,1,3,202,4
5,1,0,173,2
5,1,1,190,2
5,1,2,24,2
5,1,3,29,2
6,2,0,17,4
6,2,1,13,4
6,2,2,188,4
6,2,3,177,4
7,2,0,199,1
7,2,1,13,1
7,2,2,29,1
7,2,3,190,1
8,2,0,32,5
8,2,1,47,5
8,2,2,25,5
8,2,3,202,5
9,2,0,36,0
9,2,1,195,0
9,2,2,107,0
9,2,3,57,0
10,2,0,136,0
10,2,1,145,0
10,2,2,49,0
10,2,3,74,0
11,2,0,40,0
11,2,1,157,0
11,2,2,193,0
11,2,3,11,0
12,2,0,132,2
12,2,1,24,2
12,2,2,118,2
12,2,3,158,2
13,2,0,137,2
13,2,1,173,2
13,2,2,166,2
13,2,3,22,2
14,3,0,28,5
14,3,1,61,5
14,3,2,64,5
14,3,3,19,5
15,3,0,53,1
15,3,1,124,1
15,3,2,27,1
15,3,3,64,1
16,3,0,39,0
16,3,1,102,0
16,3,2,35,0
16,3,3,33,0
17,3,0,13,2
17,3,1,52,2
17,3,2,32,2
17,3,3,81,2
18,4,0,17,4
18,4,1,57,4
18,4,2,184,4
18,4,3,51,4
19,4,0,13,4
19,4,1,132,4
19,4,2,83,4
19,4,3,71,4
20,4,0,10,3
20,4,1,37,3
20,4,2,47,3
20,4,3,17,3
21,4,0,24,0
21,4,1,92,0
21,4,2,80,0
21,4,3,202,0
22,5,0,210,5
22,5,1,12,5
22,5,2,98,5
22,5,3,115,5
23,5,0,88,2
23,5,1,177,2
23,5,2,59,2
23,5,3,159,2
24,5,0,48,2
24,5,1,139,2
24,5,2,46,2
24,5,3,166,2
25,5,0,55,1
25,5,1,161,1
25,5,2,193,1
25,5,3,60,1
26,6,0,14,0
26,6,1,26,0
26,6,2,70,0
26,6,3,194,0
27,6,0,45,1
27,6,1,215,1
27,6,2,35,1
27,6,3,88,1
28,6,0,48,1
28,6,1,30,1
28,6,2,139,1
28,6,3,137,1
29,6,0,170,4
29,6,1,40,4
29,6,2,21,4
29,6,3,89,4
30,6,0,190,4
30,6,1,35,4
30,6,2,28,4
30,6,3,201,4
31,6,0,157,1
31,6,1,109,1
31,6,2,63,1
31,6,3,22,1
32,6,0,217,4
32,6,1,138,4
32,6,2,27,4
32,6,3,70,4
33,7,0,33,2
33,7,1,26,2
33,7,2,82,2
33,7,3,102,2
34,7,0,192,2
34,7,1,104,2
34,7,2,27,2
34,7,3,51,2
35,8,0,118,1
35,8,1,68,1
35,8,2,12,1
35,8,3,175,1
36,8,0,136,0
36,8,1,29,0
36,8,2,96,0
36,8,3,124,0
37,8,0,32,3
37,8,1,208,3
37,8,2,26,3
37,8,3,124,3
38,8,0,173,2
38,8,1,99,2
38,8,2,17,2
38,8,3,219,2
39,9,0,20,5
39,9,1,10,5
39,9,2,109,5
39,9,3,71,5
40,9,0,67,1
40,9,1,213,1
40,9,2,50,1
40,9,3,39,1
41,9,0,148,2
41,9,1,72,2
41,9,2,96,2
41,9,3,186,2
42,9,0,138,0
42,9,1,205,0
42,9,2,120,0
42,9,3,42,0
43,10,0,61,5
43,10,1,14,5
43,10,2,126,5
43,10,3,188,5
44,10,0,39,4
44,10,1,31,4
44,10,2,73,4
44,10,3,66,4
45,11,0,43,2
45,11,1,24,2
45,11,2,111,2
45,11,3,11,2
46,11,0,43,1
46,11,1,66,1
46,11,2,56,1
46,11,3,28,1
47,12,0,128,1
47,12,1,153,1
47,12,2,66,1
47,12,3,37,1
48,12,0,205,4
48,12,1,188,4
48,12,2,75,4
48,12,3,12,4
49,13,0,130,0
49,13,1,30,0
49,13,2,155,0
49,13,3,205,0
50,13,0,13,3
50,13,1,40,3
50,13,2,219,3
50,13,3,74,3
51,13,0,21,5
51,13,1,23,5
51,13,2,128,5
51,13,3,141,5
52,14,0,82,0
52,14,1,213,0
52,14,2,134,0
52,14,3,164,0
53,14,0,190,1
53,14,1,160,1
53,14,2,47,1
53,14,3,23,1
