order_id,item_id,arrival_date,due_date,capacity_needed
0,0,64,112,27
1,1,5,74,10
2,2,30,64,21
3,2,8,48,8
4,3,51,102,24
5,3,4,81,13
6,3,1,76,2
7,4,11,78,15
8,4,30,98,30
9,4,9,72,11
10,4,57,101,18
11,5,48,104,3
12,5,21,82,21
13,6,5,60,44
14,6,42,84,1
15,6,13,91,4
16,7,15,65,10
17,7,23,82,41
18,7,55,87,23
19,7,12,80,26
20,8,13,83,26
21,9,62,102,21
22,9,56,98,22
23,9,39,75,5
24,9,35,67,4
25,10,35,92,8
26,10,7,50,16
27,10,15,77,10
28,11,23,60,25
29,11,53,93,19
30,11,44,89,33
31,11,48,99,14
32,12,34,71,12
33,12,51,105,8
34,12,24,93,25
35,13,39,83,11
36,13,22,75,26
37,13,15,74,41
38,13,10,85,28
39,13,53,117,15
40,13,34,107,25
41,13,3,38,4
42,13,9,74,10
43,14,16,92,19
44,15,43,118,5
45,15,48,91,3
46,15,11,68,2
47,15,17,72,7
48,16,27,82,10
49,16,31,84,23
50,16,26,69,8
51,17,61,114,42
52,17,53,99,13
53,18,67,117,12
54,18,44,99,13
55,18,57,113,29
56,19,11,52,28
57,19,16,81,19
58,20,14,89,31
59,20,60,110,5
60,20,8,69,19
61,20,36,97,4
62,20,5,65,40
63,21,57,114,33
64,22,18,86,12
65,22,5,80,31
66,23,28,61,27
67,23,28,87,16
68,23,44,75,31
69,23,63,108,11
70,23,6,68,31
71,24,40,110,29
72,24,22,83,46
73,24,48,106,25
74,24,46,98,19
75,25,34,89,8
76,25,0,30,12
77,25,2,69,30
78,25,52,117,34
79,25,42,101,18
80,26,2,38,31
81,26,12,79,30
82,26,43,78,35
83,27,40,109,22
84,27,33,110,44
85,27,13,79,27
86,27,44,98,15
87,28,43,108,2
88,28,51,114,29
89,29,85,120,23
90,29,68,114,24
91,29,6,57,19
92,29,10,68,23
93,29,62,107,6
94,29,5,52,29
95,29,56,86,22
96,30,30,79,28
97,30,78,118,5
98,30,57,100,32
99,31,52,109,20
100,31,40,120,17
101,31,24,89,13
102,31,37,110,10
103,32,8,43,4
104,33,4,48,21
105,33,50,100,15
106,33,45,76,45
107,34,37,89,30
108,34,30,79,7
109,34,16,69,22
110,34,7,40,12
111,34,64,118,1
112,34,60,98,4
113,34,69,117,2
114,34,65,102,33
115,35,36,105,6
116,35,6,61,15
117,36,31,84,21
118,36,42,92,3
119,36,24,98,11
120,37,35,75,41
121,37,31,78,30
122,37,9,47,29
123,38,19,74,10
124,38,31,103,11
125,38,25,83,2
126,39,1,52,25
127,39,37,101,29
128,39,61,111,22
129,39,13,68,6
130,40,45,99,15
131,40,73,106,31
132,40,66,118,29
133,40,44,113,15
134,40,39,80,31
135,40,37,82,16
136,41,24,89,24
137,41,59,102,16
138,41,6,70,13
139,41,39,118,15
140,42,20,82,2
141,42,11,63,9
142,42,41,91,17
143,43,68,116,17
144,43,16,63,14
145,43,26,78,20
146,43,29,98,3
147,44,42,87,1
148,44,20,74,39
149,44,36,76,46
150,44,23,90,2
151,45,15,60,2
152,45,37,97,27
153,46,56,97,27
154,46,1,60,11
155,47,14,69,13
156,47,63,98,20
157,47,39,109,40
158,47,7,42,20
159,48,1,35,8
160,49,8,50,5
161,49,5,67,51
162,49,34,76,9
163,49,31,83,21
164,50,43,103,1
165,50,16,66,3
166,50,9,50,22
167,51,59,117,22
168,51,4,36,9
169,52,45,89,12
170,52,9,52,43
171,53,9,54,13
172,53,24,69,2
173,53,24,68,31
174,54,83,113,3
175,54,24,96,16
176,55,24,60,11
177,55,20,65,48
