item_id,machine_type,max_production_limit
0,1,2
0,8,2
1,3,1
1,4,1
2,7,2
3,1,1
3,4,1
4,5,4
5,8,1
5,3,1
6,5,1
6,8,1
6,1,1
7,3,2
8,3,2
8,2,2
9,4,1
10,5,1
11,4,3
12,5,1
12,7,1
13,6,2
14,9,2
15,6,2
15,4,2
16,5,1
16,6,1
17,8,2
17,7,2
17,3,2
18,7,2
19,8,3
19,5,3
20,9,3
21,7,3
21,5,3
22,7,1
23,4,2
24,4,2
24,7,2
25,4,1
25,3,1
26,7,3
26,4,3
26,9,3
27,1,2
28,8,1
29,6,4
30,7,1
31,9,1
32,5,1
33,4,2
34,5,2
34,6,2
35,2,1
35,8,1
36,6,2
36,5,2
37,3,2
37,5,2
38,1,2
38,5,2
38,4,2
39,4,1
40,7,1
41,7,1
42,4,2
43,4,3
44,2,1
45,3,1
45,6,1
46,2,1
46,9,1
47,8,3
47,6,3
48,7,2
48,1,2
49,8,3
50,9,1
51,2,1
51,6,1
52,7,2
52,2,2
53,6,2
53,9,2
54,1,1
54,3,1
54,7,1
55,6,2
55,5,2
56,7,3
57,5,1
58,4,1
59,3,2
60,5,4
60,8,4
60,7,4
61,5,1
61,9,1
62,2,2
63,1,1
64,1,1
65,7,3
65,2,3
66,3,1
66,6,1
67,1,1
67,5,1
68,6,1
69,6,3
69,1,3
70,2,1
71,9,1
72,2,3
72,6,3
72,4,3
73,4,2
74,2,2
75,3,1
76,5,1
77,5,2
78,3,3
79,3,1
79,2,1
80,9,3
80,6,3
81,3,1
82,9,3
83,4,1
83,1,1
84,6,1
85,8,1
85,7,1
86,9,2
87,4,1
88,9,1
89,2,2
90,1,2
91,1,2
91,9,2
92,5,1
93,1,3
93,6,3
94,9,1
95,4,3
95,2,3
96,1,3
97,5,1
98,4,4
98,8,4
98,9,4
99,4,2
100,1,1
100,9,1
101,8,1
101,1,1
102,6,2
103,5,2
103,6,2
104,8,3
105,1,2
105,9,2
106,7,2
106,5,2
106,2,2
107,6,3
107,4,3
108,5,1
108,7,1
109,1,1
110,4,1
110,9,1
110,1,1
111,5,1
112,7,1
112,5,1
113,6,2
114,7,1
114,5,1
115,7,2
115,1,2
115,9,2
116,7,2
117,3,1
117,1,1
118,3,2
118,4,2
119,7,1
119,8,1
