supplier_id,date,max_line_limit,importance
0,0,11,战略
0,1,11,战略
0,2,11,战略
0,3,11,战略
0,4,11,战略
0,5,11,战略
0,6,11,战略
0,7,11,战略
0,8,11,战略
0,9,11,战略
0,10,11,战略
0,11,11,战略
0,12,11,战略
0,13,11,战略
0,14,11,战略
0,15,11,战略
0,16,11,战略
0,17,11,战略
0,18,11,战略
0,19,11,战略
0,20,11,战略
0,21,11,战略
0,22,11,战略
0,23,11,战略
0,24,11,战略
0,25,11,战略
0,26,11,战略
0,27,11,战略
0,28,11,战略
0,29,11,战略
0,30,19,战略
0,31,19,战略
0,32,19,战略
0,33,19,战略
0,34,19,战略
0,35,19,战略
0,36,19,战略
0,37,19,战略
0,38,19,战略
0,39,19,战略
0,40,19,战略
0,41,19,战略
0,42,19,战略
0,43,19,战略
0,44,19,战略
0,45,19,战略
0,46,19,战略
0,47,19,战略
0,48,19,战略
0,49,19,战略
0,50,19,战略
0,51,19,战略
0,52,19,战略
0,53,19,战略
0,54,19,战略
0,55,19,战略
0,56,19,战略
0,57,19,战略
0,58,19,战略
0,59,19,战略
0,60,4,战略
0,61,4,战略
0,62,4,战略
0,63,4,战略
0,64,4,战略
0,65,4,战略
0,66,4,战略
0,67,4,战略
0,68,4,战略
0,69,4,战略
0,70,4,战略
0,71,4,战略
0,72,4,战略
0,73,4,战略
0,74,4,战略
0,75,4,战略
0,76,4,战略
0,77,4,战略
0,78,4,战略
0,79,4,战略
0,80,4,战略
0,81,4,战略
0,82,4,战略
0,83,4,战略
0,84,4,战略
0,85,4,战略
0,86,4,战略
0,87,4,战略
0,88,4,战略
0,89,4,战略
0,90,1,战略
0,91,1,战略
0,92,1,战略
0,93,1,战略
0,94,1,战略
0,95,1,战略
0,96,1,战略
0,97,1,战略
0,98,1,战略
0,99,1,战略
0,100,1,战略
0,101,1,战略
0,102,1,战略
0,103,1,战略
0,104,1,战略
0,105,1,战略
0,106,1,战略
0,107,1,战略
0,108,1,战略
0,109,1,战略
0,110,1,战略
0,111,1,战略
0,112,1,战略
0,113,1,战略
0,114,1,战略
0,115,1,战略
0,116,1,战略
0,117,1,战略
0,118,1,战略
0,119,1,战略
1,0,4,战略
1,1,4,战略
1,2,4,战略
1,3,4,战略
1,4,4,战略
1,5,4,战略
1,6,4,战略
1,7,4,战略
1,8,4,战略
1,9,4,战略
1,10,4,战略
1,11,4,战略
1,12,4,战略
1,13,4,战略
1,14,4,战略
1,15,4,战略
1,16,4,战略
1,17,4,战略
1,18,4,战略
1,19,4,战略
1,20,4,战略
1,21,4,战略
1,22,4,战略
1,23,4,战略
1,24,4,战略
1,25,4,战略
1,26,4,战略
1,27,4,战略
1,28,4,战略
1,29,4,战略
1,30,9,战略
1,31,9,战略
1,32,9,战略
1,33,9,战略
1,34,9,战略
1,35,9,战略
1,36,9,战略
1,37,9,战略
1,38,9,战略
1,39,9,战略
1,40,9,战略
1,41,9,战略
1,42,9,战略
1,43,9,战略
1,44,9,战略
1,45,9,战略
1,46,9,战略
1,47,9,战略
1,48,9,战略
1,49,9,战略
1,50,9,战略
1,51,9,战略
1,52,9,战略
1,53,9,战略
1,54,9,战略
1,55,9,战略
1,56,9,战略
1,57,9,战略
1,58,9,战略
1,59,9,战略
1,60,3,战略
1,61,3,战略
1,62,3,战略
1,63,3,战略
1,64,3,战略
1,65,3,战略
1,66,3,战略
1,67,3,战略
1,68,3,战略
1,69,3,战略
1,70,3,战略
1,71,3,战略
1,72,3,战略
1,73,3,战略
1,74,3,战略
1,75,3,战略
1,76,3,战略
1,77,3,战略
1,78,3,战略
1,79,3,战略
1,80,3,战略
1,81,3,战略
1,82,3,战略
1,83,3,战略
1,84,3,战略
1,85,3,战略
1,86,3,战略
1,87,3,战略
1,88,3,战略
1,89,3,战略
1,90,19,战略
1,91,19,战略
1,92,19,战略
1,93,19,战略
1,94,19,战略
1,95,19,战略
1,96,19,战略
1,97,19,战略
1,98,19,战略
1,99,19,战略
1,100,19,战略
1,101,19,战略
1,102,19,战略
1,103,19,战略
1,104,19,战略
1,105,19,战略
1,106,19,战略
1,107,19,战略
1,108,19,战略
1,109,19,战略
1,110,19,战略
1,111,19,战略
1,112,19,战略
1,113,19,战略
1,114,19,战略
1,115,19,战略
1,116,19,战略
1,117,19,战略
1,118,19,战略
1,119,19,战略
2,0,24,核心
2,1,24,核心
2,2,24,核心
2,3,24,核心
2,4,24,核心
2,5,24,核心
2,6,24,核心
2,7,24,核心
2,8,24,核心
2,9,24,核心
2,10,24,核心
2,11,24,核心
2,12,24,核心
2,13,24,核心
2,14,24,核心
2,15,24,核心
