machine_id,supplier_id,month,planned_capacity,machine_type
0,0,0,201,5
0,0,1,76,5
0,0,2,45,5
0,0,3,108,5
1,0,0,126,5
1,0,1,153,5
1,0,2,186,5
1,0,3,201,5
2,0,0,40,9
2,0,1,92,9
2,0,2,147,9
2,0,3,33,9
3,0,0,16,4
3,0,1,18,4
3,0,2,128,4
3,0,3,182,4
4,0,0,172,7
4,0,1,128,7
4,0,2,111,7
4,0,3,164,7
5,0,0,70,5
5,0,1,110,5
5,0,2,11,5
5,0,3,56,5
6,0,0,10,9
6,0,1,32,9
6,0,2,11,9
6,0,3,94,9
7,0,0,120,9
7,0,1,57,9
7,0,2,95,9
7,0,3,24,9
8,1,0,119,9
8,1,1,25,9
8,1,2,195,9
8,1,3,41,9
9,1,0,38,0
9,1,1,167,0
9,1,2,110,0
9,1,3,215,0
10,1,0,190,9
10,1,1,162,9
10,1,2,13,9
10,1,3,13,9
11,1,0,67,7
11,1,1,31,7
11,1,2,110,7
11,1,3,24,7
12,2,0,24,8
12,2,1,98,8
12,2,2,44,8
12,2,3,22,8
13,2,0,34,8
13,2,1,44,8
13,2,2,19,8
13,2,3,172,8
14,3,0,200,1
14,3,1,99,1
14,3,2,69,1
14,3,3,187,1
15,3,0,43,7
15,3,1,139,7
15,3,2,132,7
15,3,3,36,7
16,4,0,205,5
16,4,1,214,5
16,4,2,111,5
16,4,3,21,5
17,4,0,22,9
17,4,1,16,9
17,4,2,32,9
17,4,3,52,9
18,4,0,89,10
18,4,1,48,10
18,4,2,21,10
18,4,3,68,10
19,5,0,143,2
19,5,1,31,2
19,5,2,165,2
19,5,3,137,2
20,5,0,202,5
20,5,1,151,5
20,5,2,149,5
20,5,3,162,5
21,5,0,79,0
21,5,1,219,0
21,5,2,44,0
21,5,3,67,0
22,5,0,178,10
22,5,1,10,10
22,5,2,215,10
22,5,3,72,10
23,6,0,206,6
23,6,1,164,6
23,6,2,127,6
23,6,3,79,6
24,7,0,150,5
24,7,1,60,5
24,7,2,35,5
24,7,3,43,5
25,7,0,41,7
25,7,1,60,7
25,7,2,18,7
25,7,3,26,7
26,8,0,203,9
26,8,1,33,9
26,8,2,104,9
26,8,3,169,9
27,8,0,26,10
27,8,1,21,10
27,8,2,62,10
27,8,3,16,10
28,8,0,139,2
28,8,1,210,2
28,8,2,187,2
28,8,3,71,2
29,9,0,214,9
29,9,1,92,9
29,9,2,119,9
29,9,3,143,9
