item_id,machine_type,max_production_limit
0,1,1
0,4,1
1,4,1
1,1,1
1,2,1
2,2,2
2,9,2
3,2,1
3,1,1
4,3,2
4,6,2
4,9,2
5,4,1
5,7,1
6,7,1
7,8,2
7,7,2
7,3,2
8,3,2
8,1,2
9,5,2
9,6,2
10,6,2
10,5,2
11,6,1
12,4,1
12,6,1
12,3,1
13,4,1
13,9,1
14,9,1
15,7,2
16,6,2
16,8,2
16,1,2
17,4,2
17,5,2
18,6,1
19,7,2
20,5,1
20,2,1
20,6,1
21,3,1
21,9,1
22,5,1
23,9,1
23,7,1
24,5,2
24,7,2
25,5,1
25,6,1
26,4,1
27,1,2
27,4,2
28,7,3
28,1,3
29,6,1
30,4,2
31,6,3
32,2,1
32,1,1
32,9,1
33,1,3
33,7,3
34,7,1
35,6,2
35,7,2
35,3,2
36,4,1
37,9,2
38,6,1
39,7,2
39,6,2
40,5,3
40,4,3
41,6,1
42,5,1
43,8,2
44,6,1
44,8,1
44,4,1
45,7,1
45,4,1
46,2,1
46,5,1
46,4,1
47,2,1
47,1,1
47,4,1
48,3,2
49,5,1
49,9,1
49,4,1
50,1,1
50,9,1
51,2,1
52,4,1
53,1,1
53,2,1
54,6,1
54,1,1
54,8,1
55,2,1
55,4,1
56,5,1
56,3,1
57,6,2
57,8,2
58,9,1
58,3,1
59,6,1
59,2,1
59,1,1
60,9,1
61,1,1
62,1,1
62,2,1
63,8,1
64,6,1
65,7,3
66,6,1
66,5,1
67,5,1
67,3,1
68,5,1
68,4,1
69,5,1
70,7,1
70,4,1
71,2,2
71,9,2
71,6,2
72,6,1
72,4,1
73,3,1
74,5,1
75,7,1
76,2,1
77,1,1
78,6,1
78,2,1
79,3,1
80,2,1
81,4,1
81,9,1
81,2,1
82,8,2
83,3,2
83,4,2
83,9,2
84,3,2
84,2,2
84,7,2
85,8,3
86,8,2
86,2,2
87,1,2
87,5,2
87,4,2
88,2,2
88,4,2
89,1,2
89,8,2
90,2,1
91,9,1
91,8,1
92,6,1
93,3,2
93,1,2
94,2,3
95,9,1
95,4,1
95,1,1
96,7,1
96,8,1
96,4,1
97,7,2
98,4,1
99,7,1
99,2,1
