order_id,item_id,arrival_date,due_date,capacity_needed
0,0,13,84,27
1,1,54,89,30
2,2,22,75,44
3,3,31,72,21
4,3,67,102,9
5,3,50,95,8
6,3,25,82,41
7,4,36,88,41
8,4,38,69,44
9,4,28,84,15
10,4,36,79,55
11,5,25,95,54
12,5,31,82,34
13,6,1,56,37
14,6,29,83,12
15,6,13,82,36
16,7,2,81,48
17,7,47,99,25
18,7,61,106,3
19,7,43,113,18
20,7,74,107,5
21,7,32,105,8
22,7,2,67,15
23,7,21,61,6
24,8,42,88,6
25,8,77,112,27
26,8,54,116,29
27,9,11,55,21
28,9,51,91,8
29,9,75,120,14
30,10,35,105,10
31,11,40,113,28
32,11,65,120,7
33,11,59,102,45
34,12,66,120,15
35,12,5,43,35
36,12,14,82,27
37,12,39,99,11
38,13,65,108,37
39,13,59,93,6
40,14,21,79,34
41,14,47,89,14
42,14,5,70,1
43,14,12,69,55
44,15,27,97,9
45,15,57,107,40
46,15,3,56,5
47,15,14,94,22
48,16,11,61,5
49,16,20,55,10
50,16,24,81,28
51,16,34,76,32
52,17,0,52,12
53,17,65,116,11
54,17,51,109,22
55,18,36,102,6
56,18,30,73,50
57,18,1,68,12
58,19,8,53,26
59,19,19,74,15
60,20,69,118,17
61,20,45,95,13
62,20,51,83,11
63,20,49,118,6
64,21,33,73,21
65,21,28,70,8
66,21,68,103,25
67,21,40,92,15
68,22,31,83,14
69,22,54,88,12
70,22,2,45,3
71,22,8,41,38
72,23,67,97,9
73,23,90,120,43
74,23,45,107,7
75,24,9,39,16
76,25,62,107,10
77,25,35,97,5
78,25,11,51,5
79,25,67,115,30
80,25,75,108,16
81,25,69,104,14
82,25,32,71,8
83,25,19,58,19
84,25,3,59,15
85,26,64,117,17
86,26,7,69,23
87,27,37,103,2
88,27,31,91,4
89,28,18,50,28
90,28,43,94,35
91,28,75,115,6
92,29,63,116,15
93,29,58,113,23
94,29,8,48,15
95,29,5,79,20
96,30,0,45,19
97,30,21,56,20
98,30,29,109,11
99,31,53,101,13
100,31,4,51,14
101,31,54,99,24
102,32,72,115,11
103,32,28,98,29
104,32,37,102,21
105,32,51,83,19
106,32,40,84,11
107,33,62,98,27
108,33,20,60,34
109,33,20,71,28
110,33,39,118,34
111,34,48,100,23
112,34,32,85,6
113,34,63,108,36
114,35,22,64,37
115,35,41,81,10
116,35,8,84,17
117,35,36,102,51
118,36,9,62,10
119,36,3,46,35
120,37,27,87,1
121,37,10,62,15
122,37,33,72,18
123,37,1,55,38
124,38,46,89,25
125,38,77,114,25
126,38,58,99,13
127,38,64,107,11
128,38,0,35,27
