item_id,machine_type,max_production_limit
0,6,1
0,4,1
1,7,2
2,4,1
2,1,1
3,1,2
4,1,1
5,2,1
6,8,2
7,5,1
7,6,1
7,1,1
8,1,1
8,2,1
9,2,1
10,2,1
10,6,1
11,6,2
11,9,2
12,5,2
12,7,2
12,2,2
13,9,1
13,8,1
14,2,1
14,5,1
15,8,2
15,6,2
16,9,3
16,6,3
16,1,3
17,3,1
17,6,1
18,8,3
18,6,3
19,2,1
20,1,1
20,2,1
20,3,1
21,4,2
21,7,2
22,5,3
23,6,3
23,9,3
24,2,2
24,5,2
25,3,2
26,4,1
26,9,1
27,2,2
27,8,2
28,4,2
28,8,2
29,8,1
29,5,1
30,5,1
30,2,1
31,3,3
31,7,3
31,6,3
32,8,1
33,2,3
34,9,3
34,8,3
35,3,2
35,2,2
36,4,1
36,2,1
37,7,1
38,3,4
39,1,2
40,7,2
40,8,2
40,2,2
41,9,2
42,8,1
43,4,1
44,3,1
45,4,1
45,3,1
46,3,2
47,1,1
47,3,1
48,9,1
49,7,1
49,5,1
50,5,2
51,3,1
51,4,1
51,2,1
52,8,2
53,2,2
54,9,2
55,4,1
56,7,3
56,1,3
56,4,3
57,7,1
58,4,1
58,5,1
59,4,1
59,5,1
60,1,2
60,8,2
60,2,2
61,4,1
62,6,1
63,1,1
64,8,1
64,7,1
65,1,1
65,9,1
66,4,3
66,2,3
67,4,1
68,1,2
69,2,1
69,9,1
70,4,1
70,5,1
70,7,1
71,5,2
72,1,1
73,7,1
73,9,1
73,5,1
74,5,3
75,5,2
76,8,1
76,6,1
77,4,1
77,6,1
78,5,2
79,3,1
80,7,1
81,8,1
81,1,1
82,8,2
82,2,2
82,1,2
83,6,1
83,3,1
84,1,1
84,8,1
85,1,1
86,2,1
87,8,2
87,1,2
87,9,2
88,2,2
89,7,3
90,1,2
91,5,2
91,1,2
92,2,1
93,1,1
94,1,4
94,2,4
95,3,1
95,5,1
95,1,1
96,7,1
96,8,1
96,4,1
97,9,2
98,3,2
99,1,1
99,4,1
