machine_id,supplier_id,month,planned_capacity,machine_type
0,0,0,130,5
0,0,1,33,5
0,0,2,10,5
0,0,3,68,5
1,0,0,36,10
1,0,1,21,10
1,0,2,54,10
1,0,3,137,10
2,0,0,137,7
2,0,1,127,7
2,0,2,157,7
2,0,3,179,7
3,1,0,31,4
3,1,1,146,4
3,1,2,56,4
3,1,3,40,4
4,1,0,157,1
4,1,1,108,1
4,1,2,29,1
4,1,3,19,1
5,2,0,199,9
5,2,1,24,9
5,2,2,31,9
5,2,3,24,9
6,2,0,54,2
6,2,1,79,2
6,2,2,138,2
6,2,3,65,2
7,2,0,12,8
7,2,1,170,8
7,2,2,36,8
7,2,3,218,8
8,2,0,19,10
8,2,1,51,10
8,2,2,60,10
8,2,3,98,10
9,3,0,16,1
9,3,1,161,1
9,3,2,163,1
9,3,3,186,1
10,3,0,185,4
10,3,1,71,4
10,3,2,170,4
10,3,3,216,4
11,3,0,41,6
11,3,1,32,6
11,3,2,123,6
11,3,3,33,6
12,3,0,94,8
12,3,1,197,8
12,3,2,63,8
12,3,3,19,8
13,3,0,151,8
13,3,1,118,8
13,3,2,12,8
13,3,3,212,8
14,4,0,25,5
14,4,1,11,5
14,4,2,71,5
14,4,3,145,5
15,4,0,216,1
15,4,1,125,1
15,4,2,59,1
15,4,3,130,1
16,4,0,38,8
16,4,1,30,8
16,4,2,12,8
16,4,3,18,8
17,4,0,59,8
17,4,1,61,8
17,4,2,18,8
17,4,3,118,8
18,5,0,35,7
18,5,1,60,7
18,5,2,115,7
18,5,3,130,7
19,5,0,19,3
19,5,1,121,3
19,5,2,26,3
19,5,3,192,3
20,5,0,130,8
20,5,1,90,8
20,5,2,45,8
20,5,3,40,8
21,6,0,212,0
21,6,1,72,0
21,6,2,58,0
21,6,3,197,0
22,6,0,73,3
22,6,1,153,3
22,6,2,142,3
22,6,3,36,3
23,7,0,26,8
23,7,1,28,8
23,7,2,198,8
23,7,3,217,8
24,7,0,181,10
24,7,1,79,10
24,7,2,92,10
24,7,3,159,10
25,7,0,61,2
25,7,1,81,2
25,7,2,216,2
25,7,3,43,2
26,8,0,68,7
26,8,1,70,7
26,8,2,41,7
26,8,3,36,7
27,8,0,166,8
27,8,1,27,8
27,8,2,130,8
27,8,3,91,8
28,8,0,161,8
28,8,1,210,8
28,8,2,65,8
28,8,3,118,8
29,9,0,193,6
29,9,1,54,6
29,9,2,128,6
29,9,3,31,6
30,9,0,80,10
30,9,1,60,10
30,9,2,189,10
30,9,3,35,10
31,9,0,113,2
31,9,1,182,2
31,9,2,210,2
31,9,3,25,2
32,9,0,34,1
32,9,1,109,1
32,9,2,100,1
32,9,3,15,1
33,10,0,16,3
33,10,1,208,3
33,10,2,37,3
33,10,3,100,3
34,10,0,70,4
34,10,1,207,4
34,10,2,18,4
34,10,3,38,4
35,10,0,162,6
35,10,1,45,6
35,10,2,35,6
35,10,3,14,6
36,11,0,19,7
36,11,1,126,7
36,11,2,167,7
36,11,3,26,7
37,11,0,32,10
37,11,1,33,10
37,11,2,67,10
37,11,3,104,10
38,11,0,30,10
38,11,1,139,10
38,11,2,137,10
38,11,3,16,10
39,11,0,189,9
39,11,1,43,9
39,11,2,61,9
39,11,3,22,9
40,12,0,50,3
40,12,1,20,3
40,12,2,28,3
40,12,3,60,3
41,12,0,186,9
41,12,1,194,9
41,12,2,23,9
41,12,3,78,9
42,12,0,30,3
42,12,1,52,3
42,12,2,100,3
42,12,3,195,3
43,12,0,128,7
43,12,1,65,7
43,12,2,20,7
43,12,3,68,7
44,13,0,43,7
44,13,1,35,7
44,13,2,63,7
44,13,3,36,7
45,13,0,31,7
45,13,1,39,7
45,13,2,163,7
45,13,3,97,7
46,14,0,42,10
46,14,1,120,10
46,14,2,21,10
46,14,3,111,10
47,15,0,31,3
47,15,1,144,3
47,15,2,22,3
47,15,3,44,3
48,15,0,10,6
48,15,1,103,6
48,15,2,145,6
48,15,3,93,6
49,15,0,127,6
49,15,1,80,6
49,15,2,23,6
49,15,3,37,6
50,16,0,31,1
50,16,1,192,1
50,16,2,122,1
50,16,3,159,1
51,16,0,48,8
51,16,1,12,8
51,16,2,67,8
51,16,3,47,8
52,16,0,80,3
52,16,1,59,3
52,16,2,11,3
52,16,3,40,3
53,16,0,29,3
53,16,1,208,3
53,16,2,24,3
53,16,3,36,3
54,17,0,150,6
54,17,1,21,6
54,17,2,97,6
54,17,3,29,6
55,17,0,193,1
55,17,1,12,1
55,17,2,174,1
55,17,3,171,1
56,17,0,99,10
56,17,1,55,10
56,17,2,72,10
56,17,3,101,10
57,18,0,43,5
57,18,1,134,5
57,18,2,95,5
57,18,3,61,5
58,18,0,92,5
58,18,1,24,5
58,18,2,36,5
58,18,3,34,5
59,19,0,155,5
59,19,1,41,5
59,19,2,129,5
59,19,3,12,5
60,19,0,64,5
60,19,1,34,5
60,19,2,123,5
60,19,3,53,5
61,19,0,125,4
61,19,1,127,4
61,19,2,45,4
61,19,3,89,4
62,19,0,153,4
62,19,1,19,4
62,19,2,13,4
62,19,3,22,4
63,19,0,143,8
63,19,1,39,8
63,19,2,197,8
63,19,3,56,8
