supplier_id,date,max_line_limit,importance
0,0,4,合格
0,1,2,合格
0,2,18,合格
0,3,18,合格
0,4,3,合格
0,5,6,合格
0,6,7,合格
0,7,8,合格
0,8,4,合格
0,9,10,合格
0,10,8,合格
0,11,3,合格
0,12,13,合格
0,13,7,合格
0,14,1,合格
0,15,3,合格
0,16,13,合格
0,17,3,合格
0,18,6,合格
0,19,2,合格
0,20,9,合格
0,21,4,合格
0,22,1,合格
0,23,2,合格
0,24,1,合格
0,25,1,合格
0,26,24,合格
0,27,5,合格
0,28,7,合格
0,29,3,合格
0,30,18,合格
0,31,5,合格
0,32,6,合格
0,33,2,合格
0,34,13,合格
0,35,12,合格
0,36,1,合格
0,37,5,合格
0,38,25,合格
0,39,8,合格
0,40,5,合格
0,41,3,合格
0,42,20,合格
0,43,1,合格
0,44,2,合格
0,45,6,合格
0,46,2,合格
0,47,3,合格
0,48,2,合格
0,49,2,合格
0,50,7,合格
0,51,9,合格
0,52,13,合格
0,53,10,合格
0,54,13,合格
0,55,1,合格
0,56,8,合格
0,57,3,合格
0,58,2,合格
0,59,7,合格
0,60,10,合格
0,61,12,合格
0,62,24,合格
0,63,8,合格
0,64,8,合格
0,65,4,合格
0,66,2,合格
0,67,3,合格
0,68,18,合格
0,69,11,合格
0,70,21,合格
0,71,12,合格
0,72,3,合格
0,73,17,合格
0,74,14,合格
0,75,12,合格
0,76,9,合格
0,77,1,合格
0,78,5,合格
0,79,13,合格
0,80,2,合格
0,81,1,合格
0,82,22,合格
0,83,17,合格
0,84,18,合格
0,85,4,合格
0,86,3,合格
0,87,17,合格
0,88,1,合格
0,89,10,合格
0,90,3,合格
0,91,3,合格
0,92,7,合格
0,93,4,合格
0,94,21,合格
0,95,1,合格
0,96,11,合格
0,97,3,合格
0,98,17,合格
0,99,10,合格
0,100,1,合格
0,101,2,合格
0,102,2,合格
0,103,3,合格
0,104,3,合格
0,105,4,合格
0,106,5,合格
0,107,2,合格
0,108,3,合格
0,109,7,合格
0,110,3,合格
0,111,13,合格
0,112,8,合格
0,113,24,合格
0,114,8,合格
0,115,17,合格
0,116,8,合格
0,117,20,合格
0,118,13,合格
0,119,24,合格
1,0,2,合格
1,1,10,合格
1,2,6,合格
1,3,2,合格
1,4,11,合格
1,5,15,合格
1,6,7,合格
1,7,4,合格
1,8,2,合格
1,9,9,合格
1,10,1,合格
1,11,7,合格
1,12,1,合格
1,13,6,合格
1,14,9,合格
1,15,17,合格
1,16,9,合格
1,17,11,合格
1,18,11,合格
1,19,9,合格
1,20,8,合格
1,21,7,合格
1,22,9,合格
1,23,7,合格
1,24,1,合格
1,25,3,合格
1,26,2,合格
1,27,12,合格
1,28,12,合格
1,29,3,合格
1,30,1,合格
1,31,20,合格
1,32,9,合格
1,33,9,合格
1,34,4,合格
1,35,17,合格
1,36,2,合格
1,37,8,合格
1,38,2,合格
1,39,4,合格
1,40,4,合格
1,41,1,合格
1,42,23,合格
1,43,10,合格
1,44,1,合格
1,45,3,合格
1,46,16,合格
1,47,1,合格
1,48,18,合格
1,49,10,合格
1,50,1,合格
1,51,2,合格
1,52,3,合格
1,53,17,合格
1,54,4,合格
1,55,9,合格
1,56,4,合格
1,57,25,合格
1,58,7,合格
1,59,3,合格
1,60,17,合格
1,61,3,合格
1,62,15,合格
1,63,2,合格
1,64,4,合格
1,65,1,合格
1,66,2,合格
1,67,1,合格
1,68,5,合格
1,69,1,合格
1,70,3,合格
1,71,9,合格
1,72,8,合格
1,73,6,合格
1,74,1,合格
1,75,2,合格
1,76,7,合格
1,77,20,合格
1,78,3,合格
1,79,5,合格
1,80,8,合格
1,81,9,合格
1,82,11,合格
1,83,18,合格
1,84,20,合格
1,85,1,合格
1,86,3,合格
1,87,4,合格
1,88,6,合格
1,89,1,合格
1,90,13,合格
1,91,2,合格
1,92,8,合格
1,93,8,合格
1,94,11,合格
1,95,3,合格
1,96,15,合格
1,97,6,合格
1,98,3,合格
1,99,17,合格
1,100,17,合格
1,101,7,合格
1,102,3,合格
1,103,21,合格
1,104,10,合格
1,105,3,合格
1,106,1,合格
1,107,3,合格
1,108,9,合格
1,109,22,合格
1,110,2,合格
1,111,4,合格
1,112,4,合格
1,113,1,合格
1,114,1,合格
1,115,8,合格
1,116,9,合格
1,117,5,合格
1,118,7,合格
1,119,3,合格
2,0,3,战略
2,1,9,战略
2,2,5,战略
2,3,3,战略
2,4,3,战略
2,5,11,战略
2,6,4,战略
2,7,18,战略
2,8,13,战略
2,9,1,战略
2,10,19,战略
2,11,1,战略
2,12,9,战略
2,13,6,战略
2,14,8,战略
2,15,3,战略
2,16,5,战略
2,17,10,战略
2,18,18,战略
2,19,8,战略
2,20,6,战略
2,21,2,战略
2,22,7,战略
2,23,5,战略
2,24,1,战略
2,25,3,战略
2,26,3,战略
2,27,11,战略
2,28,4,战略
2,29,10,战略
2,30,10,战略
2,31,5,战略
2,32,11,战略
2,33,5,战略
2,34,10,战略
2,35,12,战略
2,36,1,战略
2,37,5,战略
2,38,14,战略
2,39,10,战略
2,40,11,战略
2,41,17,战略
2,42,7,战略
2,43,1,战略
2,44,4,战略
2,45,1,战略
2,46,9,战略
2,47,18,战略
2,48,3,战略
2,49,12,战略
2,50,24,战略
2,51,11,战略
2,52,13,战略
2,53,8,战略
2,54,13,战略
2,55,2,战略
2,56,3,战略
2,57,4,战略
2,58,1,战略
2,59,4,战略
2,60,2,战略
2,61,3,战略
2,62,13,战略
2,63,12,战略
2,64,3,战略
2,65,21,战略
2,66,17,战略
2,67,3,战略
2,68,9,战略
2,69,15,战略
2,70,1,战略
2,71,14,战略
2,72,2,战略
2,73,3,战略
2,74,9,战略
2,75,1,战略
2,76,3,战略
2,77,1,战略
2,78,3,战略
2,79,3,战略
2,80,16,战略
2,81,3,战略
2,82,12,战略
2,83,3,战略
2,84,1,战略
2,85,2,战略
2,86,7,战略
2,87,3,战略
2,88,23,战略
2,89,8,战略
2,90,18,战略
2,91,1,战略
2,92,9,战略
2,93,4,战略
2,94,23,战略
2,95,1,战略
2,96,1,战略
2,97,3,战略
2,98,8,战略
2,99,3,战略
2,100,1,战略
2,101,8,战略
2,102,13,战略
2,103,2,战略
2,104,1,战略
2,105,1,战略
2,106,3,战略
2,107,5,战略
2,108,1,战略
2,109,13,战略
2,110,22,战略
2,111,3,战略
2,112,9,战略
2,113,3,战略
2,114,3,战略
2,115,3,战略
2,116,9,战略
2,117,1,战略
2,118,7,战略
2,119,3,战略
3,0,10,观察
3,1,11,观察
3,2,10,观察
3,3,22,观察
3,4,5,观察
3,5,4,观察
3,6,2,观察
3,7,13,观察
3,8,13,观察
3,9,2,观察
3,10,11,观察
3,11,8,观察
3,12,4,观察
3,13,5,观察
3,14,1,观察
3,15,10,观察
3,16,3,观察
3,17,24,观察
3,18,1,观察
3,19,3,观察
3,20,1,观察
3,21,7,观察
3,22,13,观察
3,23,13,观察
3,24,8,观察
3,25,3,观察
3,26,13,观察
3,27,1,观察
3,28,20,观察
3,29,11,观察
3,30,7,观察
3,31,23,观察
3,32,3,观察
3,33,2,观察
3,34,2,观察
3,35,4,观察
3,36,11,观察
3,37,3,观察
3,38,2,观察
3,39,1,观察
3,40,1,观察
3,41,1,观察
3,42,2,观察
3,43,15,观察
3,44,14,观察
3,45,2,观察
3,46,1,观察
3,47,3,观察
3,48,13,观察
3,49,2,观察
3,50,13,观察
3,51,5,观察
3,52,1,观察
3,53,8,观察
3,54,7,观察
3,55,6,观察
3,56,1,观察
3,57,2,观察
3,58,6,观察
3,59,2,观察
3,60,1,观察
3,61,3,观察
