supplier_id,date,max_line_limit,importance
0,0,13,战略
0,1,17,战略
0,2,4,战略
0,3,1,战略
0,4,23,战略
0,5,3,战略
0,6,7,战略
0,7,20,战略
0,8,11,战略
0,9,1,战略
0,10,1,战略
0,11,3,战略
0,12,7,战略
0,13,3,战略
0,14,3,战略
0,15,9,战略
0,16,3,战略
0,17,3,战略
0,18,3,战略
0,19,4,战略
0,20,3,战略
0,21,11,战略
0,22,13,战略
0,23,7,战略
0,24,21,战略
0,25,23,战略
0,26,17,战略
0,27,1,战略
0,28,11,战略
0,29,8,战略
0,30,3,战略
0,31,1,战略
0,32,9,战略
0,33,3,战略
0,34,1,战略
0,35,1,战略
0,36,4,战略
0,37,1,战略
0,38,3,战略
0,39,3,战略
0,40,11,战略
0,41,1,战略
0,42,8,战略
0,43,3,战略
0,44,2,战略
0,45,9,战略
0,46,3,战略
0,47,18,战略
0,48,3,战略
0,49,2,战略
0,50,10,战略
0,51,1,战略
0,52,1,战略
0,53,8,战略
0,54,3,战略
0,55,24,战略
0,56,11,战略
0,57,1,战略
0,58,17,战略
0,59,10,战略
0,60,13,战略
0,61,21,战略
0,62,7,战略
0,63,5,战略
0,64,22,战略
0,65,11,战略
0,66,1,战略
0,67,1,战略
0,68,17,战略
0,69,3,战略
0,70,6,战略
0,71,1,战略
0,72,9,战略
0,73,6,战略
0,74,13,战略
0,75,14,战略
0,76,1,战略
0,77,1,战略
0,78,9,战略
0,79,1,战略
0,80,19,战略
0,81,13,战略
0,82,6,战略
0,83,4,战略
0,84,1,战略
0,85,13,战略
0,86,1,战略
0,87,3,战略
0,88,1,战略
0,89,12,战略
0,90,4,战略
0,91,23,战略
0,92,17,战略
0,93,8,战略
0,94,3,战略
0,95,7,战略
0,96,3,战略
0,97,2,战略
0,98,1,战略
0,99,14,战略
0,100,11,战略
0,101,3,战略
0,102,23,战略
0,103,20,战略
0,104,7,战略
0,105,7,战略
0,106,19,战略
0,107,19,战略
0,108,1,战略
0,109,1,战略
0,110,2,战略
0,111,6,战略
0,112,12,战略
0,113,1,战略
0,114,7,战略
0,115,1,战略
0,116,1,战略
0,117,4,战略
0,118,1,战略
0,119,19,战略
1,0,8,5
1,1,2,5
1,2,16,5
1,3,18,5
1,4,18,5
1,5,15,5
1,6,24,5
1,7,15,5
1,8,9,5
1,9,3,5
1,10,1,5
1,11,14,5
1,12,12,5
1,13,5,5
1,14,12,5
1,15,2,5
1,16,9,5
1,17,2,5
1,18,9,5
1,19,13,5
1,20,17,5
1,21,3,5
1,22,6,5
1,23,2,5
1,24,1,5
1,25,4,5
1,26,3,5
1,27,9,5
1,28,10,5
1,29,18,5
1,30,1,5
1,31,7,5
1,32,4,5
1,33,5,5
1,34,7,5
1,35,3,5
1,36,3,5
1,37,8,5
1,38,3,5
1,39,6,5
1,40,9,5
1,41,10,5
1,42,8,5
1,43,1,5
1,44,5,5
1,45,11,5
1,46,10,5
1,47,8,5
1,48,9,5
1,49,5,5
1,50,5,5
1,51,22,5
1,52,13,5
1,53,1,5
1,54,24,5
1,55,8,5
1,56,3,5
