machine_id,supplier_id,month,planned_capacity,machine_type
0,0,0,173,7
0,0,1,40,7
0,0,2,61,7
0,0,3,18,7
1,0,0,26,8
1,0,1,109,8
1,0,2,160,8
1,0,3,95,8
2,1,0,184,3
2,1,1,101,3
2,1,2,40,3
2,1,3,111,3
3,2,0,133,5
3,2,1,20,5
3,2,2,160,5
3,2,3,200,5
4,3,0,56,2
4,3,1,47,2
4,3,2,128,2
4,3,3,22,2
5,4,0,133,8
5,4,1,201,8
5,4,2,30,8
5,4,3,152,8
6,4,0,60,9
6,4,1,63,9
6,4,2,42,9
6,4,3,11,9
7,5,0,22,6
7,5,1,34,6
7,5,2,127,6
7,5,3,19,6
8,5,0,89,0
8,5,1,204,0
8,5,2,131,0
8,5,3,36,0
9,5,0,154,10
9,5,1,45,10
9,5,2,207,10
9,5,3,47,10
10,6,0,110,0
10,6,1,77,0
10,6,2,116,0
10,6,3,28,0
11,6,0,51,8
11,6,1,17,8
11,6,2,83,8
11,6,3,151,8
12,6,0,72,0
12,6,1,75,0
12,6,2,39,0
12,6,3,20,0
13,6,0,104,4
13,6,1,21,4
13,6,2,16,4
13,6,3,35,4
14,7,0,12,2
14,7,1,67,2
14,7,2,194,2
14,7,3,87,2
15,7,0,114,9
15,7,1,206,9
15,7,2,36,9
15,7,3,11,9
16,7,0,40,1
16,7,1,15,1
16,7,2,187,1
16,7,3,102,1
17,7,0,42,7
17,7,1,94,7
17,7,2,68,7
17,7,3,147,7
18,7,0,43,6
18,7,1,76,6
18,7,2,10,6
18,7,3,70,6
19,8,0,164,6
19,8,1,36,6
19,8,2,127,6
19,8,3,12,6
20,8,0,61,8
20,8,1,96,8
20,8,2,50,8
20,8,3,159,8
21,8,0,217,6
21,8,1,159,6
21,8,2,10,6
21,8,3,52,6
22,9,0,42,1
22,9,1,190,1
22,9,2,75,1
22,9,3,69,1
23,9,0,35,2
23,9,1,32,2
23,9,2,98,2
23,9,3,90,2
24,9,0,132,0
24,9,1,19,0
24,9,2,216,0
24,9,3,110,0
