supplier_id,date,max_line_limit,importance
0,0,9,观察
0,1,1,观察
0,2,3,观察
0,3,25,观察
0,4,1,观察
0,5,4,观察
0,6,4,观察
0,7,7,观察
0,8,12,观察
0,9,4,观察
0,10,14,观察
0,11,3,观察
0,12,10,观察
0,13,13,观察
0,14,4,观察
0,15,8,观察
0,16,1,观察
0,17,1,观察
0,18,3,观察
0,19,18,观察
0,20,13,观察
0,21,25,观察
0,22,24,观察
0,23,7,观察
0,24,13,观察
0,25,8,观察
0,26,3,观察
0,27,3,观察
0,28,3,观察
0,29,1,观察
0,30,2,观察
0,31,1,观察
0,32,11,观察
0,33,9,观察
0,34,13,观察
0,35,3,观察
0,36,2,观察
0,37,13,观察
0,38,2,观察
0,39,13,观察
0,40,3,观察
0,41,1,观察
0,42,3,观察
0,43,12,观察
0,44,9,观察
0,45,5,观察
0,46,6,观察
0,47,4,观察
0,48,6,观察
0,49,1,观察
0,50,17,观察
0,51,2,观察
0,52,3,观察
0,53,14,观察
0,54,17,观察
0,55,12,观察
0,56,6,观察
0,57,7,观察
0,58,3,观察
0,59,2,观察
0,60,13,观察
0,61,10,观察
0,62,8,观察
0,63,9,观察
0,64,15,观察
0,65,1,观察
0,66,16,观察
0,67,6,观察
0,68,18,观察
0,69,12,观察
0,70,7,观察
0,71,1,观察
0,72,14,观察
0,73,3,观察
0,74,3,观察
0,75,1,观察
0,76,13,观察
0,77,1,观察
0,78,11,观察
0,79,4,观察
0,80,1,观察
0,81,2,观察
0,82,7,观察
0,83,1,观察
0,84,13,观察
0,85,12,观察
0,86,9,观察
0,87,8,观察
0,88,6,观察
0,89,7,观察
0,90,4,观察
0,91,1,观察
0,92,8,观察
0,93,13,观察
0,94,3,观察
0,95,7,观察
0,96,4,观察
0,97,14,观察
0,98,8,观察
0,99,16,观察
0,100,12,观察
0,101,2,观察
0,102,17,观察
0,103,1,观察
0,104,1,观察
0,105,1,观察
0,106,17,观察
0,107,9,观察
0,108,21,观察
0,109,10,观察
0,110,22,观察
0,111,4,观察
0,112,25,观察
0,113,25,观察
0,114,18,观察
0,115,7,观察
0,116,2,观察
0,117,7,观察
0,118,19,观察
0,119,14,观察
1,0,7,5
1,1,14,5
1,2,12,5
1,3,2,5
1,4,3,5
1,5,4,5
1,6,8,5
1,7,18,5
1,8,11,5
1,9,2,5
1,10,10,5
1,11,4,5
1,12,3,5
1,13,13,5
1,14,2,5
1,15,4,5
1,16,7,5
1,17,17,5
1,18,9,5
1,19,1,5
1,20,12,5
1,21,11,5
1,22,3,5
1,23,17,5
1,24,4,5
1,25,3,5
1,26,13,5
1,27,7,5
1,28,3,5
1,29,3,5
1,30,13,5
1,31,11,5
1,32,1,5
1,33,9,5
1,34,2,5
1,35,11,5
1,36,3,5
1,37,24,5
1,38,8,5
1,39,20,5
1,40,13,5
1,41,19,5
1,42,19,5
1,43,2,5
1,44,7,5
1,45,23,5
1,46,6,5
1,47,4,5
1,48,3,5
1,49,3,5
1,50,3,5
1,51,8,5
1,52,5,5
1,53,1,5
1,54,9,5
1,55,7,5
1,56,5,5
1,57,5,5
1,58,17,5
1,59,4,5
1,60,3,5
1,61,1,5
1,62,7,5
1,63,5,5
1,64,10,5
1,65,2,5
1,66,2,5
1,67,19,5
1,68,13,5
1,69,16,5
1,70,11,5
1,71,4,5
1,72,1,5
1,73,20,5
1,74,12,5
1,75,11,5
1,76,1,5
1,77,1,5
1,78,17,5
1,79,15,5
1,80,1,5
1,81,4,5
1,82,12,5
1,83,13,5
1,84,3,5
1,85,11,5
1,86,3,5
1,87,3,5
1,88,20,5
1,89,3,5
1,90,13,5
1,91,6,5
1,92,8,5
1,93,1,5
1,94,12,5
1,95,8,5
1,96,7,5
1,97,18,5
1,98,7,5
1,99,8,5
1,100,10,5
1,101,3,5
1,102,3,5
1,103,1,5
1,104,4,5
1,105,1,5
1,106,13,5
1,107,1,5
1,108,1,5
1,109,18,5
1,110,20,5
1,111,20,5
1,112,10,5
1,113,2,5
1,114,3,5
1,115,18,5
1,116,10,5
1,117,8,5
1,118,9,5
1,119,1,5
2,0,3,核心
2,1,3,核心
2,2,7,核心
2,3,11,核心
2,4,11,核心
2,5,1,核心
2,6,3,核心
2,7,1,核心
2,8,1,核心
2,9,2,核心
2,10,17,核心
2,11,20,核心
2,12,9,核心
2,13,9,核心
2,14,2,核心
2,15,1,核心
2,16,23,核心
2,17,18,核心
2,18,9,核心
2,19,2,核心
2,20,11,核心
2,21,18,核心
2,22,3,核心
2,23,3,核心
2,24,14,核心
2,25,4,核心
2,26,1,核心
2,27,2,核心
2,28,3,核心
2,29,20,核心
2,30,3,核心
2,31,13,核心
2,32,3,核心
2,33,19,核心
2,34,3,核心
2,35,25,核心
2,36,11,核心
2,37,1,核心
2,38,9,核心
2,39,7,核心
2,40,13,核心
2,41,1,核心
2,42,11,核心
2,43,4,核心
2,44,4,核心
2,45,7,核心
2,46,7,核心
2,47,25,核心
2,48,1,核心
2,49,10,核心
2,50,3,核心
2,51,1,核心
2,52,3,核心
2,53,1,核心
2,54,6,核心
2,55,1,核心
2,56,13,核心
2,57,3,核心
2,58,7,核心
2,59,13,核心
2,60,11,核心
2,61,17,核心
2,62,11,核心
2,63,18,核心
2,64,3,核心
2,65,2,核心
2,66,10,核心
2,67,13,核心
2,68,9,核心
2,69,3,核心
2,70,3,核心
2,71,14,核心
2,72,7,核心
2,73,8,核心
2,74,8,核心
2,75,8,核心
2,76,2,核心
2,77,3,核心
2,78,3,核心
2,79,2,核心
2,80,13,核心
2,81,8,核心
2,82,2,核心
2,83,7,核心
2,84,6,核心
2,85,3,核心
2,86,17,核心
2,87,15,核心
2,88,12,核心
2,89,13,核心
2,90,8,核心
2,91,20,核心
2,92,4,核心
2,93,1,核心
2,94,1,核心
2,95,3,核心
2,96,3,核心
2,97,6,核心
2,98,3,核心
2,99,4,核心
2,100,3,核心
2,101,5,核心
2,102,12,核心
2,103,23,核心
2,104,3,核心
2,105,3,核心
2,106,7,核心
2,107,11,核心
2,108,4,核心
2,109,1,核心
2,110,2,核心
2,111,14,核心
2,112,13,核心
2,113,1,核心
2,114,11,核心
2,115,9,核心
2,116,16,核心
2,117,1,核心
2,118,2,核心
2,119,18,核心
3,0,4,核心
3,1,9,核心
3,2,1,核心
3,3,1,核心
3,4,9,核心
3,5,7,核心
3,6,3,核心
3,7,20,核心
3,8,3,核心
3,9,2,核心
3,10,4,核心
3,11,2,核心
3,12,3,核心
3,13,4,核心
3,14,3,核心
3,15,1,核心
3,16,22,核心
3,17,14,核心
3,18,9,核心
3,19,17,核心
3,20,22,核心
3,21,3,核心
3,22,5,核心
3,23,15,核心
3,24,1,核心
3,25,6,核心
3,26,6,核心
3,27,6,核心
3,28,1,核心
3,29,12,核心
3,30,2,核心
3,31,6,核心
3,32,17,核心
3,33,9,核心
3,34,12,核心
3,35,3,核心
3,36,21,核心
3,37,12,核心
3,38,10,核心
3,39,3,核心
3,40,1,核心
3,41,17,核心
3,42,3,核心
3,43,14,核心
3,44,2,核心
3,45,15,核心
3,46,9,核心
3,47,6,核心
3,48,4,核心
3,49,1,核心
3,50,9,核心
3,51,3,核心
3,52,2,核心
3,53,1,核心
3,54,2,核心
3,55,1,核心
3,56,20,核心
3,57,3,核心
3,58,3,核心
3,59,3,核心
3,60,3,核心
3,61,8,核心
3,62,7,核心
3,63,4,核心
3,64,3,核心
3,65,11,核心
3,66,7,核心
3,67,15,核心
3,68,1,核心
3,69,8,核心
3,70,11,核心
3,71,5,核心
3,72,13,核心
3,73,9,核心
3,74,12,核心
3,75,24,核心
3,76,1,核心
3,77,2,核心
3,78,1,核心
3,79,3,核心
3,80,2,核心
3,81,3,核心
3,82,11,核心
3,83,1,核心
3,84,8,核心
3,85,6,核心
3,86,1,核心
3,87,14,核心
3,88,13,核心
3,89,8,核心
3,90,7,核心
3,91,15,核心
3,92,7,核心
3,93,8,核心
3,94,8,核心
3,95,3,核心
3,96,1,核心
3,97,14,核心
3,98,18,核心
3,99,3,核心
3,100,14,核心
3,101,12,核心
3,102,1,核心
3,103,3,核心
3,104,3,核心
3,105,8,核心
3,106,4,核心
3,107,3,核心
3,108,12,核心
3,109,3,核心
3,110,1,核心
3,111,8,核心
3,112,19,核心
3,113,12,核心
3,114,2,核心
3,115,11,核心
3,116,8,核心
3,117,6,核心
3,118,1,核心
3,119,3,核心
4,0,11,核心
4,1,13,核心
4,2,3,核心
4,3,5,核心
4,4,8,核心
4,5,1,核心
4,6,8,核心
4,7,25,核心
4,8,2,核心
4,9,10,核心
4,10,7,核心
4,11,3,核心
4,12,8,核心
4,13,1,核心
4,14,8,核心
4,15,3,核心
4,16,1,核心
4,17,3,核心
4,18,11,核心
4,19,4,核心
4,20,2,核心
4,21,3,核心
4,22,1,核心
4,23,11,核心
4,24,2,核心
4,25,2,核心
4,26,1,核心
4,27,3,核心
4,28,20,核心
4,29,3,核心
4,30,13,核心
4,31,10,核心
4,32,1,核心
4,33,12,核心
4,34,12,核心
4,35,7,核心
4,36,8,核心
4,37,16,核心
4,38,13,核心
4,39,9,核心
4,40,3,核心
4,41,18,核心
4,42,17,核心
4,43,9,核心
4,44,8,核心
4,45,1,核心
4,46,4,核心
4,47,1,核心
4,48,8,核心
4,49,8,核心
4,50,1,核心
4,51,3,核心
4,52,3,核心
4,53,1,核心
4,54,10,核心
4,55,9,核心
4,56,8,核心
4,57,1,核心
4,58,1,核心
4,59,2,核心
4,60,2,核心
4,61,2,核心
4,62,3,核心
4,63,4,核心
4,64,12,核心
4,65,6,核心
4,66,20,核心
4,67,23,核心
4,68,16,核心
4,69,24,核心
4,70,9,核心
4,71,8,核心
4,72,2,核心
4,73,1,核心
4,74,13,核心
4,75,3,核心
4,76,1,核心
4,77,2,核心
4,78,10,核心
4,79,3,核心
4,80,22,核心
4,81,3,核心
4,82,3,核心
4,83,1,核心
4,84,8,核心
4,85,1,核心
4,86,1,核心
4,87,23,核心
4,88,3,核心
4,89,11,核心
4,90,21,核心
4,91,3,核心
4,92,7,核心
4,93,23,核心
4,94,20,核心
4,95,2,核心
4,96,3,核心
4,97,8,核心
4,98,5,核心
4,99,14,核心
4,100,6,核心
4,101,3,核心
4,102,3,核心
4,103,11,核心
4,104,11,核心
4,105,1,核心
4,106,8,核心
4,107,3,核心
4,108,1,核心
4,109,3,核心
4,110,4,核心
4,111,17,核心
4,112,9,核心
4,113,8,核心
4,114,1,核心
4,115,4,核心
4,116,17,核心
4,117,8,核心
4,118,2,核心
4,119,1,核心
5,0,3,合格
5,1,5,合格
5,2,12,合格
5,3,12,合格
5,4,11,合格
5,5,12,合格
5,6,11,合格
5,7,3,合格
5,8,24,合格
5,9,9,合格
5,10,13,合格
5,11,2,合格
5,12,3,合格
5,13,2,合格
5,14,2,合格
5,15,2,合格
5,16,1,合格
5,17,3,合格
5,18,3,合格
5,19,24,合格
5,20,12,合格
5,21,1,合格
5,22,4,合格
5,23,20,合格
5,24,2,合格
5,25,1,合格
5,26,3,合格
5,27,15,合格
5,28,13,合格
5,29,6,合格
5,30,3,合格
5,31,24,合格
5,32,8,合格
5,33,4,合格
5,34,24,合格
5,35,7,合格
5,36,7,合格
5,37,4,合格
5,38,13,合格
5,39,2,合格
5,40,19,合格
5,41,17,合格
5,42,3,合格
5,43,2,合格
5,44,1,合格
5,45,12,合格
5,46,7,合格
5,47,2,合格
5,48,19,合格
5,49,15,合格
5,50,8,合格
5,51,25,合格
5,52,3,合格
5,53,1,合格
5,54,21,合格
5,55,3,合格
5,56,3,合格
5,57,3,合格
5,58,7,合格
5,59,11,合格
5,60,1,合格
5,61,3,合格
5,62,1,合格
5,63,1,合格
5,64,15,合格
5,65,4,合格
5,66,12,合格
5,67,15,合格
5,68,21,合格
5,69,3,合格
5,70,1,合格
5,71,20,合格
5,72,7,合格
5,73,3,合格
5,74,5,合格
5,75,9,合格
5,76,10,合格
