order_id,item_id,arrival_date,due_date,capacity_needed
0,0,36,103,11
1,0,23,92,18
2,0,9,86,2
3,0,28,106,9
4,0,38,114,36
5,1,49,118,29
6,2,78,114,1
7,2,49,97,16
8,2,63,96,13
9,2,67,120,37
10,3,33,83,37
11,3,22,66,15
12,3,17,70,19
13,4,43,102,11
14,5,18,87,44
15,5,81,112,15
16,5,20,62,12
17,6,19,76,30
18,6,54,100,5
19,6,24,102,19
20,7,33,86,19
21,7,55,108,15
22,7,54,106,38
23,7,72,109,33
24,7,7,82,9
25,8,13,62,36
26,8,42,87,2
27,9,74,119,27
28,9,26,104,41
29,9,31,86,12
30,9,53,92,23
31,10,39,94,5
32,11,51,86,1
33,12,27,90,18
34,12,52,87,18
35,12,28,96,26
36,12,9,46,6
37,12,31,71,4
38,12,19,64,25
39,13,24,63,10
40,13,25,70,24
41,13,35,110,6
42,14,6,61,17
43,15,48,118,28
44,15,26,70,5
45,15,14,47,14
46,16,30,102,2
47,16,8,74,11
48,16,52,108,13
49,17,59,103,12
50,17,73,113,46
51,17,57,112,34
52,17,58,100,5
53,18,5,78,38
54,18,45,94,27
55,18,33,113,2
56,18,60,91,21
57,19,58,116,21
58,19,73,108,2
59,19,29,94,32
60,19,28,63,5
61,20,20,80,27
62,20,5,65,8
63,20,58,110,29
64,20,12,77,6
65,21,28,93,1
66,21,13,66,28
67,22,11,65,17
68,22,23,89,19
69,23,17,71,13
70,23,13,69,11
71,24,14,68,44
72,24,20,50,38
73,24,18,78,24
74,25,57,106,9
75,25,51,118,21
76,25,14,64,21
77,25,43,94,12
78,26,44,120,2
79,26,33,70,19
80,27,26,101,5
81,27,3,68,46
82,27,5,45,43
83,27,43,93,11
84,28,24,64,39
85,28,7,60,10
86,28,48,97,10
87,28,2,61,21
88,29,20,88,39
89,29,14,82,24
90,29,61,100,45
91,29,1,44,13
92,30,32,71,21
93,30,0,40,47
94,30,42,79,8
95,31,43,82,16
96,31,11,51,33
97,31,66,106,20
98,31,1,69,15
99,32,74,105,16
100,32,22,88,28
101,32,28,80,32
102,32,11,41,40
103,33,10,77,8
104,33,63,108,25
105,33,49,100,16
106,33,26,93,41
107,34,40,105,37
108,34,28,88,5
109,35,77,109,10
110,35,5,47,16
111,35,53,94,14
112,35,20,79,27
113,36,48,109,6
114,36,20,94,20
115,36,52,112,32
116,36,34,81,40
117,37,57,107,3
118,37,23,63,27
119,37,56,108,36
120,38,31,104,12
121,39,0,54,16
122,39,15,65,27
123,39,18,59,6
124,39,48,78,4
125,40,16,66,13
126,40,1,50,1
127,40,10,50,19
128,41,6,65,14
129,41,3,76,7
130,41,43,87,53
131,42,29,98,22
132,43,15,65,29
133,43,6,46,6
134,44,29,85,22
135,44,23,76,19
136,44,16,65,19
137,45,13,54,4
138,45,49,102,27
139,45,33,98,29
140,46,54,100,23
141,47,11,79,38
142,47,35,95,11
143,47,71,107,30
144,48,60,90,5
145,48,18,52,56
146,49,52,116,9
147,49,48,120,8
148,49,1,47,43
149,50,69,116,13
150,50,59,103,12
151,50,25,66,18
152,50,54,104,18
153,51,42,92,49
154,51,56,96,5
155,51,52,110,47
156,51,36,101,30
157,52,60,105,4
158,52,54,96,16
159,53,37,82,27
160,53,4,40,20
161,54,16,57,14
162,54,3,39,7
163,54,44,89,19
164,54,47,99,24
165,55,60,104,1
166,55,39,103,5
167,55,73,118,46
168,55,38,107,11
169,56,20,99,21
170,56,40,83,12
171,57,21,75,28
172,57,14,55,20
173,57,17,68,27
174,57,19,72,22
175,58,38,69,11
176,58,66,120,3
177,58,55,114,21
178,58,80,111,22
179,59,82,113,6
180,59,24,89,34
181,59,26,68,2
182,60,58,119,26
183,60,31,96,31
184,61,8,62,8
185,61,6,41,18
186,61,32,97,28
187,62,54,96,15
188,62,18,51,29
189,63,71,113,14
190,64,45,95,29
191,64,35,85,10
192,64,2,67,17
193,65,33,66,3
194,65,62,117,20
195,65,14,60,6
196,66,30,105,19
197,66,43,105,9
198,66,49,95,20
199,66,39,99,26
200,67,12,86,14
201,67,10,78,21
202,67,18,53,3
203,67,12,72,18
204,68,36,105,6
205,68,11,50,29
206,68,33,76,41
207,68,58,89,6
208,68,40,84,1
209,69,36,91,1
210,70,56,120,6
211,71,7,50,26
212,71,21,64,22
213,71,27,89,8
214,72,30,84,17
215,72,83,119,22
216,72,12,62,9
