order_id,item_id,arrival_date,due_date,capacity_needed
0,0,4,44,2
1,0,24,68,21
2,0,31,92,8
3,0,28,76,29
4,1,48,87,6
5,1,1,57,2
6,1,37,97,16
7,2,4,74,7
8,2,60,120,3
9,2,66,101,10
10,2,4,48,22
11,3,82,113,23
12,3,18,61,53
13,4,38,81,11
14,4,52,96,24
15,4,43,119,4
16,4,2,66,8
17,5,48,92,15
18,5,50,100,8
19,5,49,92,21
20,6,51,104,21
21,6,41,94,15
22,7,68,113,19
23,7,6,48,29
24,8,30,66,20
25,8,14,69,41
26,8,52,102,14
27,9,42,108,5
28,10,27,79,50
29,10,4,64,21
30,10,47,111,6
31,11,16,90,2
32,12,43,101,28
33,12,52,92,26
34,12,56,100,16
35,13,70,116,14
36,14,39,94,22
37,14,24,64,11
38,14,10,63,24
39,14,19,69,8
40,15,7,67,51
41,15,2,73,15
42,15,25,96,7
43,16,6,59,9
44,16,11,83,26
45,16,6,58,18
46,17,31,85,11
47,17,4,54,16
48,17,42,92,45
49,17,37,67,14
50,18,38,108,1
51,19,29,104,41
52,19,29,107,13
53,20,70,112,18
54,20,32,74,1
55,21,19,61,13
56,21,38,117,12
57,21,14,63,11
58,21,39,103,15
59,22,16,80,27
60,22,40,76,5
61,22,3,65,18
62,22,9,82,18
63,23,4,53,19
64,23,5,80,7
65,23,40,101,28
66,23,50,112,11
67,24,64,115,2
68,24,47,113,15
69,25,14,79,1
70,25,73,120,10
71,25,45,98,1
72,25,81,118,8
73,26,60,114,31
74,26,53,83,31
75,26,35,85,38
76,26,25,67,17
77,26,54,94,7
78,27,34,104,14
79,28,44,92,39
80,28,57,120,21
81,28,60,120,11
82,28,21,71,19
83,29,18,73,41
84,29,10,70,16
85,29,8,80,13
86,29,35,89,3
87,30,19,75,28
88,30,51,104,20
89,30,74,105,16
90,30,14,84,18
91,31,54,109,24
92,31,30,90,16
93,32,25,87,21
94,32,21,68,1
95,32,59,90,3
96,32,17,74,33
97,33,24,78,8
98,33,75,107,18
99,33,9,81,31
100,33,45,107,21
101,33,56,95,35
102,33,25,57,30
103,33,4,68,19
104,33,56,101,27
105,33,53,88,16
106,34,26,96,2
107,34,43,87,16
108,35,29,82,48
109,35,4,49,31
110,35,13,83,21
111,35,47,97,14
112,36,65,105,9
113,36,13,68,29
114,37,25,79,28
115,37,72,110,1
116,38,1,46,11
117,38,28,108,31
118,38,46,110,9
119,38,0,40,6
120,39,37,99,7
121,39,46,77,24
122,39,42,114,31
123,40,28,105,43
124,40,32,95,33
125,41,40,101,25
126,41,48,99,8
127,41,51,116,19
128,41,53,90,30
129,42,16,67,21
130,42,14,48,16
131,42,21,89,5
132,42,10,62,1
133,43,27,91,14
134,43,50,119,25
135,43,34,101,24
136,44,51,116,1
137,44,18,66,3
138,45,8,66,2
139,46,39,72,4
140,46,13,50,13
141,46,34,88,18
142,47,30,80,3
143,47,3,64,3
144,47,82,114,20
145,47,38,76,21
146,48,21,61,24
147,48,16,87,29
148,48,69,118,5
149,48,15,70,19
150,49,47,92,25
151,49,17,81,28
152,50,2,66,21
153,50,18,94,7
154,51,42,113,21
155,51,54,111,2
156,51,19,82,4
157,51,74,117,45
158,52,9,68,1
159,53,6,58,28
160,54,12,83,16
161,54,20,85,20
162,55,31,90,12
163,55,17,85,2
164,55,21,51,1
165,56,47,91,8
166,56,50,90,20
167,57,12,80,24
168,57,24,99,26
169,57,45,96,2
170,57,40,107,25
171,57,62,106,13
172,58,12,67,36
173,58,2,57,28
174,58,49,99,41
175,59,3,46,8
176,59,20,75,23
177,59,88,120,5
178,59,18,67,24
179,59,64,112,25
180,59,27,81,24
181,60,10,57,35
182,60,37,106,17
183,60,32,62,16
184,61,21,76,8
185,61,75,120,7
186,61,47,91,28
187,61,4,36,31
188,62,8,44,2
189,62,54,96,15
190,63,27,87,19
191,64,40,118,10
192,65,49,111,14
193,65,1,41,39
194,65,12,57,16
195,65,86,120,28
196,65,2,59,9
197,65,73,113,53
198,66,25,95,8
199,66,71,101,20
200,67,6,38,29
201,67,74,117,10
202,67,53,103,30
203,67,60,106,31
204,68,4,49,25
205,68,14,64,42
206,68,13,65,6
207,68,27,98,21
208,69,41,111,27
209,69,61,101,4
210,69,28,101,11
211,69,20,66,27
212,69,7,41,40
213,69,63,104,20
214,70,20,93,14
215,70,47,110,1
216,70,14,66,28
217,71,39,108,46
218,72,0,34,36
219,72,0,80,51
220,72,35,77,19
221,72,34,83,11
222,73,43,84,51
223,73,46,96,8
224,73,22,74,19
225,74,48,98,48
226,74,20,53,11
