item_id,machine_type,max_production_limit
0,13,2
1,7,2
1,10,2
2,1,4
2,13,4
3,14,3
3,4,3
4,9,1
5,6,1
5,4,1
6,8,1
7,1,2
8,9,1
9,1,2
9,6,2
10,7,4
10,12,4
11,11,4
11,13,4
12,5,2
12,11,2
13,3,3
14,1,2
15,4,1
16,7,2
16,9,2
17,5,2
17,12,2
18,9,4
18,6,4
19,10,2
20,6,1
20,10,1
21,1,1
21,5,1
22,3,2
23,7,2
23,8,2
24,14,4
25,9,1
25,11,1
25,14,1
26,1,2
26,9,2
26,8,2
27,8,1
28,9,2
28,11,2
29,11,4
30,11,2
30,7,2
31,13,1
32,1,3
32,8,3
33,8,1
33,3,1
34,4,1
34,8,1
35,6,1
36,11,1
37,8,1
37,7,1
38,4,2
39,4,3
39,3,3
39,9,3
40,4,1
40,12,1
40,3,1
41,10,4
42,5,2
43,4,2
43,9,2
43,5,2
44,9,3
45,6,3
46,14,4
47,1,2
47,11,2
48,8,4
48,1,4
49,6,4
49,14,4
50,3,3
50,11,3
51,4,1
52,10,2
52,11,2
53,9,2
53,13,2
53,7,2
54,10,1
55,13,1
55,4,1
56,10,2
57,3,1
58,5,2
59,7,4
60,11,1
61,13,4
62,13,2
63,1,2
63,12,2
64,12,2
64,9,2
65,10,2
66,5,1
66,2,1
67,3,1
67,11,1
67,8,1
68,3,3
69,6,4
70,9,2
70,13,2
71,1,2
72,8,1
73,2,3
74,9,1
74,10,1
75,11,3
76,4,3
77,5,2
78,3,1
79,14,1
80,8,4
80,1,4
80,7,4
81,14,2
81,6,2
82,8,1
82,13,1
82,1,1
83,9,2
83,2,2
84,2,1
84,4,1
85,13,3
85,10,3
86,9,2
86,3,2
87,13,2
88,11,1
89,1,2
89,10,2
90,4,1
90,5,1
91,3,1
92,7,1
92,13,1
93,5,1
93,2,1
94,11,4
94,5,4
95,10,3
95,7,3
96,8,4
96,2,4
97,9,2
97,7,2
97,5,2
98,3,4
98,6,4
99,2,2
99,6,2
