machine_id,supplier_id,month,planned_capacity,machine_type
0,0,0,74,9
0,0,1,117,9
0,0,2,195,9
0,0,3,21,9
1,0,0,157,4
1,0,1,27,4
1,0,2,103,4
1,0,3,12,4
2,1,0,99,12
2,1,1,162,12
2,1,2,130,12
2,1,3,73,12
3,1,0,98,7
3,1,1,26,7
3,1,2,69,7
3,1,3,32,7
4,2,0,81,1
4,2,1,201,1
4,2,2,204,1
4,2,3,36,1
5,2,0,76,3
5,2,1,27,3
5,2,2,81,3
5,2,3,35,3
6,2,0,101,15
6,2,1,42,15
6,2,2,99,15
6,2,3,17,15
7,2,0,187,0
7,2,1,68,0
7,2,2,53,0
7,2,3,84,0
8,3,0,50,8
8,3,1,87,8
8,3,2,191,8
8,3,3,197,8
9,3,0,204,15
9,3,1,124,15
9,3,2,36,15
9,3,3,36,15
10,3,0,31,0
10,3,1,45,0
10,3,2,52,0
10,3,3,213,0
11,3,0,42,11
11,3,1,160,11
11,3,2,45,11
11,3,3,69,11
12,4,0,115,5
12,4,1,90,5
12,4,2,10,5
12,4,3,29,5
13,4,0,85,2
13,4,1,53,2
13,4,2,54,2
13,4,3,23,2
14,5,0,22,5
14,5,1,124,5
14,5,2,123,5
14,5,3,18,5
15,5,0,65,5
15,5,1,138,5
15,5,2,70,5
15,5,3,68,5
16,5,0,121,3
16,5,1,18,3
16,5,2,89,3
16,5,3,97,3
17,6,0,70,11
17,6,1,44,11
17,6,2,56,11
17,6,3,90,11
18,6,0,22,11
18,6,1,99,11
18,6,2,207,11
18,6,3,154,11
19,6,0,73,5
19,6,1,15,5
19,6,2,148,5
19,6,3,132,5
20,7,0,44,6
20,7,1,45,6
20,7,2,206,6
20,7,3,15,6
21,7,0,142,7
21,7,1,140,7
21,7,2,40,7
21,7,3,117,7
22,7,0,62,4
22,7,1,115,4
22,7,2,74,4
22,7,3,155,4
23,7,0,163,10
23,7,1,40,10
23,7,2,51,10
23,7,3,40,10
24,7,0,88,7
24,7,1,14,7
24,7,2,18,7
24,7,3,11,7
25,7,0,32,7
25,7,1,74,7
25,7,2,91,7
25,7,3,28,7
26,7,0,18,4
26,7,1,165,4
26,7,2,12,4
26,7,3,87,4
27,8,0,210,6
27,8,1,41,6
27,8,2,166,6
27,8,3,180,6
28,8,0,30,8
28,8,1,47,8
28,8,2,31,8
28,8,3,160,8
29,8,0,70,10
29,8,1,16,10
29,8,2,196,10
29,8,3,203,10
30,8,0,18,15
30,8,1,141,15
30,8,2,114,15
30,8,3,11,15
31,9,0,219,12
31,9,1,19,12
31,9,2,100,12
31,9,3,86,12
32,9,0,49,5
32,9,1,40,5
32,9,2,94,5
32,9,3,10,5
33,9,0,30,8
33,9,1,104,8
33,9,2,82,8
33,9,3,22,8
34,9,0,43,2
34,9,1,143,2
34,9,2,93,2
34,9,3,124,2
35,9,0,60,10
35,9,1,45,10
35,9,2,104,10
35,9,3,12,10
