order_id,item_id,arrival_date,due_date,capacity_needed
0,0,46,83,23
1,0,8,80,16
2,0,38,95,25
3,0,75,118,11
4,1,20,86,11
5,1,57,117,4
6,1,36,104,54
7,2,42,103,11
8,2,3,63,49
9,2,1,47,12
10,2,58,111,21
11,2,31,88,46
12,2,8,63,2
13,2,90,120,36
14,3,17,75,32
15,3,1,61,13
16,3,9,70,22
17,3,24,67,11
18,4,4,42,18
19,4,20,74,4
20,4,9,47,24
21,4,17,77,11
22,5,44,115,36
23,5,22,73,14
24,5,36,105,39
25,6,76,114,11
26,6,47,98,33
27,6,7,61,3
28,6,42,111,44
29,7,43,74,52
30,7,4,59,20
31,7,48,82,4
32,7,36,101,28
33,8,29,69,12
34,8,50,110,17
35,8,20,50,2
36,8,66,109,4
37,9,34,84,54
38,9,44,104,20
39,10,18,63,12
40,11,24,93,30
41,11,25,85,1
42,11,40,106,14
43,11,11,60,8
44,12,6,48,21
45,12,31,99,31
46,12,11,63,36
47,12,18,73,8
48,12,13,56,10
49,13,19,73,1
50,13,53,103,6
51,13,13,75,4
52,13,52,104,2
53,14,3,53,22
54,14,43,85,45
55,14,6,78,17
56,14,16,94,28
57,15,34,69,1
58,15,4,47,2
59,15,40,98,8
60,15,19,73,20
61,16,15,66,7
62,16,76,110,38
63,16,75,111,14
64,16,5,49,25
65,17,32,73,30
66,17,40,78,49
67,17,2,54,26
68,17,48,91,20
69,17,48,120,20
70,17,71,102,4
71,18,6,38,17
72,18,35,95,2
73,19,24,84,21
74,19,43,113,39
75,19,9,59,12
76,19,15,82,23
77,20,31,73,34
78,20,39,105,16
79,21,75,115,19
80,21,3,53,1
81,21,34,93,20
82,21,34,91,7
83,22,0,75,40
84,23,17,67,16
85,23,34,81,23
86,23,35,80,11
87,23,20,51,18
88,23,37,109,6
89,24,10,52,2
90,24,21,61,8
91,25,46,119,14
92,25,46,90,3
93,25,42,97,17
94,26,67,112,6
95,26,50,90,4
96,27,32,75,14
97,27,46,101,27
98,28,36,105,21
99,28,41,112,14
100,28,12,66,50
101,29,73,115,53
102,30,33,81,21
103,31,11,66,26
104,31,66,120,16
105,31,25,78,5
106,31,15,60,2
107,32,4,34,12
108,32,48,117,12
109,32,39,102,15
110,32,65,115,19
111,33,12,46,26
112,33,9,62,4
113,33,31,82,3
114,33,11,48,26
115,34,50,95,28
116,34,81,118,23
117,35,6,71,30
118,35,58,109,30
119,35,9,59,28
120,35,52,92,11
121,36,46,98,30
122,36,71,110,11
123,37,48,102,8
124,37,4,60,1
125,37,44,97,23
126,37,51,104,21
127,38,13,80,21
128,38,2,52,11
129,38,8,61,6
130,38,63,106,10
131,38,4,53,9
132,39,4,60,38
133,39,29,83,25
134,39,24,92,18
135,39,47,102,15
136,40,11,65,2
137,40,66,110,11
138,41,18,88,36
139,41,34,90,24
140,41,2,48,23
141,42,70,117,11
142,42,66,117,27
143,42,40,84,11
144,42,27,100,21
145,43,54,94,53
146,43,45,90,31
147,44,5,67,28
148,44,30,91,40
149,44,32,92,1
150,45,4,75,18
151,45,57,98,10
152,45,3,43,18
153,45,34,86,4
154,46,34,75,16
155,47,61,96,11
156,47,65,119,2
157,47,5,59,6
158,48,18,88,5
159,48,78,118,38
160,48,0,44,15
161,49,57,120,35
162,50,21,93,24
163,50,23,68,16
164,51,12,82,24
165,51,74,113,15
166,51,59,107,5
167,51,28,96,5
168,52,4,55,9
169,52,20,75,38
170,53,63,114,18
171,53,48,109,41
172,53,32,82,7
173,54,82,114,11
174,54,74,118,11
175,54,5,53,6
176,54,37,89,18
177,55,44,78,19
178,55,51,111,3
179,56,46,109,38
180,56,44,109,11
181,57,72,119,21
182,57,49,91,31
183,58,12,63,18
184,58,0,52,18
185,58,63,105,6
186,59,54,105,48
187,59,40,94,20
188,59,39,74,21
189,59,5,49,9
190,59,21,67,5
191,59,31,71,19
192,60,8,51,5
193,60,13,67,15
194,60,63,106,1
195,60,33,103,39
196,61,29,70,29
197,61,16,83,18
198,61,81,119,13
199,61,51,109,34
200,62,44,102,61
201,62,32,74,6
202,63,18,62,1
203,63,30,74,35
204,63,4,37,17
205,63,2,75,9
206,63,30,60,20
207,63,14,79,17
208,64,25,88,15
209,64,23,89,57
210,64,0,67,21
211,64,45,80,4
212,65,76,111,8
213,65,26,73,32
214,65,61,105,18
215,65,5,65,11
216,65,28,88,46
217,66,9,84,25
218,66,48,103,11
219,66,80,115,8
220,66,2,44,24
221,67,42,118,31
222,67,29,97,17
223,67,53,106,1
224,68,33,102,1
225,68,11,54,26
226,68,69,114,22
227,68,25,79,41
228,68,10,77,13
229,68,31,87,32
230,69,71,114,19
231,69,4,55,7
232,69,19,74,5
233,69,65,100,20
234,70,18,73,14
235,70,11,47,3
236,71,75,115,13
237,72,34,109,19
238,72,49,87,6
239,72,25,78,20
240,73,12,81,29
241,73,18,67,14
242,73,58,118,15
243,73,12,66,29
244,73,1,70,36
245,73,27,64,11
246,74,43,98,2
247,74,59,99,17
248,74,23,91,14
249,74,45,80,29
250,75,61,115,17
251,76,10,43,27
252,76,20,80,33
253,76,25,88,15
254,77,8,41,59
255,77,29,94,12
256,77,23,76,5
257,77,51,93,29
258,78,80,120,9
259,78,1,79,34
260,78,53,95,7
261,78,57,110,5
262,79,53,108,1
263,79,35,101,12
264,79,56,117,5
265,80,42,85,6
266,80,57,101,21
267,80,30,74,5
268,80,5,46,10
269,80,32,101,21
270,81,11,91,15
271,81,9,64,36
272,81,22,67,35
273,81,18,59,17
274,81,38,83,3
275,81,8,72,15
276,82,38,90,37
277,82,23,77,9
278,82,30,73,18
279,83,36,86,35
280,83,33,87,59
281,83,38,113,2
282,83,47,92,26
283,84,41,91,17
284,84,64,103,13
285,84,78,110,29
286,84,29,109,17
287,85,4,64,4
288,85,0,30,40
289,86,51,105,24
290,86,18,82,11
291,86,30,83,37
292,86,34,73,40
293,87,7,72,11
294,87,86,120,18
295,88,41,111,8
296,88,2,57,19
297,88,21,84,21
298,89,13,70,16
299,90,65,107,15
300,90,46,81,11
301,90,22,57,26
302,90,45,94,2
303,91,13,53,1
304,91,31,94,1
305,91,65,103,3
306,91,16,74,21
307,92,70,115,3
308,92,47,100,4
309,93,2,37,11
310,93,3,58,8
311,93,18,68,41
312,93,37,115,6
313,94,11,51,24
314,94,22,79,10
315,95,75,110,9
316,95,6,59,31
317,95,16,65,26
318,96,43,103,20
319,96,43,111,11
320,97,0,53,17
321,97,17,72,30
322,97,63,115,23
323,97,42,113,4
324,98,72,118,3
325,99,17,82,28
