demand_id,item_id,fabric_category,max_production_limit,min_production_period,max_production_period,arrival_date,type,priority,history_supplier_id,algo_finished,algo_physical_supplier_id,designated_physical_supplier_id,forced_using_private_capacity,shared_capacity_availability,valid,create_time,update_time,manual_arrival_date,advancement_candidate
1575328893391400961,201123117001,针织,1,-1,-1,2022-08-01,订货单,绿单,EMPTY,0,EMPTY,EMPTY,0,品种细分池-强制,1,2022-11-30 09:58:55,2022-11-30 09:59:02,0,0
1575328893391400962,201123105115,梭织,1,-1,-1,2022-08-01,加翻单,绿单,EMPTY,0,EMPTY,EMPTY,0,品种细分池-强制,1,2022-11-30 09:58:55,2022-11-30 09:59:02,0,0
1575328893391400963,201123105115,梭织,1,-1,-1,2022-08-01,加翻单,绿单,EMPTY,0,EMPTY,EMPTY,0,品种细分池-强制,1,2022-11-30 09:58:55,2022-11-30 09:59:02,0,0
1575328893391400964,201123105011,梭织,1,-1,-1,2022-08-01,加翻单,绿单,EMPTY,0,EMPTY,EMPTY,0,品种细分池-强制,1,2022-11-30 09:58:55,2022-11-30 09:59:02,0,0
1575328893391400965,201123105011,梭织,1,-1,-1,2022-08-01,加翻单,绿单,EMPTY,0,EMPTY,EMPTY,0,品种细分池-强制,1,2022-11-30 09:58:55,2022-11-30 09:59:02,0,0
1575328893391400966,201123105011,梭织,1,-1,-1,2022-08-01,加翻单,绿单,EMPTY,0,EMPTY,EMPTY,0,品种细分池-强制,1,2022-11-30 09:58:55,2022-11-30 09:59:02,0,0
1575328893391400967,201123117103,针织,1,-1,-1,2022-08-01,订货单,绿单,EMPTY,0,EMPTY,EMPTY,0,品种细分池-强制,1,2022-11-30 09:58:55,2022-11-30 09:59:02,0,0
1575328893391400968,201123117103,针织,1,-1,-1,2022-08-01,订货单,绿单,EMPTY,0,EMPTY,EMPTY,0,品种细分池-强制,1,2022-11-30 09:58:55,2022-11-30 09:59:02,0,0
1575328893391400969,201123117103,针织,1,-1,-1,2022-08-01,订货单,绿单,EMPTY,0,EMPTY,EMPTY,0,品种细分池-强制,1,2022-11-30 09:58:55,2022-11-30 09:59:02,0,0
1575328893391400970,201123105202,梭织,1,-1,-1,2022-08-01,加翻单,绿单,EMPTY,0,EMPTY,EMPTY,0,品种细分池-强制,1,2022-11-30 09:58:55,2022-11-30 09:59:02,0,0
1575328893391400971,201123105202,梭织,1,-1,-1,2022-08-01,加翻单,绿单,EMPTY,0,EMPTY,EMPTY,0,品种细分池-强制,1,2022-11-30 09:58:55,2022-11-30 09:59:02,0,0
1575328893391400972,201123105202,梭织,1,-1,-1,2022-08-01,加翻单,绿单,EMPTY,0,EMPTY,EMPTY,0,品种细分池-强制,1,2022-11-30 09:58:55,2022-11-30 09:59:02,0,0
1575328893391400973,201123117001,针织,1,-1,-1,2022-08-01,订货单,绿单,EMPTY,0,EMPTY,EMPTY,0,品种细分池-强制,1,2022-11-30 09:58:55,2022-11-30 09:59:02,0,0
1575328893391400974,201123117001,针织,1,-1,-1,2022-08-01,订货单,绿单,EMPTY,0,EMPTY,EMPTY,0,品种细分池-强制,1,2022-11-30 09:58:55,2022-11-30 09:59:02,0,0
1575328893391400975,201123117001,针织,1,-1,-1,2022-08-01,订货单,绿单,EMPTY,0,EMPTY,EMPTY,0,品种细分池-强制,1,2022-11-30 09:58:55,2022-11-30 09:59:02,0,0
1575328893395595266,208123120202,针织,1,-1,-1,2022-08-01,订货单,绿单,0003000658,0,EMPTY,EMPTY,0,品种细分池-强制,1,2022-11-30 09:58:55,2022-11-30 09:59:02,0,0
1575328893395595267,208123108001,针织,1,-1,-1,2022-08-01,订货单,绿单,0003000668,0,EMPTY,EMPTY,0,品种细分池-强制,1,2022-11-30 09:58:55,2022-11-30 09:59:02,0,0
1575328893399789573,208123104201,针织,1,-1,-1,2022-08-01,订货单,绿单,0003000484,0,EMPTY,EMPTY,0,渠道-强制,1,2022-11-30 09:58:55,2022-11-30 09:59:02,0,0
1575328893399789574,208123104201,针织,1,-1,-1,2022-08-01,订货单,绿单,0003000484,0,EMPTY,EMPTY,0,渠道-强制,1,2022-11-30 09:58:55,2022-11-30 09:59:02,0,0
1575328893399789575,208123104201,针织,1,-1,-1,2022-08-01,订货单,绿单,0003000484,0,EMPTY,EMPTY,0,渠道-强制,1,2022-11-30 09:58:55,2022-11-30 09:59:02,0,0
1575328893399789576,208123108203,针织,1,-1,-1,2022-08-01,订货单,绿单,EMPTY,0,EMPTY,EMPTY,0,品种细分池-强制,1,2022-11-30 09:58:55,2022-11-30 09:59:02,0,0
1575328893399789577,208123120201,针织,1,-1,-1,2022-08-01,订货单,绿单,0003000668,0,EMPTY,EMPTY,0,渠道-强制,1,2022-11-30 09:58:55,2022-11-30 09:59:02,0,0
1575328893399789578,208123104101,针织,1,-1,-1,2022-08-01,订货单,绿单,0003000019,0,EMPTY,EMPTY,0,品种细分池-强制,1,2022-11-30 09:58:55,2022-11-30 09:59:02,0,0
1575328893399789579,208123104101,针织,1,-1,-1,2022-08-01,订货单,绿单,0003000019,0,EMPTY,EMPTY,0,品种细分池-强制,1,2022-11-30 09:58:55,2022-11-30 09:59:02,0,0
1575328893399789580,208123104101,针织,1,-1,-1,2022-08-01,订货单,绿单,0003000019,0,EMPTY,EMPTY,0,品种细分池-强制,1,2022-11-30 09:58:55,2022-11-30 09:59:02,0,0
1575328893399789581,208123121201,针织,1,-1,-1,2022-08-01,订货单,绿单,EMPTY,0,EMPTY,EMPTY,0,品种细分池-强制,1,2022-11-30 09:58:55,2022-11-30 09:59:02,0,0
1575328893403983874,208123107204,梭织,1,-1,-1,2022-08-01,订货单,绿单,0003000563,0,EMPTY,EMPTY,0,品种细分池-强制,1,2022-11-30 09:58:55,2022-11-30 09:59:02,0,0
1575328893403983875,208123107204,梭织,1,-1,-1,2022-08-01,订货单,绿单,0003000563,0,EMPTY,EMPTY,0,品种细分池-强制,1,2022-11-30 09:58:55,2022-11-30 09:59:02,0,0
1575328893403983878,208123120202,针织,1,-1,-1,2022-08-01,订货单,绿单,0003000658,0,EMPTY,EMPTY,0,品种细分池-强制,1,2022-11-30 09:58:55,2022-11-30 09:59:02,0,0
1575328893403983879,208123120202,针织,1,-1,-1,2022-08-01,订货单,绿单,0003000658,0,EMPTY,EMPTY,0,品种细分池-强制,1,2022-11-30 09:58:55,2022-11-30 09:59:02,0,0
1575328893403983880,208123108001,针织,1,-1,-1,2022-08-01,订货单,绿单,0003000668,0,EMPTY,EMPTY,0,品种细分池-强制,1,2022-11-30 09:58:55,2022-11-30 09:59:02,0,0
1575328893408178178,208123108203,针织,1,-1,-1,2022-08-01,订货单,绿单,EMPTY,0,EMPTY,EMPTY,0,品种细分池-强制,1,2022-11-30 09:58:55,2022-11-30 09:59:02,0,0
1575328893408178179,208123120201,针织,1,-1,-1,2022-08-01,订货单,绿单,0003000668,0,EMPTY,EMPTY,0,渠道-强制,1,2022-11-30 09:58:55,2022-11-30 09:59:02,0,0
1575328893408178180,208123108203,针织,1,-1,-1,2022-08-01,订货单,绿单,EMPTY,0,EMPTY,EMPTY,0,品种细分池-强制,1,2022-11-30 09:58:55,2022-11-30 09:59:02,0,0
1575328893408178181,200123102101,梭织,1,-1,-1,2022-08-01,订货单,蓝单,0003000576,0,EMPTY,EMPTY,0,品种细分池-强制,1,2022-11-30 09:58:55,2022-11-30 09:59:02,0,0
1575328893408178182,200123108104,梭织,1,-1,-1,2022-08-01,订货单,蓝单,0003000576,0,EMPTY,EMPTY,0,品种细分池-强制,1,2022-11-30 09:58:55,2022-11-30 09:59:02,0,0
1575328893408178183,200123102101,梭织,1,-1,-1,2022-08-01,订货单,蓝单,0003000576,0,EMPTY,EMPTY,0,品种细分池-强制,1,2022-11-30 09:58:55,2022-11-30 09:59:02,0,0
1575328893408178184,200123102101,梭织,1,-1,-1,2022-08-01,订货单,蓝单,0003000576,0,EMPTY,EMPTY,0,品种细分池-强制,1,2022-11-30 09:58:55,2022-11-30 09:59:02,0,0
1575328893408178185,208123121203,针织,1,-1,-1,2022-08-01,订货单,绿单,0003000333,0,EMPTY,EMPTY,0,品种细分池-强制,1,2022-11-30 09:58:55,2022-11-30 09:59:02,0,0
1575328893408178186,208123121203,针织,1,-1,-1,2022-08-01,订货单,绿单,0003000333,0,EMPTY,EMPTY,0,品种细分池-强制,1,2022-11-30 09:58:55,2022-11-30 09:59:02,0,0
1575328893408178187,208123104102,针织,1,-1,-1,2022-08-01,订货单,绿单,EMPTY,0,EMPTY,EMPTY,0,品种细分池-强制,1,2022-11-30 09:58:55,2022-11-30 09:59:02,0,0
1575328893408178188,208123104102,针织,1,-1,-1,2022-08-01,订货单,绿单,EMPTY,0,EMPTY,EMPTY,0,品种细分池-强制,1,2022-11-30 09:58:55,2022-11-30 09:59:02,0,0
1575328893408178189,208123108101,针织,1,-1,-1,2022-08-01,订货单,黄单,0003000615,0,EMPTY,EMPTY,0,渠道-强制,1,2022-11-30 09:58:55,2022-11-30 09:59:02,0,0
1575328893408178190,208123108101,针织,1,-1,-1,2022-08-01,订货单,绿单,0003000615,0,EMPTY,EMPTY,0,品种细分池-强制,1,2022-11-30 09:58:55,2022-11-30 09:59:02,0,0
1575328893408178191,208123108101,针织,1,-1,-1,2022-08-01,订货单,绿单,0003000615,0,EMPTY,EMPTY,0,品种细分池-强制,1,2022-11-30 09:58:55,2022-11-30 09:59:02,0,0
1575328893408178192,208123108101,针织,1,-1,-1,2022-08-01,订货单,绿单,0003000615,0,EMPTY,EMPTY,0,品种细分池-强制,1,2022-11-30 09:58:55,2022-11-30 09:59:02,0,0
