id,demand_id,due_date,capacity_needed,valid,create_time,update_time
1597772130340519937,1575328893391400961,2023-09-14,1,1,2022-11-30 09:58:55,2022-11-30 09:58:55
1597772130340519938,1580387529914380289,2023-09-29,2,1,2022-11-30 09:58:55,2022-11-30 09:58:55
1597772130340519939,1575328893391400962,2023-09-13,1,1,2022-11-30 09:58:55,2022-11-30 09:58:55
1597772130340519940,1575328893391400963,2023-09-13,1,1,2022-11-30 09:58:55,2022-11-30 09:58:55
1597772130340519941,1575328893391400967,2023-09-12,1,1,2022-11-30 09:58:55,2022-11-30 09:58:55
1597772130344714241,1575328893391400968,2023-09-13,1,1,2022-11-30 09:58:55,2022-11-30 09:58:55
1597772130344714242,1575328893391400969,2023-09-14,1,1,2022-11-30 09:58:55,2022-11-30 09:58:55
1597772130344714243,1575328893391400964,2023-09-12,1,1,2022-11-30 09:58:55,2022-11-30 09:58:55
1597772130344714244,1575328893391400965,2023-09-12,1,1,2022-11-30 09:58:55,2022-11-30 09:58:55
1597772130344714245,1575328893391400966,2023-09-12,1,1,2022-11-30 09:58:55,2022-11-30 09:58:55
1597772130344714246,1575328893391400970,2023-09-12,1,1,2022-11-30 09:58:55,2022-11-30 09:58:55
1597772130344714247,1575328893391400971,2023-09-12,1,1,2022-11-30 09:58:55,2022-11-30 09:58:55
1597772130344714248,1575328893391400972,2023-09-12,1,1,2022-11-30 09:58:55,2022-11-30 09:58:55
1597772130344714249,1575328893391400973,2023-09-12,1,1,2022-11-30 09:58:55,2022-11-30 09:58:55
1597772130344714250,1575328893391400974,2023-09-13,1,1,2022-11-30 09:58:55,2022-11-30 09:58:55
1597772130344714251,1575328893391400975,2023-09-14,1,1,2022-11-30 09:58:55,2022-11-30 09:58:55
1597772130344714252,1575328893395595266,2023-10-01,9,1,2022-11-30 09:58:55,2022-11-30 09:58:55
1597772130344714253,1575328893395595267,2023-10-03,2,1,2022-11-30 09:58:55,2022-11-30 09:58:55
1597772130344714254,1575328893399789577,2023-10-06,7,1,2022-11-30 09:58:55,2022-11-30 09:58:55
1597772130344714255,1575328893399789573,2023-09-14,10,1,2022-11-30 09:58:55,2022-11-30 09:58:55
1597772130344714256,1575328893399789574,2023-10-01,6,1,2022-11-30 09:58:55,2022-11-30 09:58:55
1597772130344714257,1575328893399789575,2023-10-01,4,1,2022-11-30 09:58:55,2022-11-30 09:58:55
1597772130344714258,1580387529918574601,2023-10-27,6,1,2022-11-30 09:58:55,2022-11-30 09:58:55
1597772130348908545,1580387529918574602,2023-09-23,5,1,2022-11-30 09:58:55,2022-11-30 09:58:55
1597772130348908546,1575328893403983878,2023-09-16,15,1,2022-11-30 09:58:55,2022-11-30 09:58:55
1597772130348908547,1575328893403983879,2023-10-01,6,1,2022-11-30 09:58:55,2022-11-30 09:58:55
1597772130348908548,1575328893403983880,2023-09-22,2,1,2022-11-30 09:58:55,2022-11-30 09:58:55
1597772130348908549,1575328893408178178,2023-09-16,8,1,2022-11-30 09:58:55,2022-11-30 09:58:55
1597772130348908550,1575328893408178179,2023-09-21,7,1,2022-11-30 09:58:55,2022-11-30 09:58:55
1597772130348908551,1575328893408178180,2023-10-03,4,1,2022-11-30 09:58:55,2022-11-30 09:58:55
1597772130348908552,1575328893399789578,2023-09-23,6,1,2022-11-30 09:58:55,2022-11-30 09:58:55
