id,plan_type,physical_supplier_id,fabric_category,date,max_line_limit,history_daily_occupation,create_time,update_time
1597772142399143940,2,0003000000,梭织,2022-08-01,2,0,2022-11-30 09:58:58,2022-11-30 09:58:58
1597772142415921165,2,0003000000,梭织,2022-08-02,2,0,2022-11-30 09:58:58,2022-11-30 09:58:58
1597772142428504083,2,0003000000,梭织,2022-08-03,2,0,2022-11-30 09:58:58,2022-11-30 09:58:58
1597772142441086997,2,0003000000,梭织,2022-08-04,2,0,2022-11-30 09:58:58,2022-11-30 09:58:58
1597772142453669909,2,0003000000,梭织,2022-08-05,2,0,2022-11-30 09:58:58,2022-11-30 09:58:58
1597772142466252819,2,0003000000,梭织,2022-08-06,2,0,2022-11-30 09:58:58,2022-11-30 09:58:58
1597772142478835729,2,0003000000,梭织,2022-08-08,2,0,2022-11-30 09:58:58,2022-11-30 09:58:58
1597772142487224332,2,0003000000,梭织,2022-08-09,2,0,2022-11-30 09:58:58,2022-11-30 09:58:58
1597772142491418676,2,0003000000,梭织,2022-08-10,2,0,2022-11-30 09:58:58,2022-11-30 09:58:58
1597772142499807274,2,0003000000,梭织,2022-08-11,2,0,2022-11-30 09:58:58,2022-11-30 09:58:58
1597772142508195871,2,0003000000,梭织,2022-08-12,2,0,2022-11-30 09:58:58,2022-11-30 09:58:58
1597772142688550931,2,0003000000,梭织,2022-08-13,2,0,2022-11-30 09:58:58,2022-11-30 09:58:58
1597772142696939555,2,0003000000,梭织,2022-08-15,2,0,2022-11-30 09:58:58,2022-11-30 09:58:58
1597772142705328170,2,0003000000,梭织,2022-08-16,2,0,2022-11-30 09:58:58,2022-11-30 09:58:58
1597772142713716774,2,0003000000,梭织,2022-08-17,2,0,2022-11-30 09:58:58,2022-11-30 09:58:58
1597772142722105376,2,0003000000,梭织,2022-08-18,2,0,2022-11-30 09:58:58,2022-11-30 09:58:58
1597772142730493973,2,0003000000,梭织,2022-08-19,2,0,2022-11-30 09:58:58,2022-11-30 09:58:58
1597772142738882566,2,0003000000,梭织,2022-08-20,2,0,2022-11-30 09:58:58,2022-11-30 09:58:58
1597772142743076914,2,0003000000,梭织,2022-08-22,2,0,2022-11-30 09:58:58,2022-11-30 09:58:58
1597772142751465512,2,0003000000,梭织,2022-08-23,2,0,2022-11-30 09:58:58,2022-11-30 09:58:58
1597772142764048386,2,0003000000,梭织,2022-08-24,2,0,2022-11-30 09:58:58,2022-11-30 09:58:58
1597772142772437013,2,0003000000,梭织,2022-08-25,2,0,2022-11-30 09:58:58,2022-11-30 09:58:58
1597772142910849055,2,0003000000,梭织,2022-08-26,2,0,2022-11-30 09:58:58,2022-11-30 09:58:58
1597772142919237673,2,0003000000,梭织,2022-08-27,2,0,2022-11-30 09:58:58,2022-11-30 09:58:58
1597772142927626275,2,0003000000,梭织,2022-08-29,2,0,2022-11-30 09:58:58,2022-11-30 09:58:58
1597772142940209156,2,0003000000,梭织,2022-08-30,2,0,2022-11-30 09:58:58,2022-11-30 09:58:58
1597772142944403499,2,0003000000,梭织,2022-08-31,2,0,2022-11-30 09:58:58,2022-11-30 09:58:58
1597772142952792098,2,0003000000,梭织,2022-09-01,2,0,2022-11-30 09:58:58,2022-11-30 09:58:58
1597772142961180692,2,0003000000,梭织,2022-09-02,2,0,2022-11-30 09:58:58,2022-11-30 09:58:58
1597772142969569289,2,0003000000,梭织,2022-09-03,2,0,2022-11-30 09:58:58,2022-11-30 09:58:58
1597772142973763632,2,0003000000,梭织,2022-09-05,2,0,2022-11-30 09:58:58,2022-11-30 09:58:58
1597772142986346511,2,0003000000,梭织,2022-09-06,2,0,2022-11-30 09:58:58,2022-11-30 09:58:58
1597772142994735108,2,0003000000,梭织,2022-09-07,2,0,2022-11-30 09:58:58,2022-11-30 09:58:58
1597772143107981322,2,0003000000,梭织,2022-09-08,2,0,2022-11-30 09:58:58,2022-11-30 09:58:58
1597772143116369931,2,0003000000,梭织,2022-09-09,2,0,2022-11-30 09:58:58,2022-11-30 09:58:58
1597772143124758541,2,0003000000,梭织,2022-09-10,2,0,2022-11-30 09:58:58,2022-11-30 09:58:58
1597772143133147149,2,0003000000,梭织,2022-09-12,2,0,2022-11-30 09:58:58,2022-11-30 09:58:58
1597772143141535752,2,0003000000,梭织,2022-09-13,2,0,2022-11-30 09:58:58,2022-11-30 09:58:58
1597772143145730097,2,0003000000,梭织,2022-09-14,2,0,2022-11-30 09:58:58,2022-11-30 09:58:58
1597772143154118692,2,0003000000,梭织,2022-09-15,2,0,2022-11-30 09:58:58,2022-11-30 09:58:58
1597772143162507286,2,0003000000,梭织,2022-09-16,2,0,2022-11-30 09:58:58,2022-11-30 09:58:58
1597772143170895881,2,0003000000,梭织,2022-09-17,2,0,2022-11-30 09:58:58,2022-11-30 09:58:58
1597772143175090225,2,0003000000,梭织,2022-09-19,2,0,2022-11-30 09:58:58,2022-11-30 09:58:58
1597772143183478815,2,0003000000,梭织,2022-09-20,2,0,2022-11-30 09:58:58,2022-11-30 09:58:58
1597772143296725025,2,0003000000,梭织,2022-09-21,2,0,2022-11-30 09:58:58,2022-11-30 09:58:58
1597772143305113636,2,0003000000,梭织,2022-09-22,2,0,2022-11-30 09:58:58,2022-11-30 09:58:58
1597772143313502244,2,0003000000,梭织,2022-09-23,2,0,2022-11-30 09:58:58,2022-11-30 09:58:58
1597772143321890840,2,0003000000,梭织,2022-09-24,2,0,2022-11-30 09:58:58,2022-11-30 09:58:58
1597772143330279436,2,0003000000,梭织,2022-09-26,2,0,2022-11-30 09:58:58,2022-11-30 09:58:58
1597772143334473779,2,0003000000,梭织,2022-09-27,2,0,2022-11-30 09:58:58,2022-11-30 09:58:58
1597772143342862375,2,0003000000,梭织,2022-09-28,2,0,2022-11-30 09:58:58,2022-11-30 09:58:58
