id,type,stage,strategy_ratio,core_ratio,qualified_ratio,creator,updator,create_time,update_time
27,2,1,10.0,6.0,3.0,zyy,admin,2022-03-11 18:10:43,2022-03-14 14:09:52
28,2,2,20.0,15.0,7.0,zyy,admin,2022-03-11 18:11:04,2022-03-11 18:11:04
29,2,3,30.0,25.0,15.0,zyy,test01,2022-03-11 18:11:30,2022-03-11 18:11:30
30,2,4,40.0,35.0,25.0,zyy,test01,2022-03-11 18:12:03,2022-03-11 18:12:03
31,2,5,50.0,45.0,35.0,zyy,test01,2022-03-11 18:12:26,2022-03-23 19:09:10
32,2,6,60.0,55.0,45.0,zyy,test01,2022-03-11 18:12:47,2022-03-23 19:09:15
33,2,7,70.0,65.0,55.0,zyy,test01,2022-03-11 18:13:08,2022-03-11 18:13:08
34,2,8,80.0,75.0,65.0,zyy,test01,2022-03-11 18:13:28,2022-03-11 18:13:28
35,2,9,80.0,80.0,65.0,zyy,test01,2022-03-11 18:13:47,2022-03-21 15:16:20
36,2,10,90.0,80.0,70.0,zyy,test01,2022-03-11 18:14:12,2022-03-21 15:16:30
37,2,11,100.0,90.0,70.0,zyy,test01,2022-03-11 18:14:32,2022-03-21 15:16:43
38,2,12,100.0,100.0,80.0,zyy,test01,2022-03-11 18:14:54,2022-03-11 18:14:54
39,2,13,100.0,100.0,100.0,zyy,test01,2022-03-11 18:15:14,2022-03-21 15:16:48
1534174956592623617,2,14,120.0,120.0,100.0,test01,test01,2022-06-07 22:06:27,2022-06-07 22:06:27
