id,plan_type,dictionary_key,dictionary_value
142,1,approx_depth_algorithm,0
78,1,blue_max_production_relaxation,1
80,1,blue_step_1_gap,-1
81,1,blue_step_2_gap,-1
82,1,blue_step_3_gap,1
124,1,blue_step_H_gap,-1
93,1,bypass_channel_barrier,0
79,1,enable_continuous_production,0
145,1,enable_item_category_priority,0
92,1,enable_optimal_line_optimization,0
148,1,enable_quarter_match,0
132,1,force_history_ratio,75
133,1,init_zero_start,1
129,1,last_day_criteria,10
94,1,manual_capacity_override_ratio,-1
95,1,max_num_advance_arrival_date,1
73,1,max_pk_physical_supplier,2
74,1,occupation_stage,0
72,1,penalty_group,0
96,1,per_date_advance_arrival_date,90
89,1,step_1_alg_heur_level,-1
86,1,step_1_alg_node_limit,100
83,1,step_1_alg_time_limit,240
75,1,step_1_separation,12
90,1,step_2_alg_heur_level,-1
87,1,step_2_alg_node_limit,60
84,1,step_2_alg_time_limit,120
76,1,step_2_separation,8
91,1,step_3_alg_heur_level,-1
88,1,step_3_alg_node_limit,60
85,1,step_3_alg_time_limit,120
77,1,step_3_separation,6
127,1,step_H_alg_heur_level,-1
126,1,step_H_alg_node_limit,120
125,1,step_H_alg_time_limit,240
123,1,step_H_separation,12
97,1,unified_demand,1
