id,plan_type,brand,channel,age_group,fabric_category,item_capacity_group,average_depth,create_time,update_time
1611974323424260106,1,巴拉巴拉,巴拉巴拉线上,婴童,梭织,梭织外套,3.5,2023-01-08 14:33:22,2023-01-08 14:33:22
1611974323428454407,1,巴拉巴拉,巴拉巴拉线上,婴童,梭织,梭织婴童,4.0,2023-01-08 14:33:22,2023-01-08 14:33:22
1611974323424260107,1,巴拉巴拉,巴拉巴拉线上,婴童,梭织,梭织裙子,27.333,2023-01-08 14:33:22,2023-01-08 14:33:22
1611974323424260100,1,巴拉巴拉,巴拉巴拉线上,婴童,梭织,梭织裤子,12.0,2023-01-08 14:33:22,2023-01-08 14:33:22
1611974323428454410,1,巴拉巴拉,巴拉巴拉线上,婴童,针织,针织大类,24.7,2023-01-08 14:33:22,2023-01-08 14:33:22
1611974323428454401,1,巴拉巴拉,巴拉巴拉线上,非婴童,梭织,梭织外套,43.0,2023-01-08 14:33:22,2023-01-08 14:33:22
1611974323424260105,1,巴拉巴拉,巴拉巴拉线上,非婴童,梭织,梭织裙子,35.0,2023-01-08 14:33:22,2023-01-08 14:33:22
1611974323428454408,1,巴拉巴拉,巴拉巴拉线上,非婴童,梭织,梭织裤子,39.286,2023-01-08 14:33:22,2023-01-08 14:33:22
1611974323424260102,1,巴拉巴拉,巴拉巴拉线上,非婴童,牛仔,牛仔大类,27.0,2023-01-08 14:33:22,2023-01-08 14:33:22
1611974323424260098,1,巴拉巴拉,巴拉巴拉线上,非婴童,针织,针织大类,34.831,2023-01-08 14:33:22,2023-01-08 14:33:22
1611974323428454406,1,巴拉巴拉,巴拉巴拉线下,婴童,梭织,梭织外套,13.333,2023-01-08 14:33:22,2023-01-08 14:33:22
1611974323424260103,1,巴拉巴拉,巴拉巴拉线下,婴童,梭织,梭织婴童,7.692,2023-01-08 14:33:22,2023-01-08 14:33:22
1611974323428454411,1,巴拉巴拉,巴拉巴拉线下,婴童,梭织,梭织裙子,17.231,2023-01-08 14:33:22,2023-01-08 14:33:22
1611974323428454402,1,巴拉巴拉,巴拉巴拉线下,婴童,梭织,梭织裤子,12.278,2023-01-08 14:33:22,2023-01-08 14:33:22
1611974323428454405,1,巴拉巴拉,巴拉巴拉线下,婴童,毛织,毛织大类,29.0,2023-01-08 14:33:22,2023-01-08 14:33:22
1611974323424260104,1,巴拉巴拉,巴拉巴拉线下,婴童,牛仔,牛仔大类,11.0,2023-01-08 14:33:22,2023-01-08 14:33:22
1611974323424260108,1,巴拉巴拉,巴拉巴拉线下,婴童,针织,针织大类,18.137,2023-01-08 14:33:22,2023-01-08 14:33:22
1611974323424260101,1,巴拉巴拉,巴拉巴拉线下,非婴童,梭织,梭织外套,16.029,2023-01-08 14:33:22,2023-01-08 14:33:22
1611974323424260109,1,巴拉巴拉,巴拉巴拉线下,非婴童,梭织,梭织裙子,39.681,2023-01-08 14:33:22,2023-01-08 14:33:22
1611974323428454404,1,巴拉巴拉,巴拉巴拉线下,非婴童,梭织,梭织裤子,38.729,2023-01-08 14:33:22,2023-01-08 14:33:22
1611974323428454403,1,巴拉巴拉,巴拉巴拉线下,非婴童,毛织,毛织大类,27.667,2023-01-08 14:33:22,2023-01-08 14:33:22
1611974323424260099,1,巴拉巴拉,巴拉巴拉线下,非婴童,牛仔,牛仔大类,22.667,2023-01-08 14:33:22,2023-01-08 14:33:22
1611974323428454409,1,巴拉巴拉,巴拉巴拉线下,非婴童,针织,针织大类,28.472,2023-01-08 14:33:22,2023-01-08 14:33:22
