demand_id,plan_type,fabric_category,internal_item_id,item_id,max_production_limit,min_production_period,max_production_period,arrival_date,type,priority,history_supplier_id,algo_finished,algo_physical_supplier_id,designated_physical_supplier_id,forced_using_private_capacity,shared_capacity_availability,advancement_candidate,manual_arrival_date,valid,create_time,update_time
1585937125143015425,1,针织,200223120003,C44742529,1,-1,-1,2022-11-14,预估单,蓝单,0003000627,0,EMPTY,EMPTY,0,品种细分池,1,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937125143015426,1,针织,208223119206,C47227773,1,-1,-1,2022-11-17,预估单,蓝单,0003000019,0,EMPTY,EMPTY,0,品种细分池,1,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937125143015427,1,针织,208223119206,C47227773,1,-1,-1,2022-11-17,预估单,蓝单,0003000019,0,EMPTY,EMPTY,0,品种细分池,1,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937125143015428,1,针织,208223119206,C47227773,1,-1,-1,2022-11-17,预估单,蓝单,0003000019,0,EMPTY,EMPTY,0,品种细分池,1,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937125143015429,1,针织,208223117106,C47607395,1,-1,-1,2022-11-17,预估单,蓝单,0003001192,0,EMPTY,EMPTY,0,品种细分池,1,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937125147209730,1,针织,208223117106,C47607395,1,-1,-1,2022-11-17,预估单,蓝单,0003001192,0,EMPTY,EMPTY,0,品种细分池,1,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937125147209731,1,针织,208223117106,C47607395,1,-1,-1,2022-11-17,预估单,蓝单,0003001192,0,EMPTY,EMPTY,0,品种细分池,1,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937125147209732,1,针织,201223119103,C44861684,2,-1,-1,2022-11-14,预估单,蓝单,0003000619,0,EMPTY,EMPTY,0,品种细分池,1,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937125147209733,1,针织,201223119103,C44861684,2,-1,-1,2022-11-14,预估单,蓝单,0003000619,0,EMPTY,EMPTY,0,品种细分池,1,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937125147209734,1,针织,201223117108,C44729116,1,-1,-1,2022-11-14,预估单,蓝单,0003000619,0,EMPTY,EMPTY,0,品种细分池,1,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937125147209735,1,针织,201223117108,C44729116,1,-1,-1,2022-11-14,预估单,蓝单,0003000619,0,EMPTY,EMPTY,0,品种细分池,1,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937125147209736,1,针织,201223117108,C44729116,1,-1,-1,2022-11-14,预估单,蓝单,0003000619,0,EMPTY,EMPTY,0,品种细分池,1,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937125147209737,1,针织,201223117108,C44729116,1,-1,-1,2022-11-14,预估单,蓝单,0003000619,0,EMPTY,EMPTY,0,品种细分池,1,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937125147209738,1,针织,201223117109,C46141254,1,-1,-1,2022-11-08,预估单,蓝单,0003000619,0,EMPTY,EMPTY,0,品种细分池,1,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937125147209739,1,针织,201223117109,C46141254,1,-1,-1,2022-11-08,预估单,蓝单,0003000619,0,EMPTY,EMPTY,0,品种细分池,1,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937125147209740,1,针织,201223117109,C46141254,1,-1,-1,2022-11-08,预估单,蓝单,0003000619,0,EMPTY,EMPTY,0,品种细分池,1,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937125147209741,1,针织,201223117109,C46141254,1,-1,-1,2022-11-08,预估单,蓝单,0003000619,0,EMPTY,EMPTY,0,品种细分池,1,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937125147209742,1,针织,200223110106,C46554773,1,-1,-1,2022-11-25,预估单,蓝单,0003000658,0,EMPTY,EMPTY,0,品种细分池,1,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937125147209743,1,针织,200223110106,C46554773,1,-1,-1,2022-11-25,预估单,蓝单,0003000658,0,EMPTY,EMPTY,0,品种细分池,1,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937125147209744,1,针织,,C45249086,1,-1,-1,2023-03-11,预估单,蓝单,0003000333,0,EMPTY,EMPTY,0,品种细分池,1,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937125147209745,1,针织,208223117201,C45249086,1,-1,-1,2022-11-17,预估单,蓝单,0003000333,0,EMPTY,EMPTY,0,品种细分池,1,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937125151404033,1,针织,208223117201,C45249086,1,-1,-1,2022-11-17,预估单,蓝单,0003000333,0,EMPTY,EMPTY,0,品种细分池,1,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937125151404034,1,针织,208223117201,C45249086,1,-1,-1,2022-11-17,预估单,蓝单,0003000333,0,EMPTY,EMPTY,0,品种细分池,1,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
