item_id,plan_type,internal_item_id,material_code,internal_item_early_id,brand,channel,coop_mode,age_group,fabric_category,item_capacity_group,item_category,sex,year,quarter,amount_level,is_pk_item,is_popular_item,batch,valid,create_time,update_time
C44685157,1,200223122201,C44685157,223FB-UZ-401,巴拉巴拉,巴拉巴拉线下,巴拉巴拉FOB,婴童,针织,针织大类,巴拉巴拉针织背心,中,2022,Q1,B,0,0,4B,1,2023-01-08 14:33:18,2023-01-08 14:33:18
C44685159,1,200223156204,C44685159,223FB-UZ-403,巴拉巴拉,巴拉巴拉线下,巴拉巴拉CFOB,婴童,针织,针织大类,巴拉巴拉针织礼盒,中,2022,Q1,C,0,0,4A,1,2023-01-08 14:33:18,2023-01-08 14:33:18
C44685160,1,200223156206,C44685160,223FB-UZ-404,巴拉巴拉,巴拉巴拉线下,巴拉巴拉CFOB,婴童,针织,针织大类,巴拉巴拉针织礼盒,中,2022,Q1,C,0,0,4A,1,2023-01-08 14:33:18,2023-01-08 14:33:18
C44685161,1,200223133201,C44685161,223FB-US-701,巴拉巴拉,巴拉巴拉线下,巴拉巴拉CFOB,婴童,梭织,梭织婴童,巴拉巴拉梭织连体衣,中,2022,Q1,B,0,0,4B,1,2023-01-08 14:33:18,2023-01-08 14:33:18
C44685162,1,200223133202,C44685162,223FB-US-702,巴拉巴拉,巴拉巴拉线下,巴拉巴拉CFOB,婴童,梭织,梭织婴童,巴拉巴拉梭织连体衣,中,2022,Q1,B,0,0,4B,1,2023-01-08 14:33:18,2023-01-08 14:33:18
C44685163,1,200223133204,C44685163,223FB-US-703,巴拉巴拉,巴拉巴拉线下,巴拉巴拉CFOB,婴童,梭织,梭织婴童,巴拉巴拉梭织连体衣,中,2022,Q1,B,0,0,4A,1,2023-01-08 14:33:18,2023-01-08 14:33:18
C44685164,1,200223133205,C44685164,223FB-UZ-701,巴拉巴拉,巴拉巴拉线下,巴拉巴拉FOB,婴童,针织,针织大类,巴拉巴拉针织连体衣,中,2022,Q1,B,0,0,4B,1,2023-01-08 14:33:18,2023-01-08 14:33:18
C44685165,1,200223133206,C44685165,223FB-UZ-702,巴拉巴拉,巴拉巴拉线下,巴拉巴拉FOB,婴童,针织,针织大类,巴拉巴拉针织连体衣,中,2022,Q1,C,0,0,4B,1,2023-01-08 14:33:18,2023-01-08 14:33:18
C44685166,1,200223133207,C44685166,223FB-UZ-703,巴拉巴拉,巴拉巴拉线下,巴拉巴拉CFOB,婴童,针织,针织大类,巴拉巴拉针织连体衣,中,2022,Q1,C,0,0,4A,1,2023-01-08 14:33:18,2023-01-08 14:33:18
C44685168,1,200223133209,C44685168,223FB-UZ-705,巴拉巴拉,巴拉巴拉线下,巴拉巴拉CFOB,婴童,针织,针织大类,巴拉巴拉针织连体衣,中,2022,Q1,A,0,0,4A,1,2023-01-08 14:33:18,2023-01-08 14:33:18
C44685169,1,200223133210,C44685169,223FB-UZ-706,巴拉巴拉,巴拉巴拉线下,巴拉巴拉FOB,婴童,针织,针织大类,巴拉巴拉针织连体衣,中,2022,Q1,B,0,0,4B,1,2023-01-08 14:33:18,2023-01-08 14:33:18
C44685170,1,200223133211,C44685170,223FB-UZ-707,巴拉巴拉,巴拉巴拉线下,巴拉巴拉CFOB,婴童,针织,针织大类,巴拉巴拉针织连体衣,中,2022,Q1,A,0,0,4A,1,2023-01-08 14:33:18,2023-01-08 14:33:18
C44685171,1,200223131201,C44685171,223FB-UZ-101,巴拉巴拉,巴拉巴拉线下,巴拉巴拉FOB,婴童,针织,针织大类,巴拉巴拉针织卫衣/T恤,中,2022,Q1,C,0,0,4B,1,2023-01-08 14:33:18,2023-01-08 14:33:18
