id,plan_type,physical_supplier_id,fabric_category,date,max_line_limit,history_daily_occupation,create_time,update_time
1611974315891290120,1,0003000000,梭织,2022-07-01,2,0,2023-01-08 14:33:20,2023-01-08 14:33:20
1611974315899678728,1,0003000000,梭织,2022-07-02,2,0,2023-01-08 14:33:20,2023-01-08 14:33:20
1611974315903873068,1,0003000000,梭织,2022-07-04,2,0,2023-01-08 14:33:20,2023-01-08 14:33:20
1611974315912261654,1,0003000000,梭织,2022-07-05,2,0,2023-01-08 14:33:20,2023-01-08 14:33:20
1611974315920650241,1,0003000000,梭织,2022-07-06,2,0,2023-01-08 14:33:20,2023-01-08 14:33:20
1611974315924844581,1,0003000000,梭织,2022-07-07,2,0,2023-01-08 14:33:20,2023-01-08 14:33:20
1611974315933233165,1,0003000000,梭织,2022-07-08,2,0,2023-01-08 14:33:20,2023-01-08 14:33:20
1611974315937427500,1,0003000000,梭织,2022-07-09,2,0,2023-01-08 14:33:20,2023-01-08 14:33:20
1611974315945816084,1,0003000000,梭织,2022-07-11,2,0,2023-01-08 14:33:20,2023-01-08 14:33:20
1611974315950010421,1,0003000000,梭织,2022-07-12,2,0,2023-01-08 14:33:20,2023-01-08 14:33:20
1611974315958399004,1,0003000000,梭织,2022-07-13,2,0,2023-01-08 14:33:20,2023-01-08 14:33:20
1611974316025507860,1,0003000000,梭织,2022-07-14,2,0,2023-01-08 14:33:20,2023-01-08 14:33:20
1611974316033896460,1,0003000000,梭织,2022-07-15,2,0,2023-01-08 14:33:20,2023-01-08 14:33:20
1611974316038090800,1,0003000000,梭织,2022-07-16,2,0,2023-01-08 14:33:20,2023-01-08 14:33:20
1611974316046479387,1,0003000000,梭织,2022-07-18,2,0,2023-01-08 14:33:20,2023-01-08 14:33:20
1611974316054867975,1,0003000000,梭织,2022-07-19,2,0,2023-01-08 14:33:20,2023-01-08 14:33:20
1611974316059062312,1,0003000000,梭织,2022-07-20,2,0,2023-01-08 14:33:20,2023-01-08 14:33:20
1611974316067450894,1,0003000000,梭织,2022-07-21,2,0,2023-01-08 14:33:20,2023-01-08 14:33:20
1611974316071645231,1,0003000000,梭织,2022-07-22,2,0,2023-01-08 14:33:20,2023-01-08 14:33:20
1611974316080033815,1,0003000000,梭织,2022-07-23,2,0,2023-01-08 14:33:20,2023-01-08 14:33:20
1611974316084228152,1,0003000000,梭织,2022-07-25,2,0,2023-01-08 14:33:20,2023-01-08 14:33:20
1611974316092616734,1,0003000000,梭织,2022-07-26,2,0,2023-01-08 14:33:20,2023-01-08 14:33:20
1611974316369440783,1,0003000000,梭织,2022-07-27,2,0,2023-01-08 14:33:20,2023-01-08 14:33:20
1611974316377829396,1,0003000000,梭织,2022-07-28,2,0,2023-01-08 14:33:20,2023-01-08 14:33:20
1611974316386218008,1,0003000000,梭织,2022-07-29,2,0,2023-01-08 14:33:20,2023-01-08 14:33:20
1611974316394606619,1,0003000000,梭织,2022-07-30,2,0,2023-01-08 14:33:20,2023-01-08 14:33:20
1611974316402995203,1,0003000000,梭织,2022-08-01,2,0,2023-01-08 14:33:20,2023-01-08 14:33:20
1611974316407189542,1,0003000000,梭织,2022-08-02,2,0,2023-01-08 14:33:20,2023-01-08 14:33:20
1611974316415578129,1,0003000000,梭织,2022-08-03,2,0,2023-01-08 14:33:20,2023-01-08 14:33:20
1611974316419772462,1,0003000000,梭织,2022-08-04,2,0,2023-01-08 14:33:20,2023-01-08 14:33:20
1611974316428161042,1,0003000000,梭织,2022-08-05,2,0,2023-01-08 14:33:20,2023-01-08 14:33:20
1611974316432355381,1,0003000000,梭织,2022-08-06,2,0,2023-01-08 14:33:20,2023-01-08 14:33:20
1611974316440743958,1,0003000000,梭织,2022-08-08,2,0,2023-01-08 14:33:20,2023-01-08 14:33:20
1611974316654653464,1,0003000000,梭织,2022-08-09,2,0,2023-01-08 14:33:20,2023-01-08 14:33:20
1611974316663042078,1,0003000000,梭织,2022-08-10,2,0,2023-01-08 14:33:20,2023-01-08 14:33:20
1611974316671430691,1,0003000000,梭织,2022-08-11,2,0,2023-01-08 14:33:20,2023-01-08 14:33:20
1611974316679819302,1,0003000000,梭织,2022-08-12,2,0,2023-01-08 14:33:20,2023-01-08 14:33:20
1611974316688207914,1,0003000000,梭织,2022-08-13,2,0,2023-01-08 14:33:20,2023-01-08 14:33:20
1611974316696596504,1,0003000000,梭织,2022-08-15,2,0,2023-01-08 14:33:20,2023-01-08 14:33:20
