order_id,item_id,fabric_category,max_production_limit,arrival_date,due_date,capacity_needed
1585937137579126803,C44698772,牛仔,2,2022-11-09,2022-12-20,3
1585937137579126804,C44698772,牛仔,2,2022-11-09,2023-02-07,10
1585937137587515404,C47031824,牛仔,1,2022-11-09,2022-12-20,1
1585937137595904010,C46598990,牛仔,1,2022-10-05,2023-02-14,6
1585937137595904011,C46598990,牛仔,1,2022-10-05,2023-02-23,8
1585937137595904012,C46598990,牛仔,1,2022-10-05,2023-03-02,6
1585937137616875534,C44731577,牛仔,2,2022-10-05,2023-03-02,15
1585937137616875535,C44731577,牛仔,2,2022-10-05,2023-03-20,20
1585937137616875536,C44731577,牛仔,2,2022-10-05,2023-04-06,15
1585937137650429970,C44771964,牛仔,1,2022-11-14,2023-02-14,6
1585937137650429971,C44771964,牛仔,1,2022-11-14,2023-02-23,8
