order_id,item_id,fabric_category,max_production_limit,arrival_date,due_date,capacity_needed
1575328893403983874,208123107204,梭织,1,2022-08-01,2023-09-17,6
1575328893403983875,208123107204,梭织,1,2022-08-01,2023-10-01,6
1575328893500452868,202123105104,梭织,1,2022-08-01,2023-11-23,6
1575328893500452870,202123105104,梭织,1,2022-08-01,2023-11-30,20
1575328893500452871,202123105104,梭织,1,2022-08-01,2023-11-23,1
1575328893584338958,202123105111,梭织,1,2022-08-01,2023-11-23,6
1575328893584338959,202123105111,梭织,1,2022-08-01,2023-11-23,1
1575328893584338960,202123105111,梭织,1,2022-08-01,2023-11-23,1
1575328899674468356,208123105003,梭织,1,2022-08-01,2023-11-03,14
1575328899674468357,208123105003,梭织,1,2022-08-01,2023-11-03,12
1575328899728994331,200123104105,梭织,1,2022-08-01,2023-10-26,5
1575328899728994332,200123104105,梭织,1,2022-08-01,2023-10-26,1
1575328899766743060,208123104002,梭织,1,2022-08-01,2023-09-30,6
1575328899808686089,208123105103,梭织,1,2022-08-01,2023-10-27,14
1575328899808686090,208123105103,梭织,1,2022-08-01,2023-11-24,21
1575328899808686091,208123105103,梭织,1,2022-08-01,2023-12-15,21
1575328899808686092,208123105103,梭织,1,2022-08-01,2023-12-19,14
1575328899821269011,208123108209,梭织,1,2022-08-01,2023-11-11,4
1575328899821269012,208123108209,梭织,1,2022-08-01,2023-11-29,4
1575328899821269013,208123108209,梭织,1,2022-08-01,2023-12-19,5
1575328899821269023,208123108108,梭织,1,2022-08-01,2023-09-30,3
1575328899825463297,208123108108,梭织,1,2022-08-01,2023-11-29,3
1575328899825463298,208123108108,梭织,1,2022-08-01,2023-12-19,3
1580387529931157516,202123105112,梭织,1,2022-08-01,2023-11-23,18
1580387529931157517,202123105112,梭织,2,2022-08-01,2023-11-30,50
1580387529931157518,202123105112,梭织,1,2022-08-01,2023-11-23,1
1580387529931157519,202123105112,梭织,1,2022-08-01,2023-11-23,1
