order_id,item_id,fabric_category,max_production_limit,arrival_date,due_date,capacity_needed
1575328893420761091,208123103002,毛织,1,2022-08-01,2023-09-22,5
1575328893420761092,208123103002,毛织,1,2022-08-01,2023-10-04,5
1575328899678662665,201123103104,毛织,1,2022-08-01,2023-11-23,19
1575328899678662666,201123103104,毛织,1,2022-08-01,2023-11-30,28
1575328899682856974,201123112001,毛织,1,2022-08-01,2023-11-23,6
1575328899687051266,201123112001,毛织,1,2022-08-01,2023-11-30,14
1575328899687051267,201123112001,毛织,1,2022-08-01,2023-11-23,1
1575328899687051268,201123112001,毛织,1,2022-08-01,2023-11-23,1
1575328899695439884,202123103005,毛织,1,2022-08-01,2023-10-26,18
1575328899695439886,202123103005,毛织,1,2022-08-01,2023-11-09,12
1575328899695439887,202123103005,毛织,1,2022-08-01,2023-10-26,1
1575328899695439888,202123103005,毛织,1,2022-08-01,2023-10-26,1
1575328899716411394,200123103105,毛织,1,2022-08-01,2023-11-23,15
1575328899716411395,200123103105,毛织,1,2022-08-01,2023-11-23,1
1575328899720605700,201123101001,毛织,1,2022-08-01,2023-11-23,13
1575328899720605701,201123101001,毛织,1,2022-08-01,2023-11-23,1
1575328899720605702,201123101001,毛织,1,2022-08-01,2023-11-23,1
1580387529943740429,202123103103,毛织,1,2022-08-01,2023-11-23,15
1580387529943740430,202123103103,毛织,3,2022-08-01,2023-11-30,39
1580387529943740431,202123103103,毛织,1,2022-08-01,2023-11-23,1
1580387529943740432,202123103104,毛织,1,2022-08-01,2023-11-23,8
1580387529943740433,202123103104,毛织,1,2022-08-01,2023-11-30,22
1580387529943740434,202123103104,毛织,1,2022-08-01,2023-11-23,1
1580387529947934728,200123103103,毛织,1,2022-08-01,2023-11-23,7
1580387529947934729,200123103103,毛织,1,2022-08-01,2023-12-15,23
1580387529947934731,200123103103,毛织,1,2022-08-01,2023-11-23,1
1580387529947934732,200123103106,毛织,1,2022-08-01,2023-11-23,8
1580387529947934733,200123103106,毛织,1,2022-08-01,2023-11-30,26
1580387529947934734,200123103106,毛织,1,2022-08-01,2023-11-23,1
1580387529947934735,200123103106,毛织,1,2022-08-01,2023-11-23,1
