order_id,item_id,fabric_category,max_production_limit,arrival_date,due_date,capacity_needed
1585937125226901528,C47451546,梭织,1,2022-11-29,2023-02-14,4
1585937125231095816,C47571533,梭织,3,2022-11-29,2023-01-02,20
1585937125231095817,C47571533,梭织,3,2022-11-29,2023-02-07,29
1585937125231095818,C47571533,梭织,3,2022-11-29,2023-02-14,29
1585937125231095819,C47571533,梭织,3,2022-11-29,2023-02-21,20
1585937125239484436,C47402801,梭织,1,2022-11-29,2023-02-14,3
1585937125252067334,C47251063,梭织,1,2022-11-29,2023-02-21,8
1585937125252067335,C47251063,梭织,1,2022-11-29,2023-02-28,8
1585937125252067336,C47251063,梭织,1,2022-11-29,2023-03-07,4
1585937125281427482,C44741718,梭织,1,2022-11-14,2023-02-14,4
1585937137516212240,C44730835,梭织,1,2022-11-14,2023-03-02,5
1585937137579126793,C45133818,梭织,2,2022-11-14,2023-02-14,12
1585937137579126794,C45133818,梭织,2,2022-11-14,2023-02-23,15
1585937137579126795,C45133818,梭织,2,2022-11-14,2023-03-02,12
1585937137591709727,C46687907,梭织,3,2022-11-08,2023-02-14,40
1585937137591709728,C46687907,梭织,3,2022-11-08,2023-02-23,40
1585937137591709729,C46687907,梭织,3,2022-11-08,2023-03-02,40
1585937137591709730,C46687907,梭织,3,2022-11-08,2023-03-09,14
1585937137625264145,C49365632,梭织,1,2022-10-05,2023-02-14,9
1585937137650429953,C49401156,梭织,1,2022-11-14,2023-02-14,5
1585937137650429954,C49401156,梭织,1,2022-11-14,2023-02-23,8
