order_id,item_id,fabric_category,max_production_limit,arrival_date,due_date,capacity_needed
1575328893420761103,201123108013,牛仔,1,2022-08-01,2023-11-23,22
1575328893420761104,201123108013,牛仔,2,2022-08-01,2023-11-30,41
1575328893424955394,201123108013,牛仔,1,2022-08-01,2023-12-07,7
1575328893424955395,201123108013,牛仔,1,2022-08-01,2023-11-23,1
1575328893424955396,201123108013,牛仔,1,2022-08-01,2023-11-23,1
1575328893450121221,200123108110,牛仔,1,2022-08-01,2023-10-26,1
1575328893458509826,202123108114,牛仔,1,2022-08-01,2023-11-23,6
1575328893458509827,202123108114,牛仔,1,2022-08-01,2023-11-30,18
1575328893458509828,202123108114,牛仔,1,2022-08-01,2023-11-23,1
1575328893458509829,202123108114,牛仔,1,2022-08-01,2023-11-23,1
1575328893462704145,200123108101,牛仔,1,2022-08-01,2023-11-23,4
1575328893462704155,200123108101,牛仔,1,2022-08-01,2023-11-30,11
1575328893462704156,201123108104,牛仔,1,2022-08-01,2023-11-23,3
1575328893462704157,201123108104,牛仔,1,2022-08-01,2023-11-30,7
1575328893462704158,201123108104,牛仔,1,2022-08-01,2023-11-23,1
1575328893466898436,200123108110,牛仔,1,2022-08-01,2023-10-26,7
1575328893466898445,200123108110,牛仔,1,2022-08-01,2023-11-09,5
1575328893466898455,200123108110,牛仔,1,2022-08-01,2023-10-26,1
1580387529952129047,208123120103,牛仔,-1,2022-08-01,2023-11-25,3
1580387529952129048,208123120103,牛仔,-1,2022-08-01,2023-12-19,3
