order_id,item_id,fabric_category,max_production_limit,arrival_date,due_date,capacity_needed
1585937125189152789,C45976245,针织,1,2022-11-17,2023-02-18,11
1585937125189152790,C45976245,针织,1,2022-11-17,2023-02-25,11
1585937125189152791,C45976245,针织,1,2022-11-17,2023-03-04,6
1585937125302398981,C44685165,针织,1,2022-11-25,2023-02-18,5
1585937125302398982,C44685165,针织,1,2022-11-25,2023-02-28,7
1585937125302398988,C44686215,针织,1,2022-11-25,2022-12-24,2
1585937125306593292,C44698071,针织,1,2022-11-14,2022-12-24,22
1585937125306593293,C44698071,针织,1,2022-11-14,2023-02-11,44
1585937125306593294,C44698071,针织,1,2022-11-14,2023-02-18,22
1585937125306593295,C44698071,针织,1,2022-11-14,2023-03-04,22
1585937137516212232,C44730630,针织,1,2022-11-14,2023-02-18,4
1585937137516212233,C44730630,针织,1,2022-11-14,2023-02-28,5
1585937137516212234,C44730630,针织,1,2022-11-14,2023-03-07,4
1585937137537183753,C44741725,针织,1,2022-11-14,2022-12-24,8
1585937137537183754,C44741725,针织,1,2022-11-14,2023-02-11,15
1585937137537183755,C44741725,针织,1,2022-11-14,2023-02-18,8
1585937137537183756,C44741725,针织,1,2022-11-14,2023-03-04,8
1585937137642041369,C49354961,针织,2,2022-11-14,2022-12-24,4
1585937137642041370,C49354961,针织,2,2022-11-14,2023-02-11,8
1585937137642041371,C49354961,针织,2,2022-11-14,2023-02-18,4
1585937137642041372,C49354961,针织,2,2022-11-14,2023-03-04,4
1585937137646235677,C49269492,针织,1,2022-11-08,2023-02-18,5
