machine_id,supplier_id,brand,channel,age_group,fabric_category,item_capacity_group,month,planned_capacity,available_capacity
7,3000019,巴拉巴拉,巴拉巴拉线上,婴童,针织,针织大类,2022-07,0,0
7,3000019,巴拉巴拉,巴拉巴拉线上,婴童,针织,针织大类,2022-08,0,0
7,3000019,巴拉巴拉,巴拉巴拉线上,婴童,针织,针织大类,2022-09,0,0
7,3000019,巴拉巴拉,巴拉巴拉线上,婴童,针织,针织大类,2022-10,0,0
7,3000019,巴拉巴拉,巴拉巴拉线上,婴童,针织,针织大类,2022-11,19,28
7,3000019,巴拉巴拉,巴拉巴拉线上,婴童,针织,针织大类,2022-12,19,28
7,3000019,巴拉巴拉,巴拉巴拉线上,婴童,针织,针织大类,2023-01,1,1
7,3000019,巴拉巴拉,巴拉巴拉线上,婴童,针织,针织大类,2023-02,0,0
7,3000019,巴拉巴拉,巴拉巴拉线上,婴童,针织,针织大类,2023-03,38,57
7,3000019,巴拉巴拉,巴拉巴拉线上,婴童,针织,针织大类,2023-04,43,65
7,3000019,巴拉巴拉,巴拉巴拉线上,婴童,针织,针织大类,2023-05,0,0
55,3000019,巴拉巴拉,巴拉巴拉线上,非婴童,针织,针织大类,2022-07,0,0
55,3000019,巴拉巴拉,巴拉巴拉线上,非婴童,针织,针织大类,2022-08,0,0
55,3000019,巴拉巴拉,巴拉巴拉线上,非婴童,针织,针织大类,2022-09,0,0
55,3000019,巴拉巴拉,巴拉巴拉线上,非婴童,针织,针织大类,2022-10,0,0
55,3000019,巴拉巴拉,巴拉巴拉线上,非婴童,针织,针织大类,2022-11,162,243
55,3000019,巴拉巴拉,巴拉巴拉线上,非婴童,针织,针织大类,2022-12,162,243
55,3000019,巴拉巴拉,巴拉巴拉线上,非婴童,针织,针织大类,2023-01,44,66
55,3000019,巴拉巴拉,巴拉巴拉线上,非婴童,针织,针织大类,2023-02,17,25
55,3000019,巴拉巴拉,巴拉巴拉线上,非婴童,针织,针织大类,2023-03,167,251
55,3000019,巴拉巴拉,巴拉巴拉线上,非婴童,针织,针织大类,2023-04,96,144
55,3000019,巴拉巴拉,巴拉巴拉线上,非婴童,针织,针织大类,2023-05,0,0
87,3000019,巴拉巴拉,巴拉巴拉线下,婴童,针织,针织大类,2022-07,0,0
87,3000019,巴拉巴拉,巴拉巴拉线下,婴童,针织,针织大类,2022-08,0,0
87,3000019,巴拉巴拉,巴拉巴拉线下,婴童,针织,针织大类,2022-09,0,0
87,3000019,巴拉巴拉,巴拉巴拉线下,婴童,针织,针织大类,2022-10,0,0
87,3000019,巴拉巴拉,巴拉巴拉线下,婴童,针织,针织大类,2022-11,17,26
87,3000019,巴拉巴拉,巴拉巴拉线下,婴童,针织,针织大类,2022-12,17,26
87,3000019,巴拉巴拉,巴拉巴拉线下,婴童,针织,针织大类,2023-01,17,26
87,3000019,巴拉巴拉,巴拉巴拉线下,婴童,针织,针织大类,2023-02,17,26
87,3000019,巴拉巴拉,巴拉巴拉线下,婴童,针织,针织大类,2023-03,17,26
87,3000019,巴拉巴拉,巴拉巴拉线下,婴童,针织,针织大类,2023-04,6,9
87,3000019,巴拉巴拉,巴拉巴拉线下,婴童,针织,针织大类,2023-05,0,0
144,3000019,巴拉巴拉,巴拉巴拉线下,非婴童,针织,针织大类,2022-07,0,0
144,3000019,巴拉巴拉,巴拉巴拉线下,非婴童,针织,针织大类,2022-08,0,0
144,3000019,巴拉巴拉,巴拉巴拉线下,非婴童,针织,针织大类,2022-09,0,0
144,3000019,巴拉巴拉,巴拉巴拉线下,非婴童,针织,针织大类,2022-10,0,0
144,3000019,巴拉巴拉,巴拉巴拉线下,非婴童,针织,针织大类,2022-11,349,524
144,3000019,巴拉巴拉,巴拉巴拉线下,非婴童,针织,针织大类,2022-12,464,696
144,3000019,巴拉巴拉,巴拉巴拉线下,非婴童,针织,针织大类,2023-01,371,556
144,3000019,巴拉巴拉,巴拉巴拉线下,非婴童,针织,针织大类,2023-02,544,816
144,3000019,巴拉巴拉,巴拉巴拉线下,非婴童,针织,针织大类,2023-03,188,282
144,3000019,巴拉巴拉,巴拉巴拉线下,非婴童,针织,针织大类,2023-04,94,142
144,3000019,巴拉巴拉,巴拉巴拉线下,非婴童,针织,针织大类,2023-05,0,0
1542110692486737922,3000333,巴拉巴拉,巴拉巴拉线上,婴童,针织,针织大类,2022-07,0,0
1542110692486737922,3000333,巴拉巴拉,巴拉巴拉线上,婴童,针织,针织大类,2022-08,0,0
1542110692486737922,3000333,巴拉巴拉,巴拉巴拉线上,婴童,针织,针织大类,2022-09,0,0
1542110692486737922,3000333,巴拉巴拉,巴拉巴拉线上,婴童,针织,针织大类,2022-10,0,0
1542110692486737922,3000333,巴拉巴拉,巴拉巴拉线上,婴童,针织,针织大类,2022-11,0,0
1542110692486737922,3000333,巴拉巴拉,巴拉巴拉线上,婴童,针织,针织大类,2022-12,0,0
1542110692486737922,3000333,巴拉巴拉,巴拉巴拉线上,婴童,针织,针织大类,2023-01,0,0
1542110692486737922,3000333,巴拉巴拉,巴拉巴拉线上,婴童,针织,针织大类,2023-02,0,0
1542110692486737922,3000333,巴拉巴拉,巴拉巴拉线上,婴童,针织,针织大类,2023-03,0,0
1542110692486737922,3000333,巴拉巴拉,巴拉巴拉线上,婴童,针织,针织大类,2023-04,0,0
1542110692486737922,3000333,巴拉巴拉,巴拉巴拉线上,婴童,针织,针织大类,2023-05,0,0
50,3000333,巴拉巴拉,巴拉巴拉线上,非婴童,针织,针织大类,2022-07,0,0
50,3000333,巴拉巴拉,巴拉巴拉线上,非婴童,针织,针织大类,2022-08,0,0
50,3000333,巴拉巴拉,巴拉巴拉线上,非婴童,针织,针织大类,2022-09,0,0
50,3000333,巴拉巴拉,巴拉巴拉线上,非婴童,针织,针织大类,2022-10,0,0
50,3000333,巴拉巴拉,巴拉巴拉线上,非婴童,针织,针织大类,2022-11,141,212
50,3000333,巴拉巴拉,巴拉巴拉线上,非婴童,针织,针织大类,2022-12,141,212
50,3000333,巴拉巴拉,巴拉巴拉线上,非婴童,针织,针织大类,2023-01,70,106
50,3000333,巴拉巴拉,巴拉巴拉线上,非婴童,针织,针织大类,2023-02,32,49
50,3000333,巴拉巴拉,巴拉巴拉线上,非婴童,针织,针织大类,2023-03,79,118
50,3000333,巴拉巴拉,巴拉巴拉线上,非婴童,针织,针织大类,2023-04,79,118
50,3000333,巴拉巴拉,巴拉巴拉线上,非婴童,针织,针织大类,2023-05,26,39
78,3000333,巴拉巴拉,巴拉巴拉线下,婴童,针织,针织大类,2022-07,0,0
78,3000333,巴拉巴拉,巴拉巴拉线下,婴童,针织,针织大类,2022-08,0,0
78,3000333,巴拉巴拉,巴拉巴拉线下,婴童,针织,针织大类,2022-09,0,0
78,3000333,巴拉巴拉,巴拉巴拉线下,婴童,针织,针织大类,2022-10,0,0
78,3000333,巴拉巴拉,巴拉巴拉线下,婴童,针织,针织大类,2022-11,3,5
78,3000333,巴拉巴拉,巴拉巴拉线下,婴童,针织,针织大类,2022-12,6,9
78,3000333,巴拉巴拉,巴拉巴拉线下,婴童,针织,针织大类,2023-01,18,28
78,3000333,巴拉巴拉,巴拉巴拉线下,婴童,针织,针织大类,2023-02,41,62
78,3000333,巴拉巴拉,巴拉巴拉线下,婴童,针织,针织大类,2023-03,0,0
78,3000333,巴拉巴拉,巴拉巴拉线下,婴童,针织,针织大类,2023-04,0,0
78,3000333,巴拉巴拉,巴拉巴拉线下,婴童,针织,针织大类,2023-05,0,0
134,3000333,巴拉巴拉,巴拉巴拉线下,非婴童,针织,针织大类,2022-07,0,0
134,3000333,巴拉巴拉,巴拉巴拉线下,非婴童,针织,针织大类,2022-08,0,0
134,3000333,巴拉巴拉,巴拉巴拉线下,非婴童,针织,针织大类,2022-09,0,0
134,3000333,巴拉巴拉,巴拉巴拉线下,非婴童,针织,针织大类,2022-10,0,0
134,3000333,巴拉巴拉,巴拉巴拉线下,非婴童,针织,针织大类,2022-11,111,166
134,3000333,巴拉巴拉,巴拉巴拉线下,非婴童,针织,针织大类,2022-12,120,180
134,3000333,巴拉巴拉,巴拉巴拉线下,非婴童,针织,针织大类,2023-01,46,69
134,3000333,巴拉巴拉,巴拉巴拉线下,非婴童,针织,针织大类,2023-02,188,283
134,3000333,巴拉巴拉,巴拉巴拉线下,非婴童,针织,针织大类,2023-03,123,184
134,3000333,巴拉巴拉,巴拉巴拉线下,非婴童,针织,针织大类,2023-04,0,0
134,3000333,巴拉巴拉,巴拉巴拉线下,非婴童,针织,针织大类,2023-05,0,0
5,3000627,巴拉巴拉,巴拉巴拉线上,婴童,针织,针织大类,2022-07,0,0
5,3000627,巴拉巴拉,巴拉巴拉线上,婴童,针织,针织大类,2022-08,0,0
