item_id,brand,channel,fabric_category,age_group,item_capacity_group,share_level
201123105202,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,2
201123105013,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,1
202123105111,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,2
208123106101,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织外套,3
200123105003,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织外套,1
202123102002,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,2
202123111012,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,2
208123104002,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织外套,3
201123112005,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,1
208123106001,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织外套,1
200123101003,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织外套,1
201123105003,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,3
202123106001,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,2
201123111008,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,1
200123105001,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织外套,3
208123111002,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裙子,1
200123101004,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织外套,3
201123106103,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,1
201123105118,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,1
200123106002,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织外套,3
208123111001,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裙子,2
208123105002,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织外套,1
202123105011,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,3
201123106001,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,3
202123105113,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,1
200123105004,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织外套,3
202123105003,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,3
201123105105,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,2
201123112003,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,1
201123111005,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,1
200123105105,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织外套,3
200123101104,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织外套,2
201123102003,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,3
202123105102,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,2
202123105001,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,3
208123108205,巴拉巴拉,巴拉巴拉线上,梭织,婴童,梭织裤子,3
201123106101,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,1
208123106202,巴拉巴拉,巴拉巴拉线上,梭织,婴童,梭织外套,3
200123108103,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裤子,3
208123108108,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裤子,3
