order_id,item_id,fabric_category,max_production_limit,arrival_date,due_date,capacity_needed
1575328893408178181,200123102101,梭织,1,2022-08-01,2023-11-23,3
1575328893408178183,200123102101,梭织,1,2022-08-01,2023-11-30,9
1575328893408178184,200123102101,梭织,1,2022-08-01,2023-11-23,1
1575328893416566798,208123106202,梭织,1,2022-08-01,2023-09-16,6
1575328893416566799,208123106202,梭织,1,2022-08-01,2023-10-01,6
1575328893424955399,208123105001,梭织,1,2022-08-01,2023-09-22,14
1575328893424955400,208123105001,梭织,1,2022-08-01,2023-10-29,7
1575328893433344003,208123105001,梭织,1,2022-08-01,2023-10-29,4
1575328893433344004,208123105001,梭织,1,2022-08-01,2023-11-02,11
1575328893433344005,208123107201,梭织,2,2022-08-01,2023-09-22,20
1575328893433344006,208123107201,梭织,2,2022-08-01,2023-10-29,23
1575328893433344007,208123107201,梭织,1,2022-08-01,2023-11-02,12
1575328893433344008,208123107201,梭织,1,2022-08-01,2023-11-02,12
1575328893471092739,200123105101,梭织,1,2022-08-01,2023-11-23,3
1575328893492064257,200123102101,梭织,1,2022-08-01,2023-11-23,1
1575328893496258562,201123105006,梭织,1,2022-08-01,2023-10-26,8
1575328893496258563,201123105006,梭织,1,2022-08-01,2023-10-26,1
1575328893500452869,200123105101,梭织,1,2022-08-01,2023-11-30,7
1575328893500452875,202123105114,梭织,1,2022-08-01,2023-11-23,5
1575328893500452876,200123105101,梭织,1,2022-08-01,2023-11-23,1
1575328893500452877,200123105101,梭织,1,2022-08-01,2023-11-23,1
1575328893508841482,202123105017,梭织,1,2022-08-01,2023-10-26,4
1575328893513035789,200123105103,梭织,1,2022-08-01,2023-11-23,5
1575328893525618695,201123102003,梭织,1,2022-08-01,2023-11-23,4
1575328893525618696,201123102003,梭织,1,2022-08-01,2023-11-30,10
1575328893525618697,201123102003,梭织,1,2022-08-01,2023-11-23,1
1575328893525618705,202123105103,梭织,1,2022-08-01,2023-10-26,19
1575328893525618706,202123105103,梭织,1,2022-08-01,2023-11-09,13
1575328893529812999,202123108103,梭织,1,2022-08-01,2023-10-26,49
1575328893529813000,202123108103,梭织,1,2022-08-01,2023-11-02,25
1575328893529813001,202123108103,梭织,1,2022-08-01,2023-11-09,49
1575328893529813002,202123108103,梭织,1,2022-08-01,2023-10-26,1
1575328893546590236,201123102101,梭织,1,2022-08-01,2023-11-23,8
1575328893550784528,201123102101,梭织,1,2022-08-01,2023-11-30,20
1575328893550784529,201123102101,梭织,1,2022-08-01,2023-11-23,1
1575328893550784530,201123102101,梭织,1,2022-08-01,2023-11-23,1
1575328893584338958,202123105111,梭织,1,2022-08-01,2023-11-23,6
1575328893584338959,202123105111,梭织,1,2022-08-01,2023-11-23,1
1575328893584338960,202123105111,梭织,1,2022-08-01,2023-11-23,1
1575328893588533261,201123105109,梭织,1,2022-08-01,2023-10-26,10
1575328893588533262,201123105109,梭织,1,2022-08-01,2023-11-09,7
1575328893588533263,201123105109,梭织,1,2022-08-01,2023-10-26,1
