item_id,brand,channel,fabric_category,age_group,item_capacity_group
208123103005,巴拉巴拉,巴拉巴拉线上,毛织,非婴童,毛织大类
208123111008,巴拉巴拉,巴拉巴拉线上,毛织,婴童,毛织大类
201123103006,巴拉巴拉,巴拉巴拉线下,毛织,非婴童,毛织大类
208123103206,巴拉巴拉,巴拉巴拉线上,毛织,婴童,毛织大类
200123103001,巴拉巴拉,巴拉巴拉线下,毛织,婴童,毛织大类
200123103105,巴拉巴拉,巴拉巴拉线下,毛织,婴童,毛织大类
208123111005,巴拉巴拉,巴拉巴拉线上,毛织,非婴童,毛织大类
208123111010,巴拉巴拉,巴拉巴拉线上,毛织,婴童,毛织大类
202123103005,巴拉巴拉,巴拉巴拉线下,毛织,非婴童,毛织大类
201123103101,巴拉巴拉,巴拉巴拉线下,毛织,非婴童,毛织大类
208123103201,巴拉巴拉,巴拉巴拉线上,毛织,非婴童,毛织大类
208123103002,巴拉巴拉,巴拉巴拉线上,毛织,非婴童,毛织大类
201123101002,巴拉巴拉,巴拉巴拉线下,毛织,非婴童,毛织大类
202123111009,巴拉巴拉,巴拉巴拉线下,毛织,非婴童,毛织大类
202123103104,巴拉巴拉,巴拉巴拉线下,毛织,非婴童,毛织大类
201123103007,巴拉巴拉,巴拉巴拉线下,毛织,非婴童,毛织大类
200123101101,巴拉巴拉,巴拉巴拉线下,毛织,婴童,毛织大类
201123103105,巴拉巴拉,巴拉巴拉线下,毛织,非婴童,毛织大类
200123101001,巴拉巴拉,巴拉巴拉线下,毛织,婴童,毛织大类
200123103006,巴拉巴拉,巴拉巴拉线下,毛织,婴童,毛织大类
208123103202,巴拉巴拉,巴拉巴拉线上,毛织,非婴童,毛织大类
200123104001,巴拉巴拉,巴拉巴拉线下,毛织,婴童,毛织大类
208123111007,巴拉巴拉,巴拉巴拉线上,毛织,非婴童,毛织大类
200123103102,巴拉巴拉,巴拉巴拉线下,毛织,婴童,毛织大类
208123104001,巴拉巴拉,巴拉巴拉线上,毛织,非婴童,毛织大类
208123103008,巴拉巴拉,巴拉巴拉线上,毛织,婴童,毛织大类
202123111007,巴拉巴拉,巴拉巴拉线下,毛织,非婴童,毛织大类
208123103009,巴拉巴拉,巴拉巴拉线上,毛织,非婴童,毛织大类
201123104008,巴拉巴拉,巴拉巴拉线下,毛织,非婴童,毛织大类
202123103004,巴拉巴拉,巴拉巴拉线下,毛织,非婴童,毛织大类
208123111013,巴拉巴拉,巴拉巴拉线上,毛织,非婴童,毛织大类
202123111008,巴拉巴拉,巴拉巴拉线下,毛织,非婴童,毛织大类
208123111004,巴拉巴拉,巴拉巴拉线上,毛织,非婴童,毛织大类
208123101202,巴拉巴拉,巴拉巴拉线上,毛织,婴童,毛织大类
200123101002,巴拉巴拉,巴拉巴拉线下,毛织,婴童,毛织大类
202123103103,巴拉巴拉,巴拉巴拉线下,毛织,非婴童,毛织大类
201123112001,巴拉巴拉,巴拉巴拉线下,毛织,非婴童,毛织大类
208123103006,巴拉巴拉,巴拉巴拉线上,毛织,非婴童,毛织大类
201123103008,巴拉巴拉,巴拉巴拉线下,毛织,非婴童,毛织大类
201123103011,巴拉巴拉,巴拉巴拉线下,毛织,非婴童,毛织大类
