order_id,item_id,fabric_category,max_production_limit,arrival_date,due_date,capacity_needed
1575328893420761091,208123103002,毛织,1,2022-08-01,2023-09-22,5
1575328893420761092,208123103002,毛织,1,2022-08-01,2023-10-04,5
1575328893424955405,208123103202,毛织,1,2022-08-01,2023-09-12,35
1575328893424955406,208123103202,毛织,1,2022-08-01,2023-10-03,25
1575328893424955407,208123103202,毛织,1,2022-08-01,2023-10-03,10
1575328893429149698,208123111005,毛织,1,2022-08-01,2023-09-23,15
1575328893429149699,208123111005,毛织,1,2022-08-01,2023-10-01,20
1575328893429149700,208123111005,毛织,1,2022-08-01,2023-10-29,15
1575328893429149701,208123103001,毛织,1,2022-08-01,2023-09-22,25
1575328893429149702,208123103001,毛织,1,2022-08-01,2023-10-05,25
1575328893429149705,208123103003,毛织,1,2022-08-01,2023-09-22,18
1575328893429149715,208123103005,毛织,1,2022-08-01,2023-11-07,10
1575328893429149716,208123103005,毛织,1,2022-08-01,2023-11-28,10
1575328893429149723,208123103204,毛织,1,2022-08-01,2023-09-12,23
1575328893429149724,208123103204,毛织,1,2022-08-01,2023-09-30,14
1575328893429149725,208123103204,毛织,1,2022-08-01,2023-09-30,10
1575328899678662658,201123103102,毛织,1,2022-08-01,2023-10-26,22
1575328899678662659,201123103102,毛织,1,2022-08-01,2023-11-09,15
1575328899678662660,201123103102,毛织,1,2022-08-01,2023-10-26,1
1575328899678662670,201123103106,毛织,1,2022-08-01,2023-09-28,8
1575328899678662671,201123103106,毛织,1,2022-08-01,2023-10-12,19
1575328899678662672,201123103106,毛织,1,2022-08-01,2023-09-28,1
1575328899678662673,201123103106,毛织,1,2022-08-01,2023-09-28,1
1575328899687051274,202123103001,毛织,1,2022-08-01,2023-10-26,30
1575328899687051275,202123103001,毛织,1,2022-08-01,2023-11-09,20
1575328899687051276,202123103001,毛织,1,2022-08-01,2023-10-26,1
1575328899687051277,202123103001,毛织,1,2022-08-01,2023-10-26,1
1575328899695439884,202123103005,毛织,1,2022-08-01,2023-10-26,18
1575328899695439886,202123103005,毛织,1,2022-08-01,2023-11-09,12
1575328899695439887,202123103005,毛织,1,2022-08-01,2023-10-26,1
1575328899695439888,202123103005,毛织,1,2022-08-01,2023-10-26,1
1575328899695439889,202123103007,毛织,1,2022-08-01,2023-11-23,21
1575328899695439890,202123103008,毛织,1,2022-08-01,2023-11-23,13
1575328899695439891,202123103008,毛织,1,2022-08-01,2023-11-23,1
1575328899695439897,202123103101,毛织,3,2022-08-01,2023-10-26,31
1575328899695439898,202123103101,毛织,1,2022-08-01,2023-11-02,11
1575328899695439899,202123103101,毛织,1,2022-08-01,2023-11-09,21
1575328899695439900,202123103101,毛织,1,2022-08-01,2023-10-26,1
1575328899695439901,202123103101,毛织,1,2022-08-01,2023-10-26,1
1575328899695439902,202123103102,毛织,1,2022-08-01,2023-10-26,38
1575328899695439903,202123103102,毛织,1,2022-08-01,2023-11-02,13
1575328899695439904,202123103102,毛织,1,2022-08-01,2023-11-09,34
1575328899695439907,200123103001,毛织,1,2022-08-01,2023-10-26,11
1575328899699634183,202123104001,毛织,3,2022-08-01,2023-10-26,58
1575328899699634184,202123104001,毛织,1,2022-08-01,2023-11-02,23
1575328899699634185,202123104001,毛织,1,2022-08-01,2023-11-09,45
1575328899699634187,200123103001,毛织,1,2022-08-01,2023-11-09,8
1575328899699634188,202123104001,毛织,1,2022-08-01,2023-10-26,1
1575328899703828482,202123111010,毛织,2,2022-08-01,2023-10-26,58
1575328899703828483,202123111010,毛织,1,2022-08-01,2023-11-02,19
1575328899703828484,200123103001,毛织,1,2022-08-01,2023-10-26,1
1575328899703828485,202123111010,毛织,1,2022-08-01,2023-11-09,37
1575328899703828486,202123111010,毛织,1,2022-08-01,2023-10-26,1
1575328899703828487,202123111010,毛织,1,2022-08-01,2023-10-26,1
1575328899703828492,200123103004,毛织,1,2022-08-01,2023-11-23,18
1575328899703828493,200123103004,毛织,1,2022-08-01,2023-11-30,23
1575328899703828494,200123103004,毛织,1,2022-08-01,2023-11-23,1
1575328899703828495,200123103004,毛织,1,2022-08-01,2023-11-23,1
1575328899708022795,200123103008,毛织,1,2022-08-01,2023-11-23,12
1575328899708022796,200123103008,毛织,1,2022-08-01,2023-11-30,24
1575328899712217089,200123103008,毛织,1,2022-08-01,2023-11-23,1
1575328899712217094,200123103102,毛织,1,2022-08-01,2023-11-23,15
1575328899712217095,200123103102,毛织,1,2022-08-01,2023-11-30,24
1575328899712217096,200123103102,毛织,1,2022-08-01,2023-11-23,1
1575328899712217101,200123103104,毛织,1,2022-08-01,2023-10-26,30
1575328899712217102,200123103104,毛织,1,2022-08-01,2023-11-09,20
1575328899712217103,200123103104,毛织,1,2022-08-01,2023-10-26,1
1575328899728994305,201123103007,毛织,1,2022-08-01,2023-11-23,7
1575328899728994306,201123103007,毛织,1,2022-08-01,2023-12-15,26
1575328899728994307,201123103007,毛织,1,2022-08-01,2023-11-23,1
1575328899728994308,201123103007,毛织,1,2022-08-01,2023-11-23,1
1575328899733188616,201123103006,毛织,1,2022-08-01,2023-11-23,6
1575328899733188617,201123103006,毛织,1,2022-08-01,2023-11-30,19
1575328899733188618,201123103006,毛织,1,2022-08-01,2023-11-23,1
1575328899766743054,208123103009,毛织,1,2022-08-01,2023-11-18,5
1575328899766743055,208123103009,毛织,1,2022-08-01,2023-12-16,5
1580387529922768899,208123101201,毛织,1,2022-08-01,2023-09-23,7
1580387529922768900,208123101201,毛织,1,2022-08-01,2023-10-04,7
1580387529922768904,208123111004,毛织,1,2022-08-01,2023-09-12,45
1580387529922768905,208123111004,毛织,1,2022-08-01,2023-09-29,34
1580387529922768906,208123111004,毛织,1,2022-08-01,2023-09-29,22
1580387529922768907,208123103203,毛织,1,2022-08-01,2023-09-22,8
1580387529922768908,208123103203,毛织,1,2022-08-01,2023-10-01,8
1580387529931157508,200123101101,毛织,1,2022-08-01,2023-11-30,24
1580387529931157509,200123101101,毛织,1,2022-08-01,2023-11-23,1
1580387529931157524,201123103103,毛织,1,2022-08-01,2023-11-23,16
1580387529935351809,201123103103,毛织,3,2022-08-01,2023-11-30,42
1580387529939546114,201123103103,毛织,1,2022-08-01,2023-11-23,1
1580387529939546122,202123103002,毛织,1,2022-08-01,2023-11-23,22
1580387529943740418,202123103002,毛织,1,2022-08-01,2023-11-30,45
1580387529943740419,202123103002,毛织,1,2022-08-01,2023-11-23,1
1580387529943740429,202123103103,毛织,1,2022-08-01,2023-11-23,15
1580387529943740430,202123103103,毛织,3,2022-08-01,2023-11-30,39
1580387529943740431,202123103103,毛织,1,2022-08-01,2023-11-23,1
1580387529943740432,202123103104,毛织,1,2022-08-01,2023-11-23,8
1580387529943740433,202123103104,毛织,1,2022-08-01,2023-11-30,22
1580387529943740434,202123103104,毛织,1,2022-08-01,2023-11-23,1
1580387529943740435,202123103105,毛织,1,2022-08-01,2023-11-23,9
1580387529943740436,202123103105,毛织,1,2022-08-01,2023-11-30,30
1580387529943740437,202123103105,毛织,1,2022-08-01,2023-11-23,1
1580387529943740438,202123111009,毛织,1,2022-08-01,2023-11-23,22
1580387529943740439,202123111009,毛织,1,2022-08-01,2023-11-23,1
1580387529947934722,202123122001,毛织,1,2022-08-01,2023-11-23,15
1580387529947934723,202123122001,毛织,2,2022-08-01,2023-11-30,35
1580387529947934728,200123103103,毛织,1,2022-08-01,2023-11-23,7
1580387529947934729,200123103103,毛织,1,2022-08-01,2023-12-15,23
1580387529947934731,200123103103,毛织,1,2022-08-01,2023-11-23,1
1580387529947934732,200123103106,毛织,1,2022-08-01,2023-11-23,8
1580387529947934733,200123103106,毛织,1,2022-08-01,2023-11-30,26
1580387529947934734,200123103106,毛织,1,2022-08-01,2023-11-23,1
1580387529947934735,200123103106,毛织,1,2022-08-01,2023-11-23,1
1580387529947934742,200123101101,毛织,1,2022-08-01,2023-11-23,13
1580387529947934746,201123122001,毛织,1,2022-08-01,2023-11-23,8
1580387529947934747,201123122001,毛织,1,2022-08-01,2023-11-30,22
1580387529947934748,201123122001,毛织,1,2022-08-01,2023-11-23,1
1580387529947934749,201123122001,毛织,1,2022-08-01,2023-11-23,1
1580387529952129037,208123103205,毛织,1,2022-08-01,2023-11-04,5
1580387529952129038,208123103205,毛织,1,2022-08-01,2023-12-02,8
1580387529952129039,208123103205,毛织,1,2022-08-01,2023-12-19,8
1580387529952129040,208123103205,毛织,1,2022-08-01,2023-12-24,5
