item_id,brand,channel,fabric_category,age_group,item_capacity_group,share_level
C50579769,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,2
C44912852,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,2
C46295653,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,2
C44829335,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,1
C49664797,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,3
C44729600,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子,3
C44746098,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织婴童,2
C46810728,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子,3
C44746088,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织外套,2
C44729275,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,3
C45133818,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裙子,3
C49288745,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,3
C44723573,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子,1
C44746404,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裤子,1
C45056062,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裙子,3
C44897259,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子,3
C44876894,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裙子,2
C44829332,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,1
C44729710,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子,3
C44829350,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,2
C49362252,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,1
C49409373,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裤子,3
C45048169,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子,1
C44698774,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,2
C44923613,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裙子,2
C44829333,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,1
C44829348,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,3
C44726005,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子,3
C45763719,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裙子,2
C49288746,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,2
