order_id,item_id,fabric_category,max_production_limit,arrival_date,due_date,capacity_needed
1585937125159792651,C45763719,梭织,2,2022-11-29,2023-02-14,15
1585937125159792652,C45763719,梭织,2,2022-11-29,2023-02-21,15
1585937125159792653,C45763719,梭织,2,2022-11-29,2023-02-28,8
1585937125281427483,C44876894,梭织,2,2022-11-14,2023-03-02,6
1585937125281427484,C44876894,梭织,2,2022-11-14,2023-03-20,8
1585937125294010381,C44829333,梭织,1,2022-11-26,2022-12-20,2
1585937125314981914,C44723573,梭织,2,2022-10-05,2023-03-02,26
1585937125314981915,C44723573,梭织,2,2022-10-05,2023-03-20,35
1585937125314981916,C44723573,梭织,2,2022-10-05,2023-04-06,26
1585937125319176208,C44726005,梭织,2,2022-11-08,2023-02-14,21
1585937125319176209,C44726005,梭织,2,2022-11-08,2023-02-23,21
1585937125319176210,C44726005,梭织,2,2022-11-08,2023-03-02,21
1585937125319176211,C44726005,梭织,2,2022-11-08,2023-03-09,7
1585937125331759105,C44729275,梭织,1,2022-11-14,2022-12-20,4
1585937125331759106,C44729275,梭织,1,2022-11-14,2023-02-07,15
1585937125331759126,C44729600,梭织,2,2022-11-08,2023-02-14,7
1585937125331759127,C44729600,梭织,2,2022-11-08,2023-02-23,10
1585937125331759128,C44729600,梭织,2,2022-11-08,2023-03-02,7
1585937125331759137,C44729710,梭织,1,2022-11-14,2023-02-14,2
1585937137545572356,C44746088,梭织,1,2022-11-19,2022-12-20,3
1585937137545572357,C44746088,梭织,1,2022-11-19,2023-02-07,9
1585937137545572373,C44746098,梭织,1,2022-11-19,2022-12-20,2
1585937137545572374,C44746098,梭织,1,2022-11-19,2023-02-07,5
1585937137549766657,C44746404,梭织,1,2022-11-14,2023-04-07,1
1585937137549766658,C44746404,梭织,1,2022-11-14,2023-02-14,2
1585937137562349580,C44829335,梭织,1,2022-11-26,2022-12-20,3
1585937137562349582,C44829332,梭织,1,2022-11-26,2022-12-20,2
1585937137562349594,C44829348,梭织,1,2022-11-26,2022-12-20,1
1585937137562349595,C44829350,梭织,1,2022-11-26,2022-12-20,1
1585937137566543875,C44897259,梭织,2,2022-11-25,2022-12-20,6
1585937137566543876,C44897259,梭织,2,2022-11-25,2023-02-07,12
1585937137566543877,C44897259,梭织,2,2022-11-25,2023-02-14,6
1585937137566543878,C44897259,梭织,2,2022-11-25,2023-02-28,6
1585937137566543880,C44912852,梭织,2,2022-11-14,2022-12-20,7
1585937137566543881,C44912852,梭织,2,2022-11-14,2023-02-07,14
1585937137566543882,C44912852,梭织,2,2022-11-14,2023-02-14,7
1585937137566543883,C44912852,梭织,2,2022-11-14,2023-02-28,7
1585937137574932495,C45056062,梭织,1,2022-11-08,2022-12-20,6
1585937137579126793,C45133818,梭织,2,2022-11-14,2023-02-14,12
1585937137579126794,C45133818,梭织,2,2022-11-14,2023-02-23,15
1585937137579126795,C45133818,梭织,2,2022-11-14,2023-03-02,12
1585937137587515402,C46295653,梭织,1,2022-11-14,2022-12-20,2
1585937137587515403,C46295653,梭织,1,2022-11-14,2023-02-07,5
1585937137600098326,C46810728,梭织,2,2022-11-08,2022-12-20,18
1585937137600098327,C46810728,梭织,2,2022-11-08,2023-02-07,35
1585937137600098328,C46810728,梭织,2,2022-11-08,2023-02-14,18
1585937137604292610,C46810728,梭织,2,2022-11-08,2023-02-28,18
1585937137604292621,C44698774,梭织,1,2022-11-26,2023-02-14,6
1585937137616875543,C49409373,梭织,1,2022-11-08,2023-02-14,3
1585937137616875544,C49409373,梭织,1,2022-11-08,2023-02-23,4
1585937137616875545,C49409373,梭织,1,2022-11-08,2023-03-02,3
1585937137625264153,C49362252,梭织,1,2022-11-14,2023-02-14,7
1585937137625264154,C49362252,梭织,1,2022-11-14,2023-02-23,10
1585937137625264157,C45048169,梭织,1,2022-11-25,2022-12-20,8
1585937137625264158,C45048169,梭织,1,2022-11-25,2023-02-07,15
1585937137625264159,C45048169,梭织,1,2022-11-25,2023-02-14,8
1585937137625264160,C45048169,梭织,1,2022-11-25,2023-02-28,8
1585937137646235652,C49288746,梭织,1,2022-10-27,2022-12-20,6
1585937137646235653,C49288745,梭织,2,2022-11-08,2022-12-20,8
1585937137646235654,C49288745,梭织,2,2022-11-08,2023-02-07,16
1585937137646235655,C49288745,梭织,2,2022-11-08,2023-02-14,8
1585937137646235656,C49288745,梭织,2,2022-11-08,2023-02-28,8
1585937137646235659,C49664797,梭织,2,2022-10-27,2022-12-20,15
1585937137646235660,C49664797,梭织,2,2022-10-27,2023-02-07,10
1585937137650429959,C44923613,梭织,1,2022-11-14,2022-12-20,7
1585937137650429969,C50579769,梭织,2,2022-11-14,2022-12-20,20
