item_id,brand,channel,fabric_category,age_group,item_capacity_group,share_level
200123104108,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,3
208123100203,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类,1
201123121002,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
208123100205,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,3
202123108201,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
202123121101,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
201123105201,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
200123111012,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,3
202123121109,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
208123121202,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,3
201123108012,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
202123121007,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
200123133203,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,2
200123108106,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,1
200123134203,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,1
200123100106,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,3
202123121204,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
208123124201,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类,1
202123121201,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
208123100103,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,1
208123104101,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,3
208123108208,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,3
200123105108,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,2
202123108006,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
208123104004,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,1
201123108201,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
208123133202,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类,2
202123121203,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
201123121201,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
201123121203,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
200123100002,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,3
201123100009,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
208123100204,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类,1
202123108007,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
201123123009,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
200123108114,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,2
200123123003,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,2
200123131203,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,2
208123100208,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,2
208123121001,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,3
