item_id,brand,channel,fabric_category,age_group,item_capacity_group
200123108113,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
208123108201,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
201123121201,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
201123100001,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
200123133205,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
208123108001,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类
200123100009,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
202123104102,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
200123131204,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
208123120101,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类
200123123004,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
200123133204,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
202123121205,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
208123120205,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类
208123104004,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
201123108009,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
208123120201,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类
208123100005,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
208123120204,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类
202123100002,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
200123134202,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
202123121103,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
201123123006,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
208123100204,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类
200123100004,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
202123108002,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
202123100001,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
208123100105,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
208123100004,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
208123121201,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
