order_id,item_id,fabric_category,max_production_limit,arrival_date,due_date,capacity_needed
1575328893399789581,208123121201,针织,1,2022-08-01,2023-09-23,3
1575328893408178193,208123121202,针织,1,2022-08-01,2023-09-21,4
1575328893408178194,208123121202,针织,1,2022-08-01,2023-10-08,7
1575328893416566791,208123121102,针织,1,2022-08-01,2023-09-23,2
1575328893416566803,208123121201,针织,1,2022-08-01,2023-09-23,3
1575328893416566806,208123121202,针织,1,2022-08-01,2023-09-21,4
1575328893416566807,208123121202,针织,1,2022-08-01,2023-10-08,7
1575328893433344010,201123121106,针织,1,2022-08-01,2023-12-05,14
1575328893433344011,201123121106,针织,1,2022-08-01,2023-12-12,5
1575328893433344012,201123121106,针织,1,2022-08-01,2023-11-28,1
1575328893487869965,201123123005,针织,1,2022-08-01,2023-10-31,6
1575328893487869966,201123123005,针织,1,2022-08-01,2023-11-07,3
1575328893487869967,201123123005,针织,1,2022-08-01,2023-11-14,6
1575328893487869968,201123123005,针织,1,2022-08-01,2023-10-31,1
1575328893487869969,201123123005,针织,1,2022-08-01,2023-10-31,1
1575328893487869980,202123108117,针织,1,2022-08-01,2023-11-28,22
1575328893487869981,202123108117,针织,1,2022-08-01,2023-12-05,31
1575328893487869982,202123108117,针织,1,2022-08-01,2023-12-12,10
1575328893487869983,202123108117,针织,1,2022-08-01,2023-11-28,1
1575328893513035791,201123121106,针织,1,2022-08-01,2023-11-28,1
1575328893517230090,202123121205,针织,1,2022-08-01,2023-11-28,3
1575328893517230091,202123121205,针织,1,2022-08-01,2023-12-05,6
1575328893517230092,202123121205,针织,1,2022-08-01,2023-11-28,1
1575328893521424390,201123121106,针织,1,2022-08-01,2023-11-28,13
1575328893546590212,202123121203,针织,1,2022-08-01,2023-10-31,2
1575328893546590214,202123121203,针织,1,2022-08-01,2023-11-28,20
1575328893546590215,202123121203,针织,1,2022-08-01,2023-12-05,30
1575328893546590216,202123121203,针织,1,2022-08-01,2023-12-12,7
1575328893546590227,202123121203,针织,1,2022-08-01,2023-11-28,1
1575328893546590228,202123121203,针织,1,2022-08-01,2023-11-28,1
1575328893550784544,202123100101,针织,1,2022-08-01,2023-11-28,2
1575328893550784545,202123100101,针织,1,2022-08-01,2023-12-20,6
1575328893559173122,202123100101,针织,1,2022-08-01,2023-11-28,1
1575328893567561737,202123121002,针织,1,2022-08-01,2023-10-31,9
1575328893567561738,202123121002,针织,1,2022-08-01,2023-11-14,6
1575328893567561753,202123121109,针织,1,2022-08-01,2023-10-31,6
1575328893567561754,202123121109,针织,1,2022-08-01,2023-11-07,3
1575328893567561755,202123121109,针织,1,2022-08-01,2023-11-14,6
1575328893567561756,202123121109,针织,1,2022-08-01,2023-10-31,1
1575328899615748111,202123100003,针织,1,2022-08-01,2023-11-28,4
1575328899615748112,202123100003,针织,1,2022-08-01,2023-12-05,10
1575328899615748113,202123100003,针织,1,2022-08-01,2023-11-28,1
