order_id,item_id,fabric_category,max_production_limit,arrival_date,due_date,capacity_needed
1585937125151404041,C45975495,针织,3,2022-11-17,2023-01-06,15
1585937125151404042,C45975495,针织,3,2022-11-17,2023-02-11,10
1585937125151404043,C45975495,针织,3,2022-11-17,2023-02-18,43
1585937125151404044,C45975495,针织,3,2022-11-17,2023-02-25,29
1585937125151404045,C45262944,针织,2,2023-02-04,2023-03-11,40
1585937125155598338,C45262944,针织,2,2022-11-17,2023-01-06,10
1585937125155598339,C45262944,针织,2,2022-11-17,2023-02-11,15
1585937125155598340,C45262944,针织,2,2022-11-17,2023-02-18,15
1585937125155598341,C45262944,针织,2,2022-11-17,2023-02-25,10
1585937125168181252,C46305998,针织,1,2022-11-17,2023-01-06,4
1585937125168181253,C46305998,针织,1,2022-11-17,2023-02-11,6
1585937125168181254,C46305998,针织,1,2022-11-17,2023-02-18,6
1585937125168181255,C46305998,针织,1,2022-11-17,2023-02-25,4
1585937125180764163,C45460451,针织,2,2022-11-17,2023-02-11,7
1585937125180764164,C45460451,针织,2,2022-11-17,2023-02-18,7
1585937125180764165,C45460451,针织,2,2022-11-17,2023-02-25,4
1585937125180764170,C45496371,针织,2,2023-02-25,2023-03-22,8
1585937125180764171,C45496371,针织,2,2022-11-17,2023-02-11,12
1585937125184958465,C45496371,针织,2,2022-11-17,2023-02-18,18
1585937125184958466,C45496371,针织,2,2022-11-17,2023-02-25,18
1585937125184958467,C45496371,针织,2,2022-11-17,2023-03-04,12
1585937125218512900,C45730321,针织,1,2022-11-17,2023-01-06,14
1585937125218512901,C45730321,针织,1,2022-11-17,2023-02-11,14
1585937125218512902,C45730321,针织,1,2022-11-17,2023-02-18,7
1585937125218512909,C45966874,针织,2,2022-11-17,2023-01-06,15
1585937125218512910,C45966874,针织,2,2022-11-17,2023-02-11,22
1585937125218512911,C45966874,针织,2,2022-11-17,2023-02-18,22
1585937125218512912,C45966874,针织,2,2022-11-17,2023-02-25,15
1585937125231095828,C47368841,针织,1,2022-11-17,2023-02-18,3
1585937125231095829,C47368841,针织,1,2022-11-17,2023-02-25,3
1585937125231095830,C47368841,针织,1,2022-11-17,2023-03-04,2
1585937125235290116,C47368848,针织,1,2023-03-04,2023-04-08,11
1585937125235290117,C47368848,针织,1,2022-11-17,2023-02-11,3
1585937125235290118,C47368848,针织,1,2022-11-17,2023-02-18,4
1585937125235290119,C47368848,针织,1,2022-11-17,2023-02-25,4
1585937125235290120,C47368848,针织,1,2022-11-17,2023-03-04,3
1585937125235290121,C47553195,针织,1,2022-11-17,2023-01-06,13
1585937125235290122,C47553195,针织,1,2022-11-17,2023-02-11,13
1585937125235290123,C47553195,针织,1,2022-11-17,2023-02-18,7
1585937125239484426,C45726080,针织,1,2022-11-17,2023-02-18,7
1585937125239484427,C45726080,针织,1,2022-11-17,2023-02-25,7
1585937125239484428,C45726080,针织,1,2022-11-17,2023-03-04,4
1585937125247873044,C47977244,针织,1,2022-11-17,2023-01-06,3
1585937125247873045,C47977244,针织,1,2022-11-17,2023-02-11,3
1585937125247873046,C47977244,针织,1,2022-11-17,2023-02-18,2
1585937125252067337,C47645309,针织,1,2023-03-01,2023-03-23,2
1585937125252067338,C47645309,针织,1,2022-11-17,2023-01-06,5
1585937125252067339,C47645309,针织,1,2022-11-17,2023-02-11,5
1585937125252067340,C47645309,针织,1,2022-11-17,2023-02-18,3
1585937125256261642,C47592077,针织,1,2022-11-17,2023-01-06,4
1585937125256261643,C47592077,针织,1,2022-11-17,2023-02-11,6
1585937125256261644,C47592077,针织,1,2022-11-17,2023-02-18,6
1585937125256261645,C47592077,针织,1,2022-11-17,2023-02-25,4
1585937125256261646,C45966870,针织,1,2022-11-17,2023-02-18,5
1585937125256261647,C45966870,针织,1,2022-11-17,2023-02-25,8
1585937125256261648,C45966870,针织,1,2022-11-17,2023-03-04,8
1585937125256261649,C45966870,针织,1,2022-11-17,2023-03-11,5
1585937125260455957,C48381161,针织,1,2022-11-17,2023-03-04,4
1585937125260455958,C48381161,针织,1,2022-11-17,2023-03-11,4
1585937125260455959,C48381161,针织,1,2022-11-17,2023-03-18,2
1585937125264650263,C46297887,针织,2,2022-11-17,2023-02-11,8
1585937125264650264,C46297887,针织,2,2022-11-17,2023-02-18,8
1585937125264650265,C46297887,针织,2,2022-11-17,2023-02-25,4
1585937125273038870,C45496365,针织,1,2022-11-17,2023-01-06,8
1585937125273038871,C45496365,针织,1,2022-11-17,2023-02-11,8
1585937125273038872,C45496365,针织,1,2022-11-17,2023-02-18,4
1585937125273038874,C50476862,针织,1,2022-11-17,2023-02-25,5
1585937125273038875,C50476862,针织,1,2022-11-17,2023-03-04,5
1585937125273038876,C50476862,针织,1,2022-11-17,2023-03-11,3
1585937125294010384,C44685172,针织,1,2022-11-25,2022-12-24,3
1585937125298204680,C44729113,针织,1,2022-11-08,2022-12-24,7
1585937125306593284,C44698086,针织,1,2022-11-14,2023-02-18,10
1585937125306593285,C44698086,针织,1,2022-11-14,2023-02-28,10
1585937125306593286,C44698086,针织,1,2022-11-14,2023-03-07,10
1585937125306593287,C44698086,针织,1,2022-11-14,2023-03-14,4
1585937125306593292,C44698071,针织,1,2022-11-14,2022-12-24,22
1585937125306593293,C44698071,针织,1,2022-11-14,2023-02-11,44
1585937125306593294,C44698071,针织,1,2022-11-14,2023-02-18,22
1585937125306593295,C44698071,针织,1,2022-11-14,2023-03-04,22
1585937125323370507,C44729115,针织,1,2022-11-08,2023-04-01,8
1585937125323370508,C44729115,针织,1,2022-11-08,2022-12-24,6
1585937125327564801,C44729115,针织,1,2022-11-08,2023-02-11,12
1585937125327564802,C44729115,针织,1,2022-11-08,2023-02-18,6
1585937125327564803,C44729115,针织,1,2022-11-08,2023-03-04,6
1585937125327564818,C44729120,针织,1,2022-11-15,2022-12-24,13
1585937125327564819,C44729120,针织,1,2022-11-15,2023-02-11,9
1585937125331759119,C44729702,针织,2,2022-11-08,2023-03-07,27
1585937125331759120,C44729702,针织,2,2022-11-08,2023-03-24,36
1585937125331759121,C44729702,针织,2,2022-11-08,2023-04-11,27
1585937137520406550,C44731575,针织,2,2022-11-14,2023-04-01,3
1585937137524600833,C44731575,针织,2,2022-11-14,2022-12-24,8
1585937137524600834,C44731575,针织,2,2022-11-14,2023-02-11,15
1585937137524600835,C44731575,针织,2,2022-11-14,2023-02-18,8
1585937137524600836,C44731575,针织,2,2022-11-14,2023-03-04,8
1585937137600098314,C46329325,针织,1,2022-11-08,2022-12-24,7
1585937137604292645,C49383577,针织,1,2022-11-14,2022-12-24,5
1585937137604292646,C49383577,针织,1,2022-11-14,2023-02-11,10
1585937137608486913,C49383577,针织,1,2022-11-14,2023-02-18,5
1585937137608486914,C49383577,针织,1,2022-11-14,2023-03-04,5
1585937137608486944,C44726007,针织,1,2022-11-08,2023-02-18,4
1585937137608486945,C44726007,针织,1,2022-11-08,2023-02-28,6
1585937137612681221,C44729939,针织,1,2022-11-14,2023-02-18,6
1585937137612681222,C44729939,针织,1,2022-11-14,2023-02-28,8
1585937137612681229,C46810726,针织,1,2022-11-14,2023-02-18,3
1585937137612681230,C46810726,针织,1,2022-11-14,2023-02-28,5
1585937137621069838,C49356028,针织,1,2022-11-14,2023-02-18,2
1585937137625264140,C49330077,针织,1,2022-11-14,2022-12-24,5
1585937137625264141,C49330077,针织,1,2022-11-14,2023-02-11,10
1585937137625264142,C49330077,针织,1,2022-11-14,2023-02-18,5
1585937137625264143,C49330077,针织,1,2022-11-14,2023-03-04,5
1585937137633652743,C49354960,针织,2,2022-10-05,2022-12-24,11
1585937137633652744,C49354960,针织,2,2022-10-05,2023-02-11,21
1585937137633652745,C49354960,针织,2,2022-10-05,2023-02-18,11
1585937137633652746,C49354960,针织,2,2022-10-05,2023-03-04,11
1585937137637847062,C49268685,针织,1,2022-11-14,2022-12-24,10
1585937137637847063,C49268685,针织,1,2022-11-14,2023-02-11,7
1585937137642041365,C47909689,针织,1,2022-11-19,2022-12-24,7
1585937137642041366,C47909689,针织,1,2022-11-19,2023-02-11,13
1585937137642041367,C47909689,针织,1,2022-11-19,2023-02-18,7
1585937137642041368,C47909689,针织,1,2022-11-19,2023-03-04,7
1585937137654624271,C49645104,针织,1,2022-11-15,2022-12-24,1
1585937137654624272,C49645115,针织,2,2022-11-15,2022-12-24,26
1585937137654624273,C49645115,针织,2,2022-11-15,2023-02-11,18
1585937137658818581,C47043358,针织,1,2022-11-15,2023-02-18,2
