item_id,brand,channel,fabric_category,age_group,item_capacity_group,share_level
C47368841,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,1
C46880069,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,3
C45249088,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,1
C47031819,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C46297887,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,1
C49771162,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C44703357,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C46917803,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C47909689,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C45496369,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类,3
C48018501,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C44786127,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,1
C44741038,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,3
C49645103,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C45053742,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C44829346,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C45502007,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类,2
C49359302,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C44859403,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,2
C47553195,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,2
C47610837,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,2
C45460444,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类,3
C44983441,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C44756354,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C44725893,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C47328069,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C46810726,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C47977244,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类,2
C46488940,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,2
C49332208,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,1
C44685168,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,3
C49645115,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C49645104,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C44730630,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C44741041,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,1
C44773818,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C47386358,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,2
C44892141,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,1
C49645111,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C44729128,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
