item_id,brand,channel,fabric_category,age_group,item_capacity_group,share_level
208123105102,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织外套,3
208123106101,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织外套,3
200123108102,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裤子,2
200123102102,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织外套,2
201123105117,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,1
202123105005,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,1
208123111016,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裙子,1
202123102103,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,3
208123105106,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织外套,1
208123105001,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织外套,1
202123105010,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,1
200123108103,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裤子,3
201123105115,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,2
202123108115,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子,2
200123104105,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织外套,1
200123101103,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织外套,3
208123104002,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织外套,3
208123107203,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织外套,1
208123105003,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织外套,2
200123101107,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织外套,1
200123101104,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织外套,2
202123105016,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,3
201123111002,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,1
202123105111,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,2
202123111012,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,2
202123108102,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子,1
208123104007,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织外套,2
200123120006,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织婴童,1
200123108111,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裤子,3
208123107204,巴拉巴拉,巴拉巴拉线上,梭织,婴童,梭织外套,2
201123105011,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,2
202123105006,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,2
208123111006,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裙子,2
201123105108,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,3
203123105101,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,1
201123108114,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子,3
201123105002,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,3
