item_id,brand,channel,fabric_category,age_group,item_capacity_group
208123121003,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
208123101203,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类
201123104102,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
208123108210,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
202123100003,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
202123108002,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
208123104203,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类
201123108011,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
200123156203,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
200123100102,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
201123121007,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
200123120004,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
200123120003,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
201123123006,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
208123100004,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
201123121104,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
208123108203,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类
200123100104,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
200123156202,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
208123100003,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
208123121101,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
200123108114,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
202123121109,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
202123108019,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
208123121001,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
208123108001,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类
201123121004,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
202123121101,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
200123100103,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
200123100002,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
201123105112,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
208123120105,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类
200123108106,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
208123108101,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
202123121203,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
201123100006,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
200123133206,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
202123121107,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
200123100009,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
202123121005,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
200123120109,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
208123121103,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
201123123005,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
200123108201,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
202123121104,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
200123104107,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
202123108106,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
208123120101,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类
