order_id,item_id,fabric_category,max_production_limit,arrival_date,due_date,capacity_needed
1575328893391400967,201123117103,针织,1,2022-08-01,2023-09-12,1
1575328893391400968,201123117103,针织,1,2022-08-01,2023-09-13,1
1575328893391400969,201123117103,针织,1,2022-08-01,2023-09-14,1
1575328893395595267,208123108001,针织,1,2022-08-01,2023-10-03,2
1575328893403983880,208123108001,针织,1,2022-08-01,2023-09-22,2
1575328893408178185,208123121203,针织,1,2022-08-01,2023-09-23,2
1575328893408178186,208123121203,针织,1,2022-08-01,2023-10-08,2
1575328893408178193,208123121202,针织,1,2022-08-01,2023-09-21,4
1575328893408178194,208123121202,针织,1,2022-08-01,2023-10-08,7
1575328893416566791,208123121102,针织,1,2022-08-01,2023-09-23,2
1575328893416566806,208123121202,针织,1,2022-08-01,2023-09-21,4
1575328893416566807,208123121202,针织,1,2022-08-01,2023-10-08,7
1575328893433344009,200123100004,针织,1,2022-08-01,2023-11-28,5
1575328893437538317,200123104108,针织,1,2022-08-01,2023-10-31,6
1575328893437538318,200123100001,针织,1,2022-08-01,2023-10-31,6
1575328893441732613,200123105108,针织,1,2022-08-01,2023-11-28,3
1575328893441732614,200123105108,针织,1,2022-08-01,2023-12-05,7
1575328893441732615,200123105108,针织,1,2022-08-01,2023-11-28,1
1575328893441732616,200123105108,针织,1,2022-08-01,2023-11-28,1
1575328893441732617,200123104108,针织,1,2022-08-01,2023-11-14,4
1575328893441732618,200123104108,针织,1,2022-08-01,2023-10-31,1
1575328893441732626,200123120102,针织,1,2022-08-01,2023-10-31,19
1575328893445926913,200123120102,针织,1,2022-08-01,2023-11-07,6
1575328893445926914,200123120102,针织,1,2022-08-01,2023-11-14,16
1575328893445926915,200123120102,针织,1,2022-08-01,2023-10-31,1
1575328893445926931,200123100003,针织,1,2022-08-01,2023-11-28,3
1575328893450121217,200123100003,针织,1,2022-08-01,2023-12-05,6
1575328893450121218,200123100003,针织,1,2022-08-01,2023-11-28,1
1575328893450121219,200123100003,针织,1,2022-08-01,2023-11-28,1
1575328893471092748,200123108105,针织,1,2022-08-01,2023-10-31,7
1575328893471092749,200123100005,针织,1,2022-08-01,2023-10-31,4
1575328893471092750,200123108105,针织,1,2022-08-01,2023-11-14,4
1575328893471092751,200123108105,针织,1,2022-08-01,2023-10-31,1
1575328893471092752,200123108105,针织,1,2022-08-01,2023-10-31,1
1575328893479481346,200123100005,针织,1,2022-08-01,2023-11-14,3
1575328893479481352,200123120004,针织,1,2022-08-01,2023-10-31,12
1575328893479481353,200123120004,针织,1,2022-08-01,2023-11-14,8
1575328893479481354,200123120004,针织,1,2022-08-01,2023-10-31,1
1575328893479481357,200123100005,针织,1,2022-08-01,2023-10-31,1
1575328893479481368,200123100006,针织,1,2022-08-01,2023-10-31,7
1575328893487869963,200123100006,针织,1,2022-08-01,2023-11-14,5
1575328893487869970,202123105012,针织,2,2022-08-01,2023-11-28,24
1575328893487869971,202123105012,针织,2,2022-08-01,2023-12-05,65
1575328893487869972,202123105012,针织,1,2022-08-01,2023-11-28,1
1575328893487869973,202123105012,针织,1,2022-08-01,2023-11-28,1
