item_id,brand,channel,fabric_category,age_group,item_capacity_group,share_level
C45048170,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子,2
C46869876,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,1
C47031805,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,1
C44773811,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,1
C49664798,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,1
C46579508,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裤子,3
C44829338,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,3
C50579769,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,2
C44773813,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,1
C49362252,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,1
C50261839,巴拉巴拉,巴拉巴拉线上,梭织,婴童,梭织裤子,2
C47668639,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裙子,1
C47498433,巴拉巴拉,巴拉巴拉线上,梭织,婴童,梭织裙子,2
C44812958,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,2
C44697718,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,3
C46491687,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织外套,3
C44698771,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,2
C44772406,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,2
C44922972,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裤子,3
C44730849,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,1
C44829343,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,3
C45127535,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裤子,2
C44746098,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织婴童,2
C44731833,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子,1
C49288745,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,3
C44741723,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裙子,2
C47916596,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子,3
C49288746,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,2
C45970841,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裤子,1
C44829334,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,2
C44685162,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织婴童,1
C46675215,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裤子,1
C44746099,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织婴童,1
C49288748,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,1
C44741715,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裙子,3
C49153184,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子,1
C45056062,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裙子,3
C49109240,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织婴童,2
C44813257,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子,3
C44897259,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子,3
C44731576,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子,1
C44725898,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子,2
C44829333,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,1
C49362012,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裤子,2
C44731566,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,3
C44829331,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,2
C47342209,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,3
C44907564,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,3
C46442046,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裤子,3
C44741046,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织外套,2
C45074314,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,3
C51587484,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,3
C45763724,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裙子,3
C47276064,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裙子,2
C47571533,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织外套,2
C44772052,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,1
C49439448,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,1
C44921318,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裤子,2
C44729289,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,1
C47354229,巴拉巴拉,巴拉巴拉线上,梭织,婴童,梭织婴童,2
C50341094,巴拉巴拉,巴拉巴拉线上,梭织,婴童,梭织裙子,3
C47328080,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子,2
C46810723,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,2
C47902743,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,3
C44758886,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,2
C46357349,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子,3
C49425182,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裤子,3
C45763723,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裙子,3
C44697708,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,1
C50113909,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裤子,1
C50032320,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子,1
C44697714,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,3
C44829342,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子,3
C47328074,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子,3
C44731838,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,1
C46184464,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裙子,1
C44876894,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裙子,2
C44729710,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子,3
C44778516,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子,3
C44730842,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,2
C44829335,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,1
C44730844,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,1
C44697707,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,2
C49331834,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织外套,2
C44723559,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子,3
