item_id,brand,channel,fabric_category,age_group,item_capacity_group
C49645108,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套
C47328074,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子
C45988274,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织外套
C44731576,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子
C44685162,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织婴童
C45763723,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裙子
C49153184,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子
C46317953,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子
C44729600,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子
C49246446,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子
C44731833,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子
C45763724,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裙子
C44829348,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套
C47413675,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织外套
C45970841,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裤子
C44725898,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子
C45048169,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子
C44742531,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裤子
C44729290,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套
C44685163,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织婴童
C44813257,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子
C44829333,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子
C49288745,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子
C44741721,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裙子
C45994117,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裙子
C44697718,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套
C47325915,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裙子
C44730836,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子
C44729701,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子
C46810723,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子
C44829350,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套
C44773811,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套
C47988742,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裙子
C44725889,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子
C44730846,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子
C47498433,巴拉巴拉,巴拉巴拉线上,梭织,婴童,梭织裙子
C49387635,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织婴童
C44729275,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套
C44741042,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裤子
C44772406,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子
C50324451,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子
C47354229,巴拉巴拉,巴拉巴拉线上,梭织,婴童,梭织婴童
C46357349,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子
C49359099,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子
C44730842,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子
C47112420,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子
C49392875,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套
C47328080,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子
C45074314,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套
C45763713,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裙子
C44729934,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子
C44741715,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裙子
C49664798,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套
C46675215,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裤子
C44773813,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子
C47902743,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子
C44730845,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子
C47276064,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裙子
C44730841,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子
C46298262,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织外套
C44729935,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子
C46491686,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织外套
C48610519,巴拉巴拉,巴拉巴拉线上,梭织,婴童,梭织裙子
C46687907,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子
C49109239,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织婴童
C47451546,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裤子
C44685175,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织婴童
C47524159,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套
C44698782,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子
C49365828,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套
C44729593,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子
C51587484,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子
C44730847,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子
C49388371,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织婴童
C47336633,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裙子
C49387633,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裤子
C49109240,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织婴童
C44921318,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裤子
C44907564,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套
C47031805,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套
C49664797,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套
C44746099,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织婴童
C44726008,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子
C44741723,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裙子
C46579508,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裤子
C49268683,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子
C46421494,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子
C44731566,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子
C49288746,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子
C44723573,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子
C44698766,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套
C47342209,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套
C45974320,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织外套
C44746405,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裤子
C46810728,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子
C44697711,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子
C44746088,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织外套
C49425182,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裤子
C46327778,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裙子
C49365632,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裙子
