order_id,item_id,fabric_category,max_production_limit,arrival_date,due_date,capacity_needed
1585937125163986958,C45726079,梭织,1,2023-03-04,2023-03-22,6
1585937125168181249,C45726079,梭织,1,2022-11-29,2023-02-07,7
1585937125168181250,C45726079,梭织,1,2022-11-29,2023-02-14,7
1585937125168181251,C45726079,梭织,1,2022-11-29,2023-02-21,4
1585937125172375557,C45249097,梭织,3,2023-03-04,2023-03-31,41
1585937125172375558,C45249097,梭织,3,2022-11-29,2023-01-02,25
1585937125172375559,C45249097,梭织,3,2022-11-29,2023-02-07,37
1585937125172375560,C45249097,梭织,3,2022-11-29,2023-02-14,37
1585937125172375561,C45249097,梭织,3,2022-11-29,2023-02-21,25
1585937125172375562,C45262942,梭织,1,2023-03-04,2023-03-22,5
1585937125176569857,C45262942,梭织,1,2022-11-29,2023-02-07,5
1585937125176569858,C45262942,梭织,1,2022-11-29,2023-02-14,5
1585937125176569859,C45262942,梭织,1,2022-11-29,2023-02-21,3
1585937125189152785,C45763724,梭织,1,2022-11-29,2023-02-21,4
1585937125189152786,C45974320,梭织,1,2022-11-29,2023-02-14,7
1585937125189152787,C45974320,梭织,1,2022-11-29,2023-02-21,7
1585937125189152788,C45974320,梭织,1,2022-11-29,2023-02-28,4
1585937125193347083,C46442046,梭织,2,2023-03-04,2023-03-28,15
1585937125193347084,C46442046,梭织,2,2022-11-29,2023-02-14,9
1585937125193347085,C46442046,梭织,2,2022-11-29,2023-02-21,13
1585937125193347086,C46442046,梭织,2,2022-11-29,2023-02-28,13
1585937125193347087,C46442046,梭织,2,2022-11-29,2023-03-07,9
1585937125210124302,C45496354,梭织,2,2023-03-04,2023-03-29,5
1585937125214318593,C45496354,梭织,2,2022-11-29,2023-02-14,12
1585937125214318594,C45496354,梭织,2,2022-11-29,2023-02-21,12
1585937125214318595,C45496354,梭织,2,2022-11-29,2023-02-28,6
1585937125222707208,C45988274,梭织,2,2022-11-29,2023-02-07,31
1585937125222707209,C45988274,梭织,2,2022-11-29,2023-02-14,31
1585937125222707210,C45988274,梭织,2,2022-11-29,2023-02-21,16
1585937125222707211,C45994117,梭织,2,2022-11-29,2023-02-14,17
1585937125222707212,C45994117,梭织,2,2022-11-29,2023-02-21,17
1585937125222707213,C45994117,梭织,2,2022-11-29,2023-02-28,9
1585937125222707214,C46163554,梭织,2,2023-03-04,2023-03-31,7
1585937125222707215,C46163554,梭织,2,2022-11-29,2023-01-02,4
1585937125222707216,C46163554,梭织,2,2022-11-29,2023-02-07,6
1585937125222707217,C46163554,梭织,2,2022-11-29,2023-02-14,6
1585937125222707218,C46163554,梭织,2,2022-11-29,2023-02-21,4
1585937125222707224,C47231494,梭织,1,2022-11-29,2023-02-21,4
1585937125226901514,C47354815,梭织,1,2022-11-29,2023-02-14,6
1585937125231095822,C47325915,梭织,2,2022-11-29,2023-02-28,9
1585937125231095823,C47325915,梭织,2,2022-11-29,2023-03-07,9
1585937125231095824,C47325915,梭织,2,2022-11-29,2023-03-14,5
1585937125247873030,C46248035,梭织,1,2022-11-29,2023-02-14,3
1585937125247873031,C46248035,梭织,1,2022-11-29,2023-02-21,3
1585937125247873032,C46248035,梭织,1,2022-11-29,2023-02-28,2
1585937125247873047,C48610519,梭织,1,2023-03-04,2023-03-29,1
1585937125252067329,C48610519,梭织,1,2022-11-29,2023-02-14,5
1585937125252067334,C47251063,梭织,1,2022-11-29,2023-02-21,8
1585937125252067335,C47251063,梭织,1,2022-11-29,2023-02-28,8
1585937125252067336,C47251063,梭织,1,2022-11-29,2023-03-07,4
1585937125252067341,C46579508,梭织,2,2022-11-29,2023-02-28,7
1585937125252067342,C46579508,梭织,2,2022-11-29,2023-03-07,11
1585937125256261633,C46579508,梭织,2,2022-11-29,2023-03-14,11
1585937125256261634,C46579508,梭织,2,2022-11-29,2023-03-21,7
1585937125256261635,C47276064,梭织,1,2022-11-29,2023-02-14,6
1585937125256261636,C47276064,梭织,1,2022-11-29,2023-02-21,6
1585937125256261637,C47276064,梭织,1,2022-11-29,2023-02-28,3
1585937125260455954,C47988742,梭织,2,2022-11-29,2023-02-14,13
1585937125260455955,C47988742,梭织,2,2022-11-29,2023-02-21,13
1585937125260455956,C47988742,梭织,2,2022-11-29,2023-02-28,7
1585937125273038873,C47498619,梭织,1,2022-11-29,2023-02-21,5
1585937125277233164,C44773813,梭织,1,2022-11-14,2022-12-20,5
1585937125277233165,C44773813,梭织,1,2022-11-14,2023-02-07,18
1585937125281427485,C44741723,梭织,2,2022-11-14,2023-02-14,11
1585937125281427486,C44741723,梭织,2,2022-11-14,2023-02-23,15
1585937125281427487,C44741723,梭织,2,2022-11-14,2023-03-02,11
1585937125289816078,C44741338,梭织,1,2022-11-14,2022-12-20,3
1585937125289816079,C44741338,梭织,1,2022-11-14,2023-02-07,5
1585937125289816080,C44741338,梭织,1,2022-11-14,2023-02-14,3
1585937125289816081,C44741338,梭织,1,2022-11-14,2023-02-28,3
1585937125294010381,C44829333,梭织,1,2022-11-26,2022-12-20,2
1585937125298204674,C44729709,梭织,1,2022-12-01,2023-02-14,4
1585937125298204675,C44729709,梭织,1,2022-12-01,2023-02-23,6
1585937125310787590,C44698766,梭织,1,2022-11-02,2023-02-14,7
1585937125310787591,C44698766,梭织,1,2022-11-02,2023-02-23,10
1585937125310787604,C44697714,梭织,1,2022-11-26,2022-12-20,2
1585937125310787613,C44697717,梭织,3,2022-11-26,2022-12-20,17
1585937125310787614,C44697717,梭织,3,2022-11-26,2023-02-07,34
1585937125310787615,C44697717,梭织,3,2022-11-26,2023-02-14,17
1585937125310787616,C44697717,梭织,3,2022-11-26,2023-02-28,17
1585937125314981899,C44723562,梭织,2,2022-11-14,2022-12-20,32
1585937125314981900,C44723562,梭织,2,2022-11-14,2023-02-07,22
1585937125314981909,C44723558,梭织,1,2022-11-25,2023-03-02,5
1585937125314981910,C44723558,梭织,1,2022-11-25,2023-03-20,7
1585937125319176202,C44725898,梭织,1,2022-11-25,2023-03-02,6
1585937125319176203,C44725898,梭织,1,2022-11-25,2023-03-20,9
1585937125319176208,C44726005,梭织,2,2022-11-08,2023-02-14,21
1585937125319176209,C44726005,梭织,2,2022-11-08,2023-02-23,21
1585937125319176210,C44726005,梭织,2,2022-11-08,2023-03-02,21
1585937125319176211,C44726005,梭织,2,2022-11-08,2023-03-09,7
1585937125319176212,C44726004,梭织,1,2022-11-14,2022-12-20,4
1585937125319176213,C44726003,梭织,2,2022-11-19,2023-02-14,7
1585937125319176214,C44726003,梭织,2,2022-11-19,2023-02-23,9
1585937125319176215,C44726003,梭织,2,2022-11-19,2023-03-02,7
1585937125331759105,C44729275,梭织,1,2022-11-14,2022-12-20,4
1585937125331759106,C44729275,梭织,1,2022-11-14,2023-02-07,15
1585937125331759109,C44729289,梭织,1,2022-11-02,2023-02-14,5
1585937125331759110,C44729289,梭织,1,2022-11-02,2023-02-23,7
1585937125331759126,C44729600,梭织,2,2022-11-08,2023-02-14,7
1585937125331759127,C44729600,梭织,2,2022-11-08,2023-02-23,10
1585937125331759128,C44729600,梭织,2,2022-11-08,2023-03-02,7
1585937125331759131,C44729934,梭织,3,2022-11-08,2023-02-14,36
1585937125331759132,C44729934,梭织,3,2022-11-08,2023-02-23,36
1585937125331759133,C44729934,梭织,3,2022-11-08,2023-03-02,36
1585937125331759134,C44729934,梭织,3,2022-11-08,2023-03-09,12
1585937125335953427,C44729946,梭织,1,2022-11-14,2023-03-02,6
