item_id,brand,channel,fabric_category,age_group,item_capacity_group,share_level
C49339781,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,1
C45726080,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,2
C47368848,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,3
C45966879,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,3
C47883044,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C49286003,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C45763728,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,3
C50179604,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,1
C47607395,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,1
C45975495,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,2
C44729940,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C44730639,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C44729120,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C47031809,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C47220376,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,2
C44698078,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C44742541,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,3
C46554344,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,2
C47043354,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C49243350,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C44729119,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C44729702,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C47526539,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类,2
C49228455,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C47607396,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,3
C49572875,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C44729125,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C47569704,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,1
C47274617,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,3
C47218995,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,1
C44741039,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,3
C49332209,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,3
C44729130,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C47977244,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类,2
C47408148,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,2
C46141254,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C44685173,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,1
C49645107,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C46554317,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,3
C44758888,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C46488940,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,2
C46716991,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,2
C44892143,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,2
C46554773,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,2
C49339780,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,2
C44741027,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,2
C44829339,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C44741030,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,2
C44731570,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C47031814,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C44686215,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,2
C47043357,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C45726092,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,1
C46305999,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,1
C47413101,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,1
C49386475,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C44742546,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,3
C45053741,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C44730626,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C44731845,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
