order_id,item_id,fabric_category,max_production_limit,arrival_date,due_date,capacity_needed
1585937125147209734,C44729116,针织,1,2022-11-14,2022-12-24,8
1585937125147209735,C44729116,针织,1,2022-11-14,2023-02-13,15
1585937125147209736,C44729116,针织,1,2022-11-14,2023-02-20,8
1585937125147209737,C44729116,针织,1,2022-11-14,2023-03-06,8
1585937125147209744,C45249086,针织,1,2023-03-11,2023-04-20,18
1585937125147209745,C45249086,针织,1,2022-11-17,2023-02-18,5
1585937125151404033,C45249086,针织,1,2022-11-17,2023-02-25,7
1585937125151404034,C45249086,针织,1,2022-11-17,2023-03-04,7
1585937125151404035,C45249086,针织,1,2022-11-17,2023-03-11,5
1585937125159792646,C45726092,针织,1,2023-03-11,2023-04-20,15
1585937125159792647,C45726092,针织,1,2022-11-17,2023-02-18,4
1585937125159792648,C45726092,针织,1,2022-11-17,2023-02-25,6
1585937125159792649,C45726092,针织,1,2022-11-17,2023-03-04,6
1585937125159792650,C45726092,针织,1,2022-11-17,2023-03-11,4
1585937125159792654,C45496370,针织,3,2023-03-01,2023-03-23,9
1585937125163986945,C45496370,针织,3,2022-11-17,2023-01-06,13
1585937125163986946,C45496370,针织,3,2022-11-17,2023-02-11,20
1585937125163986947,C45496370,针织,3,2022-11-17,2023-02-18,20
1585937125163986948,C45496370,针织,3,2022-11-17,2023-02-25,13
1585937125168181260,C46305995,针织,1,2022-11-17,2023-02-11,10
1585937125168181261,C46305995,针织,1,2022-11-17,2023-02-18,15
1585937125168181262,C46305995,针织,1,2022-11-17,2023-02-25,15
1585937125168181263,C46305995,针织,1,2022-11-17,2023-03-04,10
1585937125184958468,C45576342,针织,1,2023-02-18,2023-04-01,15
1585937125184958469,C45576342,针织,1,2022-11-17,2023-01-06,7
1585937125184958470,C45576342,针织,1,2022-11-17,2023-02-11,11
1585937125184958471,C45576342,针织,1,2022-11-17,2023-02-18,11
1585937125184958472,C45576342,针织,1,2022-11-17,2023-02-25,7
1585937125201735690,C45502009,针织,1,2023-04-03,2023-04-29,5
1585937125201735691,C45502009,针织,1,2022-11-17,2023-02-18,10
1585937125201735692,C45502009,针织,1,2022-11-17,2023-02-25,10
1585937125201735693,C45502009,针织,1,2022-11-17,2023-03-04,5
1585937125201735694,C45763728,针织,1,2022-11-17,2023-03-04,3
1585937125205929988,C46364839,针织,1,2022-11-17,2023-03-04,3
1585937125205929989,C46364839,针织,1,2022-11-17,2023-03-11,3
1585937125205929990,C46364839,针织,1,2022-11-17,2023-03-18,2
1585937125210124297,C45460456,针织,1,2023-04-03,2023-04-29,28
1585937125210124298,C45460456,针织,1,2022-11-17,2023-02-18,7
1585937125210124299,C45460456,针织,1,2022-11-17,2023-02-25,11
1585937125210124300,C45460456,针织,1,2022-11-17,2023-03-04,11
1585937125210124301,C45460456,针织,1,2022-11-17,2023-03-11,7
1585937125214318596,C45496368,针织,2,2023-03-01,2023-03-23,2
1585937125214318597,C45496368,针织,2,2022-11-17,2023-01-06,6
1585937125214318598,C45496368,针织,2,2022-11-17,2023-02-11,6
1585937125214318599,C45496368,针织,2,2022-11-17,2023-02-18,3
1585937125218512924,C45986670,针织,1,2022-11-17,2023-02-11,8
1585937125218512925,C45986670,针织,1,2022-11-17,2023-02-18,11
1585937125218512926,C45986670,针织,1,2022-11-17,2023-02-25,11
1585937125218512927,C45986670,针织,1,2022-11-17,2023-03-04,8
1585937125226901510,C47273493,针织,1,2023-04-03,2023-04-29,2
1585937125226901511,C47273493,针织,1,2022-11-17,2023-02-18,3
