item_id,brand,channel,fabric_category,age_group,item_capacity_group
200123106001,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织外套
200123105005,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织外套
202123105107,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套
200123104105,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织外套
200123120108,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织婴童
202123111012,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子
202123105114,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套
203123105001,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套
208123105103,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织外套
202123105013,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套
201123105118,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套
202123105113,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套
201123105013,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套
202123106101,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套
202123105010,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套
202123112003,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子
200123108111,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裤子
208123111002,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裙子
200123102102,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织外套
200123106002,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织外套
202123108103,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子
202123105006,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套
201123102003,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套
208123105003,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织外套
202123111002,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子
200123101103,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织外套
201123111003,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子
202123108003,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子
200123101004,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织外套
201123105004,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套
208123104002,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织外套
208123108205,巴拉巴拉,巴拉巴拉线上,梭织,婴童,梭织裤子
201123106104,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套
202123105003,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套
208123101001,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织外套
208123106101,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织外套
201123104006,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套
200123101003,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织外套
200123105101,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织外套
208123107202,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织外套
201123106001,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套
208123105106,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织外套
201123105104,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套
201123108007,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子
202123106001,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套
201123105116,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套
201123105202,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套
201123102101,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套
201123105006,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套
208123102001,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织外套
201123108110,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子
201123101003,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套
202123102001,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套
208123101002,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织外套
201123108113,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子
201123105011,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套
208123107204,巴拉巴拉,巴拉巴拉线上,梭织,婴童,梭织外套
208123106001,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织外套
202123105001,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套
202123105014,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套
200123111003,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裙子
201123111004,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子
202123111003,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子
