item_id,brand,channel,fabric_category,age_group,item_capacity_group
C44697710,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子
C49268683,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子
C47031810,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子
C50324451,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子
C44729934,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子
C47336630,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裙子
C44729290,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套
C47251063,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裤子
C50579769,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子
C46499914,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织外套
C44731838,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子
C47571533,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织外套
C44698773,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套
C46442046,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裤子
C49393264,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子
C50032320,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子
C45262942,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裤子
C49153182,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子
C46810723,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子
C46675215,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裤子
C49359099,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子
C44698782,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子
C44741723,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裙子
C44731576,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子
C44729710,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子
C45048169,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子
C44849361,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织外套
C44746091,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织外套
C49392875,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套
C44698771,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套
C44829349,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套
C47402801,巴拉巴拉,巴拉巴拉线上,梭织,婴童,梭织婴童
C44778516,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子
C44907564,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套
C44730845,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子
C44746404,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裤子
C44829332,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子
C44813257,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子
C47498433,巴拉巴拉,巴拉巴拉线上,梭织,婴童,梭织裙子
C44729289,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套
C44731831,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子
C44741338,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裤子
C44741718,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裙子
C47336633,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裙子
C49109239,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织婴童
C44741720,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裙子
C46327778,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裙子
C45763723,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裙子
C50261839,巴拉巴拉,巴拉巴拉线上,梭织,婴童,梭织裤子
C44741042,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裤子
C46421494,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子
C45056062,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裙子
C45496354,巴拉巴拉,巴拉巴拉线上,梭织,婴童,梭织裙子
C44746099,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织婴童
C47328074,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子
C44773813,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子
C44729600,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子
C44758886,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套
C44746098,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织婴童
C44922972,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裤子
C48289051,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套
C47352954,巴拉巴拉,巴拉巴拉线上,梭织,婴童,梭织外套
C47342969,巴拉巴拉,巴拉巴拉线上,梭织,婴童,梭织外套
C49288749,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子
C49268684,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子
C44921318,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裤子
C47336628,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裙子
C47325915,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裙子
C44697718,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套
C44912852,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子
C49365631,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裙子
C46553231,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裤子
C49401156,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裤子
C44829334,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子
C49153184,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子
C44698766,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套
C44730835,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子
C44725890,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子
C44730842,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子
C44730846,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子
C45970841,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裤子
C49365632,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裙子
C44723562,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子
C44812958,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子
C44697714,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子
C45763725,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裙子
C44685163,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织婴童
C44731832,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子
C44772052,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子
