item_id,brand,channel,fabric_category,age_group,item_capacity_group
208123120204,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类
200123105108,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
202123108018,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
201123104104,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
200123100004,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
200123105110,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
202123121101,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
200123108106,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
201123121105,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
200123120002,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
201123121003,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
208123108004,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
208123111017,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
208123120104,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类
201123123009,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
200123100005,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
208123120003,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类
208123108001,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类
201123108122,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
208123121102,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
200123100006,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
202123123002,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
202123121105,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
200123131208,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
200123131204,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
208123100005,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
200123133205,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
201123121001,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
208123108207,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类
200123156204,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
208123100101,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
201123121004,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
208123104103,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
201123100005,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
200123120105,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
200123108109,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
202123108105,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
201123108012,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
201123121108,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
208123100106,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
208123100004,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
208123111012,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类
200123104108,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
202123105012,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
201123108016,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
200123134203,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
201123104003,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
202123121102,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
208123105203,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
200123100003,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
208123133202,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类
208123120205,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类
201123117103,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
208123100204,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类
